Piedmontese	Asturian	probability
ˈə	ˈe	1.0
b	b	0.721
d	d	0.51
e	ˈi_ɾ	0.141
j	u	0.151
m	m	0.851
t	ʧ	0.091
t	t_e	0.121
t	t	0.41
v	b	0.551
ŋ	n_u	0.1
ˈi	ˈu	0.061
ˈu	ˈo	0.841
ˈy	-	0.061
ˈy	ˈu	0.61
ˈɔ	ˈo	0.441
ˈɛ	ˈe	0.451
e	ˈe_ɾ	0.302
p	p_j	0.22
s	θ	0.302
t	ð	0.082
w	-	0.202
ˈø	w	0.12
d	ð	0.323
i	e	0.623
j	ˈe	0.053
k	k	0.913
t	-	0.103
ˈa	ˈa	0.853
ˈø	o	0.163
ˈɔ	o	0.103
f	-	0.064
n	ŋ	0.154
z	θ	0.634
ŋ	ŋ	0.264
ɡ	<#_ɡ	0.054
ɡ	<#_e	0.094
ɲ	ɲ_u	0.284
ʧ	θ	0.34
ˈi	ˈe	0.24
d	-	0.145
j	ɾ	0.135
j	ʝ_u	0.145
l	l_u	0.05
l	ʎ_u	0.135
p	p_u	0.065
p	p	0.715
s	s	0.485
t	ʧ_e	0.085
u	e	0.115
u	o	0.885
w	l	0.15
ʤ	-	0.335
ʤ	ʃ	0.665
ˈe	e	0.095
f	f	0.936
j	-	0.256
k	-	0.056
m	m_e	0.126
r	-	0.06
r	ɾ	0.576
z	-	0.366
ʧ	ʎ	0.66
ˈɔ	w_ˈe	0.456
a	a	0.887
s	t	0.087
ɡ	ɣ	0.117
ɡ	ɡ	0.477
ɲ	n	0.097
ˈa	ˈe	0.057
ˈe	ˈa_ɾ	0.457
ˈi	ˈi	0.7
e	e	0.448
i	u	0.208
l	l	0.308
l	ʎ	0.48
n	n	0.738
r	ɾ_u	0.118
s	-	0.058
t	t_u	0.108
w	w	0.648
ŋ	n	0.538
ɲ	ɲ	0.618
ˈø	w_ˈe	0.718
b	β	0.279
e	ɾ	0.109
i	i	0.169
j	ʝ	0.189
n	-	0.09
r	r	0.199
v	β	0.449
ŋ	ɲ	0.099
ɡ	ɣ_u	0.139
ˈe	ˈa	0.059
ˈe	ˈe	0.349
ˈu	ˈu	0.159
ˈy	ˈo	0.329
ˈɛ	j_ˈe	0.499
