Swedish	Upper Franconian	probability
ˈʊ	ˈʊ	1.0
ˈæː	-	1.0
ˈiː	ˈaɪ̯	1.0
ɵ	-	1.0
ɳ	ɐ_n	1.0
ɪ	-	1.0
ɡː	ɡ̊	1.0
ɡ_a	ŋ	1.0
ɡ_#>	#>	1.0
ɛ_r	ɐ	1.0
ɖ	ɐ_d̥	1.0
ɕ	-	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
v_#>	b̥_#>	1.0
sː	-	1.0
s_t	ʃ_d̥	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
r_ˈœ	r	1.0
r_a	ɐ	1.0
pː	f	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_v	l_f	1.0
l	l	1.0
kː	ɡ̊	1.0
kʰ	ɡ̊	1.0
k_a	n	1.0
j_ˈʉː	d̥_ˈiː	1.0
h	h	1.0
f	f	1.0
d_a	d̥_n	1.0
b	b̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
d	d̥	0.925
n	n	0.913
ˈɪ	ˈɪ	0.846
ˈa	ˈɒ	0.81
ɛ	-	0.769
p	f	0.714
ˈoː	ˈoː	0.706
ˈeː	ˈaː	0.667
ˈuː	ˈuː	0.643
tʰ	d̥	0.643
v	v	0.625
ˈɛ	ˈɛ	0.611
ˈʏ	ˈɪ	0.6
ˈœ	ˈɪ	0.6
s	s	0.6
ɡ	ɡ̊	0.562
<#	<#_v	0.556
ɧ	ʃ	0.545
ˈɔ	ˈʊ	0.5
ˈyː	ˈiː	0.5
ˈyː	ˈaɪ̯	0.5
t	s	0.5
k	x	0.5
ˈʉː	ˈaʊ̯	0.474
r	ɐ	0.457
ɧ	s	0.455
ˈɵ	ˈʊ	0.417
ˈʏ	-	0.4
ˈœ	ˈɔ	0.4
j	-	0.4
#>	d̥_#>	0.385
r	r	0.371
ˈɑː	ˈoː	0.364
ˈɑː	-	0.364
tʰ	ʦ	0.357
a	a	0.351
ˈɛː	ˈɛ	0.333
ˈɛː	ˈoː	0.333
ˈɛː	ˈiː	0.333
ˈeː	-	0.333
tː	ʦ	0.333
a	n	0.324
ˈʉː	ˈiː	0.316
ˈøː	ˈuː	0.316
ɡ	x	0.312
#>	s_#>	0.308
j	ç	0.3
j	l	0.3
ˈoː	-	0.294
s	ʃ	0.286
p	-	0.286
ˈɑː	ˈɒ	0.273
ˈɵ	ˈɔ	0.25
ˈɔ	ˈɔ	0.25
ˈɔ	-	0.25
t	z̥	0.25
t	d̥	0.25
k	ɡ̊	0.25
k	ç	0.25
ɛ	ɐ	0.231
tː	ç_d̥	0.222
tː	z̥	0.222
tː	x_d̥	0.222
<#	<#_ɡ̊	0.222
<#	<#_j	0.222
a	-	0.216
ˈuː	ˈɔ	0.214
ˈʉː	-	0.211
ˈøː	ˈaː	0.211
ˈøː	-	0.211
ˈa	-	0.19
ˈɵ	ˈɪ	0.167
ˈɵ	ˈɒ	0.167
ˈɛ	ˈaɪ̯	0.167
v	β	0.167
ˈøː	ˈiː	0.158
ˈɪ	-	0.154
#>	ˈuː_#>	0.154
#>	ç_#>	0.154
ˈuː	-	0.143
ɡ	-	0.125
v	-	0.125
r	ɾ_ɐ	0.114
ˈɛ	ˈiː	0.111
ˈɛ	-	0.111
ˈøː	ˈeː	0.105
n	-	0.087
v	v_ˈɛ	0.083
d	-	0.075
s	ʃ_v	0.057
s	-	0.057
r	-	0.057
a	ɐ	0.054
a	ŋ	0.054
