Old English	Ripuarian	probability
a	-	1.0
b	b	0.99
bː	-	1.0
d	d	0.397
d	t	0.392
d	k	0.176
dː	d	1.0
e	ɐ	0.833
e	ˈaʊ̯	0.065
e	ə	0.06
eo̯	-	1.0
f	f	0.923
f	ə_f	0.061
h	h	0.968
i	-	0.449
i	ɪ	0.291
i	ə	0.261
iːy̯	e	1.0
j	j	0.365
j	ɕ	0.278
j	-	0.162
j	ˈyː	0.107
j	x	0.055
k	k	0.633
k	ɕ	0.162
k	x	0.132
kː	k	1.0
l	l	0.954
lː	l	1.0
l̥	l	1.0
m	m	0.968
mː	m	1.0
n	n	0.724
n	ŋ	0.211
n	-	0.065
nː	n	1.0
o	ɐ	0.747
o	-	0.179
o	ə	0.074
p	f	0.816
p	p	0.184
pː	p	1.0
r	ɐ	0.566
r	ʀ	0.321
r	-	0.107
rː	ɕ	0.529
rː	n	0.471
r̥	ʀ	1.0
s	z	0.499
s	s	0.253
s	ʃ	0.194
t	s	0.585
t	ʦ	0.275
t	t	0.121
tː	ʦ	1.0
v	v	0.643
v	p	0.16
v	-	0.108
v	f	0.089
w	ʋ	0.701
w	-	0.173
w	ˈiː	0.054
x	ɕ	0.452
x	x	0.361
x	-	0.187
z	s	0.619
z	z	0.191
z	ʀ	0.191
ç	ɕ	0.544
ç	x	0.231
ç	-	0.224
ð	d	0.681
ð	t	0.319
ŋ	ŋ	1.0
ɑ	ə	0.886
ɑ	-	0.114
ɡ	j	0.55
ɡ	-	0.379
ɡ	k	0.071
ɣ	-	0.288
ɣ	ɕ	0.218
ɣ	ɣ	0.198
ɣ	x	0.156
ɣ	j	0.078
ɣ	k	0.062
ɫ	l	0.927
ɫ	ŋ	0.073
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	ʋ	0.535
ʍ	v	0.465
ʤ	k	1.0
ʤː	ɣ	1.0
ʧ	k	0.503
ʧ	ɕ	0.431
ʧ	x	0.065
ʧː	k	1.0
ˈe	ˈɛː	0.497
ˈe	ˈɛ	0.235
ˈe	-	0.1
ˈe	ˈe	0.071
ˈe	ˈeː	0.068
ˈeo̯	ˈɛː	0.522
ˈeo̯	ˈɛ	0.371
ˈeː	ˈøː	0.37
ˈeː	ɐ	0.21
ˈeː	ˈa	0.146
ˈeː	ˈeː	0.145
ˈeː	ˈoʊ̯	0.063
ˈeːo̯	ˈeː	0.533
ˈeːo̯	ˈiː	0.136
ˈeːo̯	ˈœ	0.08
ˈeːo̯	ˈʏ	0.057
ˈi	ˈe	0.373
ˈi	ˈɪ	0.297
ˈi	ˈɛ	0.097
ˈi	ˈa	0.065
ˈi	ˈiː	0.062
ˈiy̯	ˈɛ	0.702
ˈiy̯	ˈaː	0.191
ˈiy̯	ˈe	0.107
ˈiː	ˈiː	0.482
ˈiː	ˈɪ	0.277
ˈiː	ˈœ	0.129
ˈiː	ˈɛ	0.09
ˈiːy̯	ˈyː	0.595
ˈiːy̯	ˈeː	0.168
ˈiːy̯	ˈøː	0.14
ˈiːy̯	ˈiː	0.058
ˈo	ˈɔ	0.516
ˈo	ˈoː	0.294
ˈo	ˈyː	0.075
ˈoː	ˈoː	0.675
ˈoː	ˈɔ	0.135
ˈoː	ˈa	0.099
ˈoː	ˈo	0.091
ˈu	ˈo	0.523
ˈu	ˈu	0.174
ˈu	ˈɔ	0.087
ˈu	ˈœ	0.08
ˈu	ˈoː	0.059
ˈuː	ˈuː	0.476
ˈuː	ˈaʊ̯	0.211
ˈuː	ˈoː	0.152
ˈuː	ˈʊ	0.088
ˈy	ˈœ	0.61
ˈy	ˈʏ	0.168
ˈy	ˈʊ	0.112
ˈy	ˈyː	0.11
ˈyː	ˈyː	0.542
ˈyː	ˈuː	0.337
ˈyː	ˈʏ	0.121
ˈæ	ˈaː	0.403
ˈæ	ˈa	0.361
ˈæ	-	0.186
ˈæɑ̯	ˈa	0.357
ˈæɑ̯	ˈɛː	0.283
ˈæɑ̯	ˈaː	0.234
ˈæɑ̯	ˈɛ	0.126
ˈæː	ˈoː	0.634
ˈæː	ˈeɪ̯	0.137
ˈæː	ˈeː	0.111
ˈæː	ˈyː	0.067
ˈæːɑ̯	ˈoː	0.481
ˈæːɑ̯	ˈuː	0.352
ˈæːɑ̯	ˈaʊ̯	0.144
ˈɑ	ˈa	0.783
ˈɑ	ˈaː	0.217
ˈɑː	ˈeː	0.447
ˈɑː	ˈoː	0.329
ˈɑː	ˈiː	0.181
ˈɛ	ˈɛ	1.0
θ	d	0.693
θ	t	0.25
