Yiddish	Faroese	probability
b	b̥	0.656
b	v	0.289
b	-	0.052
d	-	0.475
d	d̥	0.265
d	tʰ	0.157
d	sː	0.083
f	f	0.591
f	v	0.14
f	p	0.122
f	ʰp	0.088
f	-	0.048
h	h	0.936
h	-	0.063
j	ˈɔ̯aː	0.366
j	ˈʊ	0.086
k	kʰ	0.259
k	ʰkː	0.114
k	ɡ̊	0.088
k	k	0.087
k	ɹː	0.075
l	l	0.635
l	l̥	0.155
l	l_ʊ	0.095
l	-	0.051
l	nː	0.034
m	m	0.599
m	m_ʊ	0.246
m	-	0.094
m	n	0.054
n	n	0.34
n	a	0.275
n	-	0.213
n	nː	0.106
n	n̥	0.045
p	tː	0.74
p	ʰp	0.131
s	t	0.548
s	ʰt	0.238
s	s	0.207
t	-	0.256
t	d̥	0.206
t	t	0.165
t	d̥_ʊ	0.084
t	w	0.08
v	v	0.46
v	-	0.399
v	kʰ_v	0.115
z	s	0.938
z	-	0.051
z	ʃ	0.031
ŋ	ŋ	0.613
ŋ	-	0.163
ŋ	ɲ	0.107
ŋ	a	0.107
ə	a	0.276
ə	ɪ	0.238
ə	-	0.194
ə	ʊ	0.176
ə	ɹ_ʊ	0.053
ɛ	w	0.574
ɛ	ɪ	0.278
ɡ	ɡ̊	0.642
ɡ	-	0.131
ɡ	ʤ̊	0.117
ɡ	ɡ̊_a	0.081
ɪ	ʊ	0.488
ɪ	ɛ	0.206
ɪ	ŋ	0.124
ʀ	ɹ	0.884
ʀ	-	0.083
ʀ_d	ɹ	1.0
ʀ_ɛ	ɹ	1.0
ʁ	-	0.5
ʁ	tʰ	0.5
ʃ	s	0.726
ʃ	s_k	0.128
ʃ	ʃ	0.099
ʎ	j	0.234
ʦ	tʰ	0.481
ʦ	ʈ	0.194
ʦ	t	0.117
ʦ	ʧʰ	0.082
ʦ	w	0.082
ʧ	ʃ	0.484
ˈa	ˈa	0.503
ˈa	ˈɛːa̯	0.172
ˈa	ˈɔ	0.16
ˈa	ˈɛ	0.046
ˈa	ˈʉːu̯	0.041
ˈaɪ̯	ˈʊ̯iː	0.728
ˈaɪ̯	ˈa	0.147
ˈaɪ̯	ʊ̯ˈiː	0.097
ˈaɪ̯	ˈɛ	0.035
ˈi	ˈiː	0.484
ˈɔ	ˈɔ	0.162
ˈɔ	ˈɛːa̯	0.153
ˈɔ	ˈa	0.107
ˈɔ	ˈœ	0.093
ˈɔ	ˈɔ̯aː	0.081
ˈɔɪ̯	ˈʉːu̯	0.38
ˈɔɪ̯	ˈɛːi̯	0.301
ˈɔɪ̯	ˈʊ	0.112
ˈɔɪ̯	ˈɔːi̯	0.112
ˈɔɪ̯	ˈœ	0.06
ˈɛ	ˈɛ	0.216
ˈɛ	ˈeː	0.166
ˈɛ	ˈʊ	0.052
ˈɛ	j_ˈøː	0.052
ˈɛ	ˈɪ	0.052
ˈɛɪ̯	ˈai̯	0.478
ˈɛɪ̯	ˈaːi̯	0.362
ˈɛɪ̯	ˈɛːi̯	0.09
ˈɪ	ˈɪ	0.423
ˈɪ	ˈiː	0.123
ˈɪ	ˈøː	0.113
ˈɪ	ˈeː	0.084
ˈɪ	ˈɛ	0.064
ˈɪ_n	ˈʊ̯iː	0.484
ˈʊ	ˈɔːu̯	0.402
ˈʊ	ˈʊ	0.252
ˈʊ	ˈɔ	0.175
ˈʊ	ˈœ	0.096
ˈʊ	-	0.038
χ	-	0.329
χ	k_ʊ	0.224
χ	k	0.224
χ	ʧ	0.092
χ	s	0.067
χ_t	ʰtː	1.0
