Swedish	Faroese	probability
a	a	0.955
b	b̥	1.0
d	d̥	0.481
d	-	0.36
d	v	0.107
f	f	0.964
h	h	1.0
j	j	0.355
j	ʤ̊	0.269
j	-	0.11
j	ˈeː	0.067
jː	j	1.0
k	k	0.738
k	ʧ	0.14
k	ʰʧ	0.056
kʰ	kʰ	1.0
kː	ʰkː	0.429
kː	ʰk	0.248
kː	k	0.197
kː	ʰʧː	0.126
l	l	0.759
l	l̥	0.159
l	-	0.057
lː	t_l̥	0.857
lː	d̥	0.143
m	m	0.977
mː	m	0.799
mː	mː	0.201
n	n	0.751
n	n̥	0.12
n	-	0.082
nː	nː	0.723
nː	ʊ	0.218
nː	n	0.058
p	p	0.737
p	ʰp	0.263
pː	p	0.747
pː	ʰpː	0.253
r	ɹ	0.932
rː	ʊ	0.675
rː	ɹː	0.325
s	s	0.998
sː	sː	0.737
sː	s	0.263
t	t	0.811
t	ʰt	0.189
tʰ	tʰ	1.0
tː	ʰtː	0.492
tː	ʰt	0.272
tː	t	0.236
v	v	0.941
ŋ	ŋ	0.725
ŋ	ɡ̊	0.155
ŋ	f	0.12
ŋː	ŋ	0.898
ŋː	ʤ̊	0.102
ɔ	a	1.0
ɕ	ʧʰ	1.0
ɖ	ɹ	1.0
ɛ	ɪ	0.536
ɛ	ʊ	0.267
ɛ	-	0.123
ɛ	ɡ̊_ʊ	0.074
ɡ	ɡ̊	0.613
ɡ	v	0.193
ɡ	ʤ̊	0.082
ɡ	-	0.065
ɡː	ɡ̊ː	0.56
ɡː	ʤ̊ː	0.44
ɧ	ʃ	0.971
ɪ	ɪ	0.823
ɪ	a	0.177
ɳ	t_n̥	0.876
ɳ	t	0.124
ɵ	-	0.796
ɵ	ɛ	0.204
ʂ	s	1.0
ʈ	t	1.0
ʈː	ɹ_ʈ	1.0
ʊ	ʊ	1.0
ˈa	ˈa	0.628
ˈa	ˈɔ	0.235
ˈa	ˈɛːa̯	0.089
ˈeː	ˈaːi̯	0.345
ˈeː	ˈai̯	0.248
ˈeː	ˈeː	0.133
ˈeː	ˈiː	0.132
ˈeː	ˈɛːa̯	0.062
ˈeː	ˈʊ	0.062
ˈiː	ˈʊ̯iː	0.749
ˈiː	ˈɛːa̯	0.127
ˈiː	ˈʊ	0.125
ˈoː	ˈɔ̯aː	0.698
ˈoː	ˈɛ	0.136
ˈuː	ˈɔːu̯	0.486
ˈuː	ˈɔ	0.187
ˈuː	ˈɪ	0.103
ˈuː	ˈøː	0.102
ˈuː	ˈɛ	0.078
ˈyː	ˈʊ̯iː	0.8
ˈyː	ˈʊ	0.101
ˈyː	ʊ	0.074
ˈæ	ˈa	0.5
ˈæ	ˈœ	0.5
ˈæː	ˈeː	0.61
ˈæː	ˈɛːa̯	0.203
ˈæː	j	0.161
ˈøː	ˈɛːi̯	0.396
ˈøː	ˈøː	0.387
ˈøː	ˈœ	0.078
ˈøː	ˈɔ̯aː	0.053
ˈœ	ˈœ	0.215
ˈœ	ˈɪ	0.191
ˈœ	ˈøː	0.162
ˈœ	ˈɔːi̯	0.125
ˈœ	ˈɛːi̯	0.124
ˈœ	ˈɔ	0.123
ˈœ	ˈʊ̯iː	0.06
ˈœː	ˈɔːi̯	0.707
ˈœː	ˈiː	0.293
ˈɑː	ˈɛːa̯	0.543
ˈɑː	ˈa	0.291
ˈɑː	-	0.132
ˈɔ	ˈɔ	0.376
ˈɔ	ˈʊ	0.239
ˈɔ	ˈoː	0.212
ˈɔ	ˈœ	0.145
ˈɛ	ˈɛ	0.557
ˈɛ	ˈiː	0.102
ˈɛ	ˈa	0.074
ˈɛ	-	0.051
ˈɛː	ˈɛːa̯	0.28
ˈɛː	ˈeː	0.274
ˈɛː	ˈaːi̯	0.231
ˈɛː	ˈøː	0.214
ˈɪ	ˈɪ	0.803
ˈɪ	ˈeː	0.08
ˈɵ	ˈʊ	0.724
ˈɵ	ˈɔ	0.185
ˈɵ	ɲ	0.061
ˈʉː	ˈʉːu̯	0.448
ˈʉː	ˈɔːu̯	0.204
ˈʉː	ˈʊ̯iː	0.083
ˈʉː	ˈɪ	0.081
ˈʉː	ˈuː	0.061
ˈʊ	ˈʊ	0.566
ˈʊ	ˈɔːu̯	0.238
ˈʊ	ˈɔ	0.195
ˈʏ	ˈɪ	0.833
ˈʏ	ˈʏ	0.167
