West Frisian	Bokmål Norwegian	probability
b	b	0.951
b	-	0.051
d	d	0.693
d	-	0.163
d	tʰ	0.139
f	f	0.794
f	-	0.205
h	h	0.972
h	-	0.038
j	-	0.478
j	ˈyː	0.197
j	ˈiː	0.153
j	j	0.104
j	ˈæː	0.052
j_ˈuə̯	ˈyː	1.0
k	k	0.589
k	kʰ	0.22
k	kː	0.147
k	-	0.042
l	l	0.83
l	lː	0.102
l	-	0.043
l	nː	0.029
l	l_ʋ	0.027
m	m	0.846
m	mː	0.096
m	n	0.055
n	n	0.437
n	nː	0.255
n	-	0.24
n	ɳ	0.06
p	p	0.796
p	pʰ	0.102
p	-	0.07
r	ɾ	0.92
r	ɳ	0.04
r	nː	0.027
r	-	0.027
s	s	0.925
s	ʂ	0.058
s	sː	0.031
t	t	0.335
t	-	0.289
t	tʰ	0.174
t	d	0.109
t	lː	0.041
v	ʋ	0.705
v	-	0.222
v	ç	0.066
z	s	0.461
z	-	0.193
z	ɾ	0.193
ŋ	ŋː	0.698
ŋ	ŋ	0.171
ŋ	-	0.113
ɕ	s	1.0
ə	ə	0.655
ə	-	0.317
ɡ	ɡ	0.758
ɡ	j	0.226
ɣ	-	0.398
ɣ	ɡː	0.347
ɣ	ɡ	0.229
ɪ	ɪ	0.45
ɪ	i	0.217
ɪ	-	0.12
ʋ	ʋ	0.632
ʋ	-	0.238
ʋ	ˈʊ	0.107
ʦ	tʰ	1.0
ʦ_j	ç	1.0
ˈa	ˈɑ	0.486
ˈa	ˈɑː	0.227
ˈa	ˈɛ	0.128
ˈa	ˈɪ	0.084
ˈa	ˈɔ	0.061
ˈaː	ˈoː	0.194
ˈaː	ˈɑ	0.194
ˈaː	ˈɑː	0.147
ˈaː	ˈuː	0.128
ˈaː	ˈiː	0.111
ˈeː	ˈøː	0.441
ˈeː	ˈeː	0.384
ˈeː	ˈʊ	0.097
ˈi	ˈiː	0.541
ˈi	ˈeː	0.215
ˈi	ˈæɪ̯	0.142
ˈi	ˈɪ	0.072
ˈiə̯	ˈoː	0.237
ˈiə̯	ˈøː	0.175
ˈiə̯	ˈæɪ̯	0.153
ˈiə̯	ˈyː	0.117
ˈiə̯	ˈeː	0.068
ˈiː	ˈiː	0.445
ˈiː	ˈæɪ̯	0.143
ˈiː	ˈɪ	0.143
ˈiː	ˈɑ	0.143
ˈiː	ˈɛ	0.102
ˈoə̯	ˈuː	0.422
ˈoə̯	ˈeː	0.136
ˈoə̯	ˈœ	0.136
ˈoə̯	ˈɔ	0.099
ˈoə̯	ˈoː	0.094
ˈoː	ˈʉː	0.488
ˈoː	ˈuː	0.488
ˈu	ˈʉː	0.488
ˈu	ˈʉ	0.235
ˈu	ˈʊ	0.072
ˈuə̯	ˈuː	0.744
ˈuə̯	ˈoː	0.175
ˈuə̯_t	ˈuː	1.0
ˈuː	ˈʉː	0.548
ˈuː	ˈʉ	0.179
ˈuː	-	0.179
ˈuː	ˈʊ	0.059
ˈuː	ˈɔ	0.036
ˈy	ˈʊ	1.0
ˈyː	ˈʏ	0.461
ˈyː	ˈʉː	0.461
ˈyː	ˈɔ	0.043
ˈø	ˈoː	0.425
ˈø	ˈɛː	0.235
ˈø	ˈœ	0.13
ˈøə̯	ˈɛ	0.482
ˈɔ	ˈʉ	0.342
ˈɔ	-	0.144
ˈɔ	ˈɛ	0.109
ˈɔ	ˈʊ	0.083
ˈɔ	ˈœ	0.083
ˈɔu̯	ˈʉ	0.66
ˈɔu̯	ɾ	0.153
ˈɔː	ˈɑ	0.807
ˈɔː	ˈʉː	0.193
ˈɛ	ˈeː	0.174
ˈɛ	ˈɑ	0.151
ˈɛ	-	0.124
ˈɛ	ˈæː	0.115
ˈɛ	ˈøː	0.115
ˈɛi̯	ˈæɪ̯	0.47
ˈɛi̯	ˈɛ	0.189
ˈɛi̯	ˈʉː	0.13
ˈɛi̯	ˈɑː	0.125
ˈɛː	ˈɑː	0.561
ˈɛː	ˈʏ	0.322
ˈɛː	ˈɛ	0.064
ˈɪ	ˈɪ	0.276
ˈɪ	ˈɛ	0.174
ˈɪ	ˈœ	0.109
ˈɪ	ˈiː	0.083
ˈɪ	ˈʏ	0.072
ˈɪ_r	ɾ	1.0
ˈɪə̯	ˈøː	0.534
ˈɪə̯	ˈyː	0.073
ˈɪə̯	ʋ	0.073
ˈɪə̯	ˈœ	0.073
ˈɪə̯	ˈɑ	0.066
ˈɵ	ˈœ	0.482
χ	tː	0.269
χ	-	0.169
χ	ɡ	0.097
χ	j	0.097
χ	s	0.09
