West Frisian	Bokmål Norwegian	probability
b	b	0.919
d	d	0.611
d	-	0.299
d	tʰ	0.09
d̥	d	0.597
d̥	ɾ	0.298
d̥	lː	0.105
f	f	0.782
f	ʋ	0.133
h	h	0.857
h	j	0.143
j	-	0.537
j	ˈyː	0.212
j	j	0.077
j	ˈiː	0.068
k	k	0.537
k	kʰ	0.207
k	-	0.166
k	kː	0.06
l	l	0.778
l	lː	0.181
m	m	0.692
m	mː	0.181
m	-	0.066
n	n	0.545
n	nː	0.317
n	-	0.076
n	ɳ	0.062
p	p	0.69
p	pʰ	0.148
p	-	0.129
r	ɾ	0.91
s	s	0.817
s	ʃ	0.066
s	sː	0.059
t	t	0.388
t	tʰ	0.263
t	tː	0.187
v	ʋ	0.686
v	-	0.253
v	ɕ	0.061
z	ɡː	0.414
z	s	0.313
z	ɾ	0.141
z	-	0.131
ŋ	ŋː	0.75
ŋ	ŋ	0.21
ɕ	s	1.0
ə	ə	0.871
ə	-	0.108
ɡ	ɡ	0.85
ɡ	j	0.15
ɣ	ɡ	0.393
ɣ	ɡː	0.342
ɣ	-	0.265
ɪ	ə	0.642
ɪ	ɪ	0.192
ɪ	-	0.112
ɪ	i	0.053
ʋ	ʋ	0.838
ʋ	-	0.104
ʋ	ˈʊ	0.058
ʦ	ɕ	0.473
ʦ	tʰ	0.359
ʦ	t	0.168
ˈa	ˈɑ	0.658
ˈa	ˈɑː	0.166
ˈa	ˈɛ	0.073
ˈaː	ˈɑ	0.188
ˈaː	ˈɛ	0.136
ˈaː	ˈæː	0.135
ˈaː	ˈɑː	0.13
ˈaː	ˈæɪ̯	0.124
ˈaː	ˈoː	0.11
ˈaː	ˈiː	0.104
ˈaː	ˈuː	0.072
ˈeː	ˈeː	0.486
ˈeː	ˈøː	0.222
ˈeː	ˈʊ	0.204
ˈeː	ˈæɪ̯	0.089
ˈi	ˈiː	0.565
ˈi	ˈɪ	0.176
ˈi	ˈeː	0.081
ˈi	ˈøː	0.076
ˈi	ˈɔ	0.053
ˈiə̯	ˈoː	0.205
ˈiə̯	ˈæɪ̯	0.174
ˈiə̯	ˈyː	0.134
ˈiə̯	ˈœ	0.1
ˈiə̯	ˈɛ	0.1
ˈiə̯	ˈøː	0.098
ˈiə̯	ˈiː	0.07
ˈiː	ˈɪ	0.326
ˈiː	ˈiː	0.311
ˈiː	ˈyː	0.162
ˈiː	ˈɛ	0.068
ˈiː	ˈɑ	0.052
ˈoə̯	ˈuː	0.348
ˈoə̯	ˈoː	0.246
ˈoə̯	ˈœ	0.237
ˈoə̯	ˈɔ	0.083
ˈoː	ˈʉː	0.721
ˈoː	ˈuː	0.279
ˈu	ˈʉ	0.975
ˈuə̯	ˈuː	0.588
ˈuə̯	-	0.268
ˈuə̯	ˈoː	0.097
ˈuː	ˈʉː	0.444
ˈuː	ˈʉ	0.306
ˈuː	-	0.155
ˈuː	ˈɔ	0.095
ˈu̯o	ˈœ	1.0
ˈy	ˈʊ	0.97
ˈyː	ˈœ	0.393
ˈyː	ˈʉː	0.393
ˈyː	ˈɔ	0.107
ˈyː	ˈʏ	0.107
ˈø	ˈæː	0.475
ˈø	ˈoː	0.263
ˈø	ˈœ	0.263
ˈøə̯	ˈɛ	1.0
ˈɔ	ˈʉ	0.232
ˈɔ	-	0.19
ˈɔ	ˈɔ	0.174
ˈɔ	ˈʏ	0.116
ˈɔ	ˈɛ	0.115
ˈɔ	ˈʊ	0.079
ˈɔu̯	ɾ	0.553
ˈɔu̯	ˈʏ	0.288
ˈɔu̯	ˈʉ	0.159
ˈɔː	ˈɑ	0.81
ˈɔː	ˈʉː	0.19
ˈɛ	-	0.217
ˈɛ	ˈɛ	0.213
ˈɛ	ˈæː	0.126
ˈɛ	ˈeː	0.126
ˈɛ	ˈɪ	0.124
ˈɛ	ˈɑ	0.071
ˈɛ	ˈæ	0.062
ˈɛ	ˈøː	0.061
ˈɛi̯	ˈæɪ̯	0.517
ˈɛi̯	ˈɛ	0.182
ˈɛi̯	ˈʉː	0.168
ˈɛi̯	ˈɑː	0.085
ˈɛː	ˈɑː	0.455
ˈɛː	ˈʏ	0.333
ˈɛː	ˈɛ	0.212
ˈɪ	ˈɪ	0.264
ˈɪ	ˈɛ	0.14
ˈɪ	ˈeː	0.131
ˈɪ	-	0.079
ˈɪ	ˈœ	0.066
ˈɪ	ˈøː	0.061
ˈɪ	ˈɔ	0.061
ˈɪ	ˈʏ	0.061
ˈɪə̯	ˈøː	0.371
ˈɪə̯	ˈoː	0.14
ˈɪə̯	ˈɑ	0.104
ˈɪə̯	ˈyː	0.08
ˈɪə̯	ˈæː	0.079
ˈɪə̯	ˈœ	0.055
χ	j	0.329
χ	ɡː	0.218
χ	k	0.212
χ	ɡ	0.17
χ	s	0.053
