Aromanian	Galician	probability
e̯a	-	1.0
ç	f	1.0
b	β	0.141
e̯ˈa	ˈe	0.71
k	k	0.491
p	j	0.091
u	o	0.181
w	ˈu	0.101
ŋ	ɲ	0.061
ɡ	-	0.241
ɨ	ˈɛ	0.151
ɨ	o	0.571
ɲ	ɲ	0.191
ʎ	-	0.171
ʎ	l	0.191
ʤ	ɡ	0.081
ˈe	ˈɛ	0.511
ˈo	-	0.101
ˈə	w	0.251
a	a	0.242
e	ɐ	0.242
f	f	0.622
l	l	0.702
m	m	0.732
p	-	0.102
s	e_s	0.142
ə	-	0.092
ɡ	ɣ	0.192
ɲ	-	0.192
ʃ	-	0.092
ʧ	θ	0.492
ˈa	ˈo	0.062
ˈo	ˈɔ	0.52
ˈu	ˈo	0.442
e̯ˈa	ˈɛ	0.153
j	β	0.13
j	-	0.753
l	-	0.243
o̯ˈa	ˈa	0.093
o̯ˈa	e	0.183
s	s	0.793
w	j	0.053
w	β	0.63
z	v	0.183
ə	ɪ	0.093
ʃ	s	0.63
b	-	0.304
e	-	0.104
f	ʧ	0.124
f	-	0.254
k	p	0.124
n	ɲ	0.164
s	ʃ	0.064
v	b	0.774
ŋ	-	0.84
ə	ʊ	0.054
ɡ	b	0.284
ʤ	-	0.404
ˈo	ˈo	0.294
ˈu	ˈu	0.334
ˈɨ	ˈɑ	0.4
d	-	0.265
i	ˈe	0.055
n	n	0.425
p	k	0.05
t	ð	0.285
w	-	0.135
ʣ	ʃ	0.235
ʤ	ʃ	0.515
ˈa	ˈɛ	0.155
ˈi	ˈi	0.335
b	b	0.506
e	ŋ	0.496
i	-	0.526
p	f	0.066
u	-	0.06
v	w	0.226
ɡ	β	0.146
ʣ	-	0.356
ʦ	θ	0.576
ˈu	o	0.06
d	t	0.177
k	-	0.057
o̯ˈa	ˈo	0.317
p	β	0.127
p	p	0.457
t	-	0.187
z	-	0.817
ɡ	ɡ	0.137
ɨ	ˈa	0.277
ʃ	j_ʃ	0.127
ˈi	-	0.157
ˈi	ˈe	0.407
ˈu	ˈi	0.067
ˈɨ	ˈa	0.507
a	ˈa	0.178
e	l	0.158
i	e	0.068
i	ɐ	0.088
i	ɪ	0.188
k	ɣ	0.298
m	-	0.168
n	-	0.358
o̯ˈa	ˈɔ	0.378
u	ʊ	0.638
w	ʊ	0.08
ə	a	0.08
ɲ	m	0.508
ʃ	θ	0.08
ʦ	t	0.148
ʦ	-	0.168
ʧ	-	0.508
ˈa	a	0.068
ˈa	ˈa	0.598
ˈɨ	ʎ	0.08
a	-	0.169
a	r	0.349
d	d	0.529
e̯ˈa	ˈa	0.089
p	ʧ	0.079
r	-	0.169
r	ɾ	0.749
t	t	0.469
ŋ	n	0.099
ə	ɐ	0.659
ɲ	θ	0.109
ʎ	ʧ	0.299
ʎ	ʎ	0.339
ʣ	d	0.409
ʦ	k	0.059
ˈe	ˈe	0.489
ˈo	ɪ	0.059
ˈə	i	0.159
ˈə	ˈi	0.59
