Asturian	Asturian	probability
θ_ˈe	t	1.0
β_ˈe	a	1.0
β_ɾ	ʁ	1.0
β_u_#>	#>	1.0
ˈu_n	w	1.0
ˈo_ŋ	ɔ̃	1.0
ˈo_s	u	1.0
ˈo_n	ɔ̃	1.0
ˈi_ŋ	ɛ̃	1.0
ˈe_β	f	1.0
ˈe_ʝ	j	1.0
ˈe_ʎ	o	1.0
ˈe_ɣ	w	1.0
ˈe_s	o	1.0
ˈe_n	ɑ̃	1.0
ˈe_#>	w_a_#>	1.0
ˈa_ɾ	e	1.0
ˈa_ð	e	1.0
ˈa_n	ɛ̃	1.0
ˈa_l	o	1.0
ʝ_a_#>	j_#>	1.0
ɾ_β	ʁ_b	1.0
ɾ_e	ʁ	1.0
ɲ_u	ɛ̃	1.0
ɡ	ɡ	1.0
ð_ɾ	ʁ	1.0
w_ˈe	ɔ	1.0
w_ˈa	a	1.0
u_#>	#>	1.0
t_u_#>	#>	1.0
t_u	ɛ̃	1.0
t_a_#>	t_#>	1.0
s_a	s_a	1.0
s_#>	#>	1.0
r	ʁ	1.0
p_j	p	1.0
n_w	n	1.0
n_u	ɛ̃	1.0
l_#>	#>	1.0
k_ˈa	ʃ	1.0
k_ɾ	k_ʁ	1.0
k_w	k	1.0
k_a	ʃ	1.0
i	-	1.0
f	f	1.0
e_ɾ	ɛ_ʁ	1.0
e_#>	#>	1.0
b_j	v	1.0
a_#>	#>	1.0
<#_ˈo	<#_ɔ	1.0
<#_ˈa	<#_a	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#	<#_e	1.0
ʎ	l	0.923
p	p	0.923
ɾ	ʁ	0.903
m	m	0.885
ʃ	ʒ	0.833
l	l	0.833
j_ˈe	ɛ	0.778
<#_e	<#_e	0.778
d	d	0.727
ˈi	i	0.708
ð	-	0.7
a	a	0.688
ɲ	-	0.667
β	v	0.625
n	n	0.615
θ_#>	a_#>	0.6
s	s	0.6
<#_a	<#_ɛ	0.6
θ	s	0.579
t	t	0.579
b	v	0.577
ŋ	ɛ̃	0.571
ɣ	-	0.556
ˈu	y	0.533
ʧ	t	0.5
ʧ	-	0.5
ʝ	j	0.5
ʝ	-	0.5
w	œ	0.5
w	-	0.5
o	-	0.5
ˈa	ɛ	0.483
ɣ	ɡ	0.444
k	k	0.433
ŋ	-	0.429
b	b	0.423
t	-	0.421
e	-	0.421
θ_#>	#>	0.4
s	-	0.4
<#_a	<#_a	0.4
ˈo	u	0.385
ˈe	ɛ	0.375
k	ʃ	0.367
ɲ	n	0.333
o	ɔ	0.318
e	ə	0.316
ˈa	a	0.31
ð	d	0.3
j	j	0.294
j	i	0.294
j	-	0.294
ˈi	-	0.292
d	-	0.273
β	-	0.25
u	u	0.25
u	-	0.25
j_ˈe	j	0.222
<#_e	<#	0.222
θ	z	0.211
θ	-	0.211
ˈu	ɥ	0.2
k	-	0.2
n	-	0.192
a	-	0.188
o	u	0.182
ʃ	-	0.167
u	ɑ̃	0.167
u	ø	0.167
u	a	0.167
l	-	0.167
e	w	0.158
ˈo	ɔ	0.154
ˈo	œ	0.154
ˈo	o	0.154
ˈe	w	0.146
ˈe	i	0.146
ˈa	e	0.138
ˈu	w	0.133
ˈu	-	0.133
β	b	0.125
a	ɛ	0.125
j	a	0.118
n	ɑ̃	0.115
m	-	0.115
e	w_a	0.105
ˈe	w_a	0.104
ˈe	-	0.104
ˈo	ø	0.077
ˈo	w	0.077
ʎ	p_l	0.077
p	-	0.077
n	ɔ̃	0.077
ˈa	-	0.069
ɾ	e	0.065
