American English	Eastphalian	probability
b	b	1.0
d	d	0.605
d	t	0.262
d	-	0.097
f	f	0.886
f	l_f	0.074
h	h	0.928
h	k	0.072
i	ɪ	0.862
i	ɒː	0.138
j	j	0.929
j	ˈøː	0.071
k	k	0.971
kʰ	k	0.92
kʰ	-	0.08
l	l	1.0
m	m	1.0
n	n	1.0
oʊ̯	-	0.635
oʊ̯	n	0.365
p	p	0.794
p	b	0.206
pʰ	p	1.0
s	s	0.535
s	z	0.451
t	t	1.0
tʰ	t	0.968
tː	t	1.0
v	v	0.609
v	f	0.154
v	b	0.131
v	m	0.107
w	v	0.812
w	w	0.087
w	-	0.087
z	z	1.0
ð	-	0.607
ð	d	0.319
ð	n	0.074
ŋ	ŋ	1.0
ə	-	0.42
ə	ə	0.419
ə	ˈœ	0.161
ɚ	ɐ	0.945
ɚ	ə	0.055
ɡ	ɣ	0.702
ɡ	j	0.209
ɡ	-	0.089
ɪ	-	0.552
ɪ	ə	0.448
ɫ	l	0.929
ɫ	-	0.071
ɹ	r	0.599
ɹ	ɐ	0.323
ɹ	-	0.078
ɾ	t	0.746
ɾ	x	0.254
ʃ	ʃ	1.0
ʔ	t	0.854
ʔ	x_t	0.086
ʤ	ɡ	0.423
ʤ	ɣ	0.368
ʤ	k	0.209
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.334
ˈaɪ̯	ˈɪ	0.22
ˈaɪ̯	ˈyː	0.135
ˈaɪ̯	ˈøː	0.061
ˈaɪ̯	ˈɛɪ̯	0.061
ˈaɪ̯	ˈeː	0.052
ˈaɪ̯	ˈeo̯	0.051
ˈaʊ̯	ˈuː	0.776
ˈaʊ̯	ˈʊ	0.158
ˈaʊ̯	ˈaʊ̯	0.066
ˈeɪ̯	ˈa	0.259
ˈeɪ̯	ˈɒː	0.207
ˈeɪ̯	j	0.189
ˈeɪ̯	ˈɛː	0.179
ˈeɪ̯	ˈɛ	0.059
ˈeɪ̯	ˈeo̯	0.056
ˈeɪ̯	ˈɛə̯	0.051
ˈi	ˈɔʏ̯	0.215
ˈi	ˈɛɪ̯	0.19
ˈi	ˈeo̯	0.125
ˈi	ˈɒː	0.124
ˈi	ˈiː	0.121
ˈi	ˈøː	0.07
ˈoʊ̯	ˈɛɪ̯	0.487
ˈoʊ̯	ˈoː	0.139
ˈoʊ̯	ˈɔ	0.125
ˈoʊ̯	ˈɪ	0.069
ˈoʊ̯	ˈeː	0.066
ˈoʊ̯	ˈɛː	0.066
ˈu	ˈaʊ̯	0.433
ˈu	ˈɛɪ̯	0.199
ˈu	ˈɒː	0.14
ˈu	ˈɛː	0.112
ˈu	ɐ	0.086
ˈæ	ˈa	0.884
ˈæ	ˈaː	0.077
ˈɑ	ˈa	0.446
ˈɑ	ˈɔ	0.302
ˈɑ	ˈɒː	0.148
ˈɑ	ˈeː	0.079
ˈɔ	ɐ	0.355
ˈɔ	ˈoː	0.355
ˈɔ	ˈaː	0.204
ˈɔ	ˈɔ	0.087
ˈɛ	ˈɛ	0.163
ˈɛ	ˈɪ	0.161
ˈɛ	ˈɛɪ̯	0.115
ˈɛ	ˈeː	0.114
ˈɛ	ˈeo̯	0.104
ˈɛ	ˈɒː	0.094
ˈɛ	ˈɔ	0.071
ˈɛ	ˈʏ	0.056
ˈɛ	ˈɛː	0.051
ˈɝ	ˈoː	0.651
ˈɝ	ˈɛː	0.198
ˈɝ	ˈʏ	0.122
ˈɪ	ˈɪ	0.661
ˈɪ	ˈʏ	0.136
ˈɪ	ˈɛ	0.09
ˈɪ	ˈiː	0.05
ˈʊ	ˈʊ	0.69
ˈʊ	ˈaʊ̯	0.31
ˈʌ	ˈʊ	0.454
ˈʌ	ˈoː	0.167
ˈʌ	ˈʏ	0.108
ˈʌ	ˈɔ	0.064
ˈʌɪ̯	ˈɪ	0.369
ˈʌɪ̯	ˈiː	0.36
ˈʌɪ̯	ˈa	0.22
ˈʌɪ̯	ˈɛ	0.051
θ	d	0.836
θ	t	0.099
θ	-	0.052
