Kashubian	Russian	probability
ˈɞ_w	ˈo_ɫ	1.0
ˈɞ	ˈa	1.0
ˈɛ_s	sʲ	1.0
ˈɔ	ˈo	1.0
ˈu	ˈo	1.0
ˈõ	ˈu	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa_ŋ	ˈa	1.0
ʦ_#>	tʲ_#>	1.0
ʦ	ʦ	1.0
ʤ	ɪ	1.0
ʣ	dʲ	1.0
ʐ_ˈe	rʲ	1.0
ʐ	rʲ	1.0
ʃ	ʂ	1.0
ʂ	rʲ	1.0
ɲ_#>	nʲ_#>	1.0
ɡ	ɡ	1.0
ɔ_#>	ə_#>	1.0
ŋ_ʦ_#>	tʲ_#>	1.0
ŋ_z	z	1.0
z	zʲ	1.0
x	x	1.0
w_ˈɔ	ɫ	1.0
u̯ˈɛ_s	ˈo_sʲ	1.0
u̯ɛ	-	1.0
u	-	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
r	r	1.0
p_#>	p_#>	1.0
p	pʲ	1.0
m_ə_#>	mʲ_#>	1.0
m_j	mʲ	1.0
m	m	1.0
l_#>	lʲ_#>	1.0
l	lʲ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɞ	ɪ	1.0
j_ˈɛ	ˈe	1.0
j_ˈa	ˈe	1.0
i_#>	j_#>	1.0
f_j	vʲ	1.0
e	ɪ	1.0
d	d	1.0
<#_ʧ	<#_ʨ	1.0
<#_ʦ	<#_tʲ	1.0
<#_ʣ	<#_dʲ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ɡ	<#_ɡ	1.0
<#_x	<#_x	1.0
<#_u̯ˈɛ	<#_ɐ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_ʦ	1.0
t	t	0.75
a_#>	ˈa_#>	0.75
ˈə	ˈɨ	0.667
u̯ˈɛ	ɐ	0.667
n	n_ɨ	0.667
w	ɫ	0.643
<#_s	<#_s	0.625
<#_p	<#_pʲ	0.625
<#_m	<#_m	0.625
#>	ə_#>	0.625
s	s	0.571
j	-	0.571
<#_v	<#_vʲ	0.571
ʧ	tʲ	0.5
ʧ	kʲ_ɪ	0.5
v	vʲ	0.5
v	v	0.5
<#_z	<#_zʲ	0.5
<#_z	<#_z	0.5
ˈɛ	ˈe	0.455
ˈa	ˈe	0.444
s	sʲ	0.429
j	ɪ	0.429
<#_v	<#_v	0.429
<#_s	<#_sʲ	0.375
<#_p	<#_p	0.375
<#_m	<#_mʲ	0.375
#>	e_#>	0.375
ˈɛ	ˈo	0.364
ˈə	ˈi	0.333
ˈa	ˈa	0.333
ɛ	ˈe	0.333
ɛ	ɪ	0.333
ɛ	-	0.333
u̯ˈɛ	ˈo	0.333
n	n	0.333
t	tʲ	0.25
a_#>	ə_#>	0.25
ˈa	-	0.222
w	ɫ_ɨ	0.214
ˈɛ	ˈɵ	0.182
w	ˈo_ɫ	0.143
