Venetian	Spanish	probability
#>	#>	0.969
<#	<#	0.949
<#_f	<#	1.0
<#_z	<#	1.0
a	a	0.883
a	-	0.066
b	b	0.67
b	β	0.249
b	k	0.074
d	d	0.546
d	ð	0.225
d	-	0.19
e	e	0.617
e	ˈe	0.153
e	-	0.105
e_#>	#>	1.0
e_z	θ	0.521
f	f	0.795
f	ɟ͡ʝ	0.174
f	θ	0.05
i	o	0.452
i	e	0.227
i	i	0.215
i	u	0.087
j	j	0.35
j	-	0.333
j	l	0.219
j	e	0.059
j	u	0.052
k	k	0.983
l	l	0.583
l	u	0.114
l	ɾ	0.114
l	ˈo	0.114
l	ʝ	0.075
m	m	0.991
n	n	0.847
n	ɲ	0.105
n	-	0.053
o	o	0.881
p	p	1.0
p_j	ɟ͡ʝ	1.0
r	ɾ	0.826
r	r	0.086
r	-	0.057
s	s	0.587
s	θ	0.3
t	t	0.727
t	ʧ	0.145
t	ð	0.104
u	a	0.361
u	e	0.361
u	o	0.217
v	β	0.473
v	b	0.472
v	-	0.053
w	w	0.603
w	-	0.257
w	ɾ	0.108
z	θ	0.486
z	-	0.185
z	x	0.178
z	s	0.085
ŋ	n	0.802
ŋ	ŋ	0.108
ŋ	m	0.055
ɡ	ɣ	0.499
ɡ	ɡ	0.36
ɡ	k	0.055
ɰ	l	0.834
ɰ	ʝ	0.103
ɰ	ɲ	0.059
ɲ	ɲ	0.625
ɲ	n	0.252
ɲ	ŋ	0.104
ʤ	x	0.488
ʤ	ɲ	0.28
ʤ	ɡ	0.182
ʧ	x	0.701
ʧ	ɟ͡ʝ	0.292
ˈa	ˈa	0.9
ˈa_l	ˈo	0.521
ˈe	ˈe	0.63
ˈe	l_ˈe	0.109
ˈe	ˈe_ʝ	0.061
ˈe	e	0.054
ˈe	ˈe_ð	0.053
ˈe	ˈi	0.053
ˈi	ˈi	0.696
ˈi	j	0.111
ˈi	ˈi_x	0.071
ˈo	ˈo	0.419
ˈo	w_ˈe	0.354
ˈo	ˈu	0.165
ˈo	o	0.056
ˈu	ˈu	0.698
ˈu	ˈo	0.241
ˈu	w	0.054
ˈɔ	ˈo	0.5
ˈɔ	w_ˈe	0.364
ˈɔ	ˈu	0.062
ˈɛ	j	0.353
ˈɛ	ˈe	0.327
ˈɛ	ˈi_ʝ	0.102
ˈɛ	e	0.059
ˈɛ	l	0.059
ˈɛ	ˈe_ð	0.053
ˈɛ	-	0.052
