Ladin	Piedmontese	probability
b	b	1.0
m	m	1.0
p	p	1.0
u	u	1.0
v	v	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʥ	ʤ	1.0
ʦ	s	1.0
ʧ	s	1.0
ˈu	ˈy	1.0
i	-	0.181
k	k	0.701
n	n	0.471
ɡ	ɡ	0.691
ˈo	-	0.181
ˈɔ	ˈø	0.061
a	-	0.082
e	i	0.072
k	-	0.102
k	ɡ	0.112
t	t	0.872
ʒ	s	0.092
ˈe	ˈe	0.402
ˈɛ	ˈe	0.12
n	ŋ	0.513
o	-	0.083
s	s	0.963
w	-	0.163
ʃ	s	0.693
ʒ	ʤ	0.573
ˈɔ	ˈɔ	0.893
d	t	0.124
f	f	0.794
j	-	0.164
l	l	0.804
ɡ	ʤ	0.084
ʨ	k	0.784
ˈe	ˈɛ	0.364
ˈɛ	ˈa	0.214
ɡ	-	0.225
ʒ	z	0.335
d	d	0.66
f	v	0.206
j	j	0.836
k	k_w	0.086
d	-	0.157
o	u	0.917
t	-	0.067
ʃ	z	0.307
ˈi	ˈi	0.977
ˈɛ	ˈɛ	0.607
a	a	0.918
l	j	0.078
r	r	0.978
w	ˈɔ	0.638
ʨ	s	0.188
ˈa	ˈa	0.968
ˈɛ	ˈi	0.058
d	ʤ	0.059
e	ˈɛ	0.079
e	a	0.129
e	e	0.719
i	i	0.819
l	-	0.119
w	w	0.199
ˈe	ˈi	0.069
ˈo	ˈu	0.819
