English	English	probability
θ_#>	#>	1.0
ˈɛ	-	1.0
ˈiː_l	ˈœ	1.0
ʧ	ʨ	1.0
ɹ_ˈaɪ̯	rː	1.0
ɹ	r	1.0
ɫ_#>	ɽ_#>	1.0
ɜː	r_ˈɛ	1.0
əʊ̯_#>	#>	1.0
ə_#>	#>	1.0
ŋ_k	kː_ɑ	1.0
ð	ð_ɛ	1.0
w_ˈɜː	ˈʉə̯_r	1.0
tʰ	tʰ	1.0
s_l	l̥	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
p	p	1.0
kʰ	kʰ	1.0
j	-	1.0
h	ˈoː	1.0
f_#>	v_#>	1.0
f	f	1.0
b	b	1.0
<#_ɹ	<#_r	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#	<#_kʰ	1.0
m	m	0.889
s	s	0.882
<#_h	<#	0.875
l	ɽ	0.842
ɡ	ɡ	0.818
ŋ	ŋ_ɡ	0.778
t	t	0.762
ʤ	ɡː	0.75
v	v	0.75
k	k	0.75
w	w	0.739
ˈɒ	-	0.667
ˈæ	ˈɑ	0.667
θ	tʰ	0.615
n	n	0.6
ə	r	0.593
ˈeɪ̯	ˈɑː	0.583
d	d	0.574
ˈuː	ˈʉːə̯	0.571
ˈəʊ̯	-	0.562
ˈaʊ̯	ˈɑːu̯	0.556
ˈɐ	ˈʉ	0.529
ˈʊ	ˈʉːə̯	0.5
ˈʊ	ˈʉ	0.5
ˈe	-	0.5
ʃ	s_ʨ	0.5
ʃ	s_k	0.5
ɪ	ɪ	0.5
ɪ	-	0.5
ˈɐ	-	0.471
#>	r_#>	0.458
ˈaʊ̯	-	0.444
ˈəʊ̯	ˈiːe̯	0.438
ˈuː	-	0.429
ɫ	lː	0.4
ˈɑː	ˈɑː	0.375
ˈɑː	ˈɑ_r	0.375
ə	ɛ	0.37
ˈɪ	ˈɪ	0.353
ˈe	ˈɛ	0.35
ˈɔː	ˈʉə̯	0.333
ˈɒ	ˈɑːu̯	0.333
ˈæ	-	0.333
d	ð	0.319
ˈɑː	ˈɔː	0.25
ˈeɪ̯	-	0.25
ʤ	ʥː	0.25
v	-	0.25
k	kː	0.25
#>	ɔ_#>	0.25
θ	ð	0.231
ˈɔː	ˈɑ_r	0.222
ˈɔː	ˈo_r	0.222
ˈɔː	r	0.222
ˈaɪ̯	ˈɪ	0.222
ˈaɪ̯	ˈɑːi̯	0.222
ŋ	ŋ	0.222
t	tː	0.214
#>	ɣ_#>	0.208
ɫ	ˈo_l	0.2
ɫ	ɽ	0.2
ɫ	-	0.2
ˈaɪ̯	ˈɪː	0.185
ˈaɪ̯	-	0.185
ɡ	ʥ_ˈæ	0.182
ˈiː	ˈœː	0.179
n	nː	0.175
ˈeɪ̯	ˈɔ	0.167
l	ɽ_j	0.158
θ	nː	0.154
ˈe	ˈœː	0.15
ˈɪ	-	0.147
ˈiː	ˈyːœ̯	0.143
ˈiː	-	0.143
w	w_ˈɛː	0.13
w	-	0.13
n	-	0.125
<#_h	<#_j	0.125
ˈɪ	ˈʏ	0.118
ˈaɪ̯	ˈʉːə̯	0.111
m	mː	0.111
ˈiː	ˈɪː	0.107
ˈiː	j_ˈʉːə̯	0.107
d	-	0.106
ˈɪ	ˈæː	0.088
ˈɪ	j_ˈʉːə̯	0.088
ˈɪ	j	0.088
s	s_j	0.088
#>	ɣ_ɑ_#>	0.083
ˈaɪ̯	ɣ	0.074
ˈiː	ˈʉːə̯	0.071
ˈiː	ˈɔ̃ː	0.071
ˈiː	ˈɑːi̯	0.071
ˈiː	j	0.071
ˈɪ	ˈʉ	0.059
ˈɪ	ˈɪː	0.059
