Proto-Germanic	Eastphalian	probability
a	-	1.0
b	b	0.945
b	-	0.057
b_ˈi	ˈɪ	1.0
d	d	1.0
e	ɐ	0.495
i	-	0.942
i	ɐ	0.059
i_z	ə	1.0
iː	n	0.53
iː	-	0.301
j	-	0.85
j	j	0.116
j	ˈʏ	0.039
jː	ˈɛɪ̯	0.495
k	k	0.936
k	ɣ	0.064
kʷ	k	0.495
kː	k	1.0
l	l	0.919
l	n	0.046
l	-	0.045
l_i	l	1.0
l_u	l	1.0
l_ɑ	l	1.0
lː	l	1.0
m	m	0.89
m	-	0.064
m	n	0.053
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.495
n	n	0.867
n	-	0.075
n_u	n	0.495
n_x	ŋ	0.495
n_ɑ	m	1.0
n_ɑ̃	m	1.0
nː	n	0.833
nː	ˈœ	0.108
p	p	1.0
p_ɑ	b	1.0
p_ɑ̃	p	1.0
pː	p	0.495
r	r	0.51
r	-	0.244
r	ɐ	0.242
r_i	ɐ	1.0
r_u	ɐ	1.0
r_ɑ	ɐ	0.495
r_ɑ̃	ɐ	1.0
s	s	0.392
s	z	0.349
s	-	0.256
s_k	ʃ	1.0
s_ɑ̃	s	1.0
t	t	0.925
t	-	0.075
u	-	0.776
u	ə	0.173
u_n	n	1.0
u_z	ə	1.0
w	v	0.577
w	-	0.297
w	w	0.119
wː	ˈuː	1.0
x	h	0.542
x	x	0.174
x	-	0.14
x	ç	0.125
x	p	0.033
x_l	l	1.0
xʷ	v	0.594
xʷ	-	0.392
z	-	1.0
ð	-	0.43
ð	d	0.42
ð	t	0.143
ð_i	t	1.0
ð_ɑ	t	1.0
ð_ɑ̃	t	1.0
ŋ	-	0.646
ŋ	ŋ	0.334
ŋ_ɡ	ŋ	1.0
ɑ	-	0.939
ɑ	ɪ	0.047
ɑ_l	l	1.0
ɑ_z	ə	1.0
ɑi̯	ˈɪ	0.495
ɑː	-	0.245
ɑ̃	-	0.982
ɑ̃	ɐ	0.03
ɔː	ɐ	0.53
ɔː	ə	0.322
ɔː	-	0.079
ɔː_n	n	0.495
ɔːu̯	ə	1.0
ɔːː	ə	0.596
ɔːː	ɐ	0.284
ɔːː	-	0.111
ɔ̃ː	ə	0.718
ɔ̃ː	-	0.165
ɔ̃ː	ˈuː	0.109
ɛː	ɐ	1.0
ɡ	-	0.5
ɡ	ç	0.5
ɡʷ	ŋ	0.245
ɣ	ɣ	0.452
ɣ	j	0.182
ɣ	ç	0.148
ɣ	-	0.132
ɣ	ɡ	0.061
ɣ_ɑ	x	1.0
ɸ	f	0.947
ɸ	-	0.041
ɸ	ʃ	0.034
ˈe	ˈɛ	0.265
ˈe	ˈeː	0.238
ˈe	ˈɛː	0.193
ˈe	ˈɛɪ̯	0.159
ˈe	ˈɪ	0.068
ˈeu̯	ˈɛɪ̯	0.674
ˈeu̯	ˈɪ	0.233
ˈeu̯	ˈɔ	0.087
ˈeː	ˈiː	0.495
ˈi	ˈɪ	0.672
ˈi	ˈiː	0.192
ˈi	ˈɛ	0.058
ˈi	ɪ	0.051
ˈi	-	0.038
ˈiu̯	ˈiː	0.361
ˈiu̯	ˈʏ	0.361
ˈiu̯	ˈyː	0.206
ˈiː	ˈiː	0.788
ˈiː	ˈɛɪ̯	0.115
ˈiː	ˈɪ	0.088
ˈĩː	ˈɪ	0.495
ˈu	ˈʊ	0.266
ˈu	ˈɔ	0.245
ˈu	ˈoː	0.211
ˈu	ˈʏ	0.104
ˈu	-	0.051
ˈuː	ˈuː	0.786
ˈuː	ˈaʊ̯	0.147
ˈuː	ˈʊ	0.057
ˈɑ	ˈa	0.488
ˈɑ	ˈɒː	0.162
ˈɑ	ˈɔ	0.064
ˈɑ	ˈɛː	0.053
ˈɑ	ˈɛ	0.047
ˈɑi̯	ˈɛɪ̯	0.747
ˈɑi̯	ˈeː	0.086
ˈɑi̯	ˈɪ	0.086
ˈɑi̯	ˈeo̯	0.064
ˈɑu̯	ˈeo̯	0.703
ˈɑu̯	ˈøː	0.178
ˈɑu̯	ˈoː	0.057
ˈɑu̯	ˈɔʏ̯	0.057
ˈɔ	ˈɔʏ̯	1.0
ˈɔː	ˈaʊ̯	0.487
ˈɔː	ˈɔʏ̯	0.233
ˈɔː	ˈʊ	0.121
ˈɔː	ˈyː	0.073
ˈɔː	ˈɛ	0.073
ˈɛː	ˈɒː	0.864
ˈɛː	ˈaː	0.118
β	v	0.534
β	f	0.202
β	-	0.125
β	b	0.082
β_ɑ	f	1.0
θ	d	0.633
θ	-	0.36
θ_ɑ	d	1.0
θ_ɑ̃	d	1.0
