Proto-Germanic	Eastphalian	probability
a	-	1.0
iː	-	1.0
jː	ˈɛɪ̯	1.0
kː	k	1.0
lː	l	1.0
mː	m	1.0
nː	n	1.0
pː	p	1.0
tː	t	1.0
wː	ˈuː	1.0
z	-	1.0
ɑi̯	ˈɪ	1.0
ɑː	-	1.0
ɔːu̯	ə	1.0
ɛː	ɐ	1.0
ɡʷ	-	1.0
ˈeː	ˈiː	1.0
ˈĩː	ˈɪ	1.0
ˈɑː	ˈɒː	1.0
ˈɔ	ˈɔʏ̯	1.0
ˈɛː	ˈɒː	1.0
j	j	0.11
r	-	0.061
s	z	0.361
w	-	0.211
ŋ	n	0.181
ŋ	ŋ	0.781
ɑ	-	0.921
ɔː	ɐ	0.091
ɔ̃ː	ə	0.891
ɣ	ç	0.131
ˈe	ˈoː	0.081
ˈe	ˈɛː	0.11
ˈi	ˈiː	0.131
ˈiu̯	ˈʏ	0.171
ˈiː	ˈɪ	0.051
ˈu	ˈœ	0.101
ˈu	ˈɔ	0.151
β	v	0.421
d	-	0.062
l	-	0.112
n	n	0.82
s	-	0.12
xʷ	-	0.382
ð	-	0.202
ɡ	ç	0.052
ɣ	j	0.182
ˈe	-	0.062
ˈeu̯	ˈɔ	0.092
ˈeu̯	ˈɪ	0.092
ˈiː	ˈɛɪ̯	0.052
ˈɑ	ˈɒː	0.122
ˈɑi̯	-	0.072
e	ɐ	0.923
i	ə	0.123
j	-	0.83
kʷ	k	0.963
p	p	0.813
r	ɐ	0.533
w	w	0.213
x	-	0.23
ð	t	0.443
ɑ	ə	0.073
ɔːː	-	0.123
ɔːː	ə	0.63
ɣ	x	0.053
ɣ	ŋ	0.063
ˈe	ˈɛ	0.163
ˈiu̯	ˈiː	0.183
ˈu	ˈʏ	0.153
ˈu	ˈʊ	0.283
ˈɑi̯	ˈɪ	0.053
ˈɑi̯	ˈeo̯	0.053
ˈɔː	ˈʊ	0.123
b	b	0.904
u	ə	0.244
x	h	0.574
ɔː	-	0.324
ˈi	ˈɪ	0.74
ˈuː	ɐ	0.144
ˈɑ	ˈa	0.54
θ	-	0.314
k	k	0.695
m	m	0.905
ð	d	0.355
ɑ̃	-	0.985
ɔː	ə	0.585
ɣ	-	0.075
ɣ	ɣ	0.295
ˈe	ˈa	0.145
ˈi	ˈʏ	0.075
ˈiu̯	ˈyː	0.645
ˈɑ	ˈɛː	0.065
ˈɔː	ˈyː	0.075
β	b	0.135
β	f	0.335
b	-	0.096
m	-	0.076
n	-	0.116
r	r	0.406
u	-	0.756
ɔːː	ɐ	0.246
ɸ	f	0.946
ˈe	ˈɪ	0.086
ˈuː	ˈaʊ̯	0.086
ˈɑi̯	ˈoː	0.056
ˈɑi̯	ˈɛɪ̯	0.696
ˈɑu̯	ˈøː	0.206
ˈɔː	ˈɛ	0.096
θ	d	0.666
e	ɒː	0.077
p	b	0.187
ˈeu̯	ˈɛɪ̯	0.817
ˈiː	ˈiː	0.897
ˈuː	ˈuː	0.77
ˈɑ	ˈaː	0.057
ˈɑ	ˈɛ	0.077
ˈɔː	ˈaʊ̯	0.387
d	d	0.938
k	-	0.28
l	l	0.888
s	ʃ	0.198
ɡ	-	0.948
ˈe	ˈɛɪ̯	0.118
ˈe	ˈeː	0.178
ˈu	ˈoː	0.218
i	-	0.829
s	s	0.319
t	t	0.959
w	v	0.549
x	ç	0.149
xʷ	n	0.109
xʷ	v	0.509
ɔ̃ː	ˈuː	0.109
ɣ	ɡ	0.179
ˈɑ	-	0.059
ˈɑu̯	ˈoː	0.059
ˈɑu̯	ˈeo̯	0.689
ˈɔː	ˈɔʏ̯	0.319
β	-	0.109
