Swedish	Swedish	probability
ˈʊ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈœː	-	1.0
ˈøː_n	ˈĩː	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæ	ˈæ	1.0
ˈoː_n	ˈõː	1.0
ˈiː_ʊ	ˈoĩ̯	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiː	ˈai̯	1.0
ˈa_r	ˈɑː	1.0
ʈː	-	1.0
ʈ	d̥	1.0
ʂ	ɐ_ʃ	1.0
ɵ	-	1.0
ɪ	-	1.0
ɡ_ɛ	ɣ̊	1.0
ɡ_#>	ʃ_#>	1.0
ɕ	kʰ	1.0
ɔ	ɛː	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
v_#>	b̥_#>	1.0
v	v	1.0
sː	s	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
rː	ˈæ_ɐ	1.0
r_a	ɐ	1.0
r_#>	#>	1.0
pː	f	1.0
pʰ	f	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_v	l_f	1.0
l	l	1.0
kː	ŋ_ɡ̊	1.0
jː	ˈɑː_ɣ̊	1.0
j_#>	ʃ_#>	1.0
h	h	1.0
f	f	1.0
d_#>	#>	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_v	1.0
#>	ə_#>	1.0
d	d̥	0.781
kʰ	kʰ	0.778
s	s	0.679
ˈuː	ˈuː	0.667
ˈa	ˈɑ	0.647
a	ə	0.622
ɛ	æ̆	0.611
ɳ	ɐ_n	0.6
p	f	0.6
ɡː	-	0.571
b	b̥	0.556
ˈʏ	ˈi	0.5
ˈʏ	-	0.5
ˈʉː	ˈau̯	0.5
ˈɔ	ˈo	0.5
ˈɔ	-	0.5
ˈœ	-	0.5
ˈyː	ˈoi̯	0.5
ˈyː	ˈiː	0.5
ɧ	ʃ	0.5
ɧ	s	0.5
tʰ	d̥	0.5
k	ʃ	0.5
j_ˈʉː	l_ˈi	0.5
j_ˈʉː	d̥_ˈiː	0.5
r	ʀ	0.486
ˈoː	ˈɑː	0.462
ˈɑː	ˈɑː	0.455
ˈɛː	-	0.444
b	p	0.444
ɡː	k	0.429
tː	ʦ	0.429
ɳ	ɐ	0.4
ɡ	ɡ̊	0.4
p	v̥	0.4
ɛ	-	0.389
ˈɵ	ˈu	0.385
ˈøː	-	0.385
ˈɑː	ˈa	0.364
ˈa	ˈa	0.353
ˈɛː	ˈɛ	0.333
ˈeː	ˈaː	0.333
k	x	0.333
tʰ	ʦ	0.312
t	s	0.312
t	d̥	0.312
ˈɵ	ˈo	0.308
ˈøː	ˈaː	0.308
ˈoː	ˈoː	0.308
ˈʉː	-	0.286
tː	ʃ_t	0.286
tː	z̥	0.286
ˈɛ	ˈɛ	0.273
a	-	0.267
ˈœ	ˈɔ	0.25
ˈœ	ˈaː	0.25
s	ʃ	0.25
j	ˈi	0.25
j	ɡ̊	0.25
j	h	0.25
j	-	0.25
ˈøː	ˈoː	0.231
ˈɛː	ˈɑː	0.222
ˈeː	ˈãː	0.222
ˈeː	ˈai̯	0.222
ˈeː	-	0.222
kʰ	k	0.222
d	t	0.219
ˈʉː	ˈiː	0.214
ɡ	x	0.2
r	ɐ	0.189
tʰ	t	0.188
t	z̥	0.188
ˈɛ	ˈe	0.182
ˈɛ	-	0.182
ˈɑː	-	0.182
ˈuː	ˈɔ	0.167
ˈuː	-	0.167
k	-	0.167
ˈɵ	ˈi	0.154
ˈɵ	-	0.154
ˈoː	-	0.154
ˈɛ	ˈi	0.136
ˈɛ	ˈai̯	0.136
r	æ̆	0.135
ɡ	ɣ̊	0.133
ɡ	k	0.133
ɡ	-	0.133
t	t	0.125
r	-	0.108
ˈɛ	ˈa	0.091
r	d̥_æ̆	0.081
ˈøː	oː	0.077
ˈoː	ˈɛ̃ː	0.077
s	-	0.071
t	ʣ̥	0.062
