Gothic	Swiss German	probability
b	b̥	1.0
e	ə	1.0
iː	-	1.0
l	l	1.0
x	ɡ̊	1.0
ɔː	-	1.0
ɡʷ	-	1.0
kʷ	f	0.671
ˈa	ˈæ	0.151
β	-	0.81
a	-	0.172
j	r	0.282
j	-	0.362
w	ʋ	0.912
z	-	0.672
ɡ	ɡ̊	0.742
ʍ	ʋ	0.802
ˈi	ˈæ	0.052
ˈi	-	0.132
ˈiu̯	ˈiə̯	0.262
ˈoː	ˈuə̯	0.732
θ	t	0.242
f	b̥	0.203
i	i	0.203
k	-	0.313
n	ŋ	0.053
s	s	0.153
s	-	0.693
ˈiː	ˈiː	0.633
ˈɔ	ˈoː	0.283
ˈɔ	ˈo	0.363
ˈɔː	ˈo	0.053
h	-	0.184
lː	l	0.194
m	ˈoː	0.074
n	-	0.24
u	-	0.884
ɣ	ɡ̊	0.604
ˈiː	ˈei̯	0.184
ˈiː	ˈyː	0.184
ˈu	ˈo	0.154
ˈɔː	ˈy	0.124
ˈɛː	ˈeː	0.14
aː	-	0.5
aː	ə	0.5
d	d̥	0.215
h	h	0.515
n	n	0.685
r	-	0.075
r	r	0.925
s	ʃ	0.145
t	t	0.235
ð	tː	0.585
ˈeː	ˈiə̯	0.175
ˈi	ˈæː	0.05
ˈi	ˈi	0.605
ˈu	-	0.055
ˈuː	-	0.155
ˈɛː	ˈæi̯	0.665
θ	d̥	0.645
d	-	0.296
h	χ	0.286
k	χ	0.556
lː	lː	0.806
m	-	0.106
nː	-	0.246
oː	-	0.086
p	f	0.496
t	ʦ	0.376
u	ə	0.116
ð	t	0.386
ɣ	ɡ̊ː	0.396
ˈɔː	ˈøː	0.096
ˈɛ	ˈæː	0.256
f	f	0.797
i	-	0.797
k	k	0.107
nː	n	0.217
oː	ə	0.537
p	p͡f	0.267
ˈa	ˈɒ	0.507
ˈu	ˈø	0.097
ˈu	ˈuː	0.097
ˈuː	ˈu	0.227
ˈɛː	ˈe	0.117
β	b̥	0.147
a	ə	0.758
nː	nː	0.538
p	fː	0.238
w	-	0.088
z	ʃː	0.328
ŋ	-	0.18
ŋ	ŋ	0.788
ɡ	-	0.258
ʍ	ˈeː	0.198
ˈa	ˈɒː	0.208
ˈeː	ˈoː	0.268
ˈeː	ˈɒː	0.408
ˈiu̯	ˈøi̯	0.228
ˈu	ˈoː	0.068
ˈu	ˈɒ	0.068
ˈu	ˈu	0.438
ˈuː	ˈuː	0.618
ˈɔ	ˈu	0.338
ˈɛː	ˈøi̯	0.078
θ	-	0.078
d	t	0.489
j	j	0.329
kʷ	χ	0.329
m	m	0.819
oː	ˈau̯	0.189
oː	r	0.189
t	sː	0.319
ˈeː	ˈo	0.149
ˈiu̯	ˈyː	0.439
ˈoː	ˈyə̯	0.099
ˈoː	ˈyː	0.169
ˈɔː	ˈau̯	0.299
ˈɔː	ˈoː	0.429
ˈɛ	ˈæ	0.709
