Dutch	English	probability
b	b	0.981
d	d	0.611
d	θ	0.303
d	ð	0.086
f	f	0.643
f	v	0.301
f	-	0.056
j	j	1.0
k	ʧ	0.42
k	k	0.386
k	kʰ	0.119
k	-	0.067
m	m	0.956
n	n	0.936
p	p	0.981
s	s	0.642
s	z	0.12
s	ʃ	0.115
s	k_s	0.063
s	-	0.06
t	t	0.522
t	d	0.287
t	tʰ	0.068
t	θ	0.067
v	f	0.779
v	v	0.183
w	-	0.5
w	ˈuː	0.5
z	s	1.0
ŋ	ŋ	0.908
ŋ	-	0.092
ə	-	0.463
ə	ə	0.383
ɦ	h	1.0
ɪ	-	0.5
ɪ	ɪ	0.5
ɫ	l	0.676
ɫ	ɫ	0.273
ɫ	-	0.051
ɾ	ɹ	0.451
ɾ	ə	0.357
ɾ	-	0.113
ɾ	ˈɔː	0.071
ʋ	w	0.917
ʋ	-	0.083
ˈaː	ˈeɪ̯	0.294
ˈaː	ˈiː	0.203
ˈaː	ˈɔː	0.098
ˈaː	ˈɛ	0.098
ˈaː	ˈɪ	0.084
ˈaː	ˈɜː	0.082
ˈaː	ˈuː	0.059
ˈeː	ˈəʊ̯	0.324
ˈeː	ˈɪ	0.148
ˈeː	ˈe_ð	0.128
ˈeː	ˈe	0.105
ˈeː	ˈɛ	0.097
ˈeː	ˈiː	0.054
ˈi	ˈiː	0.369
ˈi	ˈɪ	0.228
ˈi	ˈe	0.175
ˈi	-	0.115
ˈoː	ˈiː	0.288
ˈoː	ˈɪ	0.236
ˈoː	ˈɜː	0.124
ˈoː	ˈɐ	0.118
ˈoː	ˈe	0.099
ˈoː	ˈaɪ̯	0.052
ˈu	ˈiː	0.339
ˈu	ˈɐ	0.271
ˈu	ˈuː	0.223
ˈu	ˈʊ	0.147
ˈyː	ˈaɪ̯	0.672
ˈyː	ˈɪ	0.328
ˈøː	ˈəʊ̯	1.0
ˈœy̯	ˈaʊ̯	0.672
ˈœy̯	ˈaɪ̯	0.231
ˈœy̯	ˈɪ	0.097
ˈɑ	ˈæ	0.48
ˈɑ	ˈɒ	0.12
ˈɑ	ˈɑː	0.117
ˈɑ	ˈɔː	0.101
ˈɑ	ˈeɪ̯	0.057
ˈɑ	-	0.052
ˈɑu̯	ˈəʊ̯	0.554
ˈɑu̯	ˈɒ	0.296
ˈɑu̯	ˈiː	0.15
ˈɔ	ˈɐ	0.442
ˈɔ	ˈɔː	0.187
ˈɔ	ˈɒ	0.098
ˈɔ	ˈaʊ̯	0.086
ˈɔ	ˈɜː	0.084
ˈɔ	ˈʊ	0.058
ˈɛ	ˈɪ	0.325
ˈɛ	-	0.278
ˈɛ	ˈæ	0.122
ˈɛ	ˈe	0.116
ˈɛ	ˈɜː	0.068
ˈɛ	ɪ	0.056
ˈɛi̯	ˈaɪ̯	0.487
ˈɛi̯	ˈiː	0.243
ˈɛi̯	ˈəʊ̯	0.128
ˈɛi̯	ˈɪ	0.115
ˈɪ	ˈɪ	0.664
ˈɪ	ˈaɪ̯	0.247
ˈɪ	ˈe	0.073
ˈʏ	ˈɪ	1.0
χ	ɡ	0.319
χ	ʤ	0.295
χ	-	0.277
χ	j	0.065
