Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʉː_#>	ˈuː_#>	1.0
ˈɪ	ˈi	1.0
ˈɔ_n	ˈõː	1.0
ˈɑ_ɾ	ˈɑː	1.0
ˈœ	-	1.0
ˈøː_n	ˈĩː	1.0
ˈæɪ̯_n	ˈãː	1.0
ˈæ	ˈæ	1.0
ˈuː_ɾ	ɐ_d̥	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ʰpː	f	1.0
ʰkː	ŋ_ɡ̊	1.0
ʋ_#>	b̥_#>	1.0
ɾ_n	ɐ_n	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɡ_ɾ	k_ʀ	1.0
ɡ_#>	ʃ_#>	1.0
ɛ	-	1.0
ə	æ̆	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	i	1.0
çː	-	1.0
v	v	1.0
tː	ʦ	1.0
t_#>	#>	1.0
sː	n_s	1.0
s_k	ʃ	1.0
pʰ	f	1.0
p_#>	f_#>	1.0
p	v̥	1.0
nː_#>	#>	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ_ʋ	v	1.0
jː	-	1.0
j_ɑ	ə	1.0
h	h	1.0
f	f	1.0
e_ɾ	æ̆	1.0
e_n	ɛː	1.0
e_#>	#>	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_v	1.0
ʋ	v	0.833
ɑ	ə	0.833
kʰ	kʰ	0.8
ˈɔ	-	0.75
ˈuː	ˈuː	0.7
s	s	0.694
ˈæɪ̯	ˈaː	0.667
n	n	0.667
d	d̥	0.667
#>	d̥_#>	0.619
ʰtː	t	0.6
ɡː	k	0.6
e	-	0.6
ˈɑ	ˈɑ	0.579
b	b̥	0.579
j	l	0.571
ˈyː	ˈiː	0.556
ˈoː	-	0.538
ˈʉː	ˈau̯	0.533
ˈʏ	ˈi	0.5
ˈʊ	ˈɔ	0.5
ˈʊ	-	0.5
ˈɑː	ˈɑː	0.5
ˈœʏ̯	ˈaː	0.5
ˈœʏ̯	-	0.5
ˈøː	ˈeː	0.5
ˈøː	-	0.5
ˈæʉ̯	ˈaː	0.5
ʂ	ʃ	0.5
tʰ	d̥	0.5
k	ʃ	0.5
k	x	0.5
ˈʉ	ˈu	0.467
ˈoː	ˈɑː	0.462
ɡ	ɡ̊	0.462
ˈiː	ˈai̯	0.455
ˈyː	ˈoi̯	0.444
j	ɡ̊	0.429
b	p	0.421
ˈeː	-	0.4
ʰtː	ʃ_t	0.4
ɡː	-	0.4
e	ə	0.4
ɾ	ʀ	0.39
ˈæʉ̯	ˈoː	0.375
ˈʏ	-	0.333
ˈæɪ̯	-	0.333
ç	ʃ	0.333
ç	kʰ	0.333
ç	d̥	0.333
n	-	0.333
d	t	0.333
ˈɑ	ˈa	0.316
ˈɛ	ˈɛ	0.312
tʰ	ʦ	0.312
ɡ	ɣ̊	0.308
ˈuː	ˈu	0.3
ˈeː	ˈɛ	0.3
ˈeː	ˈi	0.3
t	z̥	0.278
t	s	0.278
t	d̥	0.278
ˈiː	ˈi	0.273
ɾ	æ̆	0.268
ˈʉː	-	0.267
ˈʉ	-	0.267
ˈɔ	ˈɑ_x	0.25
ˈɑː	ˈa_d̥	0.25
ˈɑː	ˈa	0.25
ʂ	s	0.25
ʂ	-	0.25
s	ʃ	0.25
ɡ	x	0.231
ɾ	ɐ	0.22
ˈʉː	ˈiː	0.2
kʰ	k	0.2
#>	ə_#>	0.19
ˈɛ	ˈe	0.188
ˈɛ	ˈai̯	0.188
ˈɛ	-	0.188
tʰ	t	0.188
ˈiː	-	0.182
ˈʏ	v_ˈi	0.167
ʋ	f	0.167
t	t	0.167
ˈʉ	ˈo	0.133
ˈʉ	v_ˈo	0.133
ˈɛ	ˈæ	0.125
ˈæʉ̯	oː	0.125
ˈɑ	-	0.105
#>	æ̆_#>	0.095
#>	t_#>	0.095
ˈiː	ˈoĩ̯	0.091
ɾ	-	0.073
ɑ	n	0.067
ɑ	-	0.067
s	-	0.056
