Westphalian	Bokmål Norwegian	probability
b	b	0.896
b	-	0.097
d	d	0.527
d	-	0.25
d	tʰ	0.215
d_ɐ	ɾ	1.0
f	f	0.754
f	-	0.112
f	ʋ	0.085
f	m	0.046
h	h	1.0
j	-	0.66
j	ˈʊ	0.153
k	k	0.486
k	kʰ	0.31
k	k_ə	0.079
k	ɡː	0.064
k	h	0.051
l	l	0.721
l	lː	0.214
l	-	0.032
l	nː	0.032
m	m	0.678
m	mː	0.111
m	ɾ_m	0.082
m	n	0.06
m	ʋ	0.054
n	n	0.353
n	ə	0.234
n	-	0.233
n	nː	0.137
n	ɳ	0.039
n_d	nː	1.0
p	p	0.75
p	ɾ	0.116
p	d	0.082
r	ɾ	1.0
s	s	0.838
s	sː	0.103
s	-	0.044
s	ʂ	0.033
t	t	0.391
t	-	0.281
t	tʰ	0.175
t	tː	0.04
t	d	0.039
v	ʋ	0.491
v	-	0.464
w	ʋ	0.62
w	-	0.296
w	ˈʊ	0.078
w_ˈʊ	ˈʉ	1.0
x	ɡ	0.594
x	j	0.224
x	tː	0.116
x	-	0.051
z	s	0.482
ç	-	0.47
ç	tː	0.258
ç	ŋ	0.148
ç	s	0.102
ŋ	ŋː	0.803
ŋ	ɡ	0.12
ŋ	-	0.065
ŋ_k	kː	1.0
ɐ	ɾ	0.557
ɐ	ə_ɾ	0.18
ɐ	ɾ_ə	0.128
ɐ	lː	0.05
ɐ	ˈøː	0.044
ə	ə	0.62
ə	-	0.357
ɡ	-	1.0
ɣ	-	0.425
ɣ	ɡː	0.235
ɣ	j	0.13
ɪ	-	0.333
ɪ	i	0.333
ɪ	ɪ	0.333
ʃ	s	0.805
ʃ	s_k	0.106
ʃ	f	0.051
ʃ	ʃ	0.043
ˈa	ˈɑ	0.727
ˈa	ˈɛ	0.091
ˈa	ˈɑː	0.079
ˈa	ˈʊ	0.052
ˈa	ˈeː	0.039
ˈaɪ̯	ˈyː	0.379
ˈaɪ̯	ˈeː	0.226
ˈaɪ̯	ˈiː	0.11
ˈaɪ̯	ˈʉː	0.086
ˈaɪ̯	ˈøː	0.078
ˈaʊ̯	ˈøː	0.547
ˈaʊ̯	ˈœ	0.153
ˈaʊ̯	ˈoː	0.102
ˈaʊ̯	ˈʉː	0.075
ˈaʊ̯	ˈœʏ̯	0.073
ˈaʊ̯_d	ˈøː	1.0
ˈaː	ˈɑː	0.519
ˈaː	ˈɑ	0.291
ˈaː	ˈæɪ̯	0.097
ˈeː	ˈæɪ̯	0.412
ˈeː	ˈeː	0.245
ˈeː	ˈiː	0.162
ˈeː	ˈuː	0.162
ˈiə̯	ˈiː	1.0
ˈiɛ̯	ˈɔ	1.0
ˈiː	ˈiː	0.666
ˈiː	ˈyː	0.113
ˈiː	ˈæɪ̯	0.075
ˈiː	ˈɛ	0.075
ˈiː	ˈæː	0.056
ˈoː	ˈuː	0.807
ˈoː	ˈoː	0.189
ˈoː_d	ˈuː	1.0
ˈuə̯	ˈuː	0.318
ˈuə̯	ˈʉː	0.318
ˈuː	ˈʉː	0.514
ˈuː	ˈɔ	0.202
ˈuː	ˈʉ	0.202
ˈuː	ˈʊ	0.057
ˈuːə̯	ˈɔ	0.317
ˈuːə̯	ɾ	0.209
ˈuːə̯	ˈœ	0.209
ˈuːə̯	ˈʉː	0.133
ˈuːə̯	ˈʏ	0.061
ˈyə̯	ˈʉ	0.232
ˈyː	ˈyː	0.407
ˈyː	ˈɪ	0.268
ˈyː	ˈʏ	0.102
ˈyː	-	0.097
ˈyːœ̯	ˈoː	0.232
ˈø	ˈɛ	1.0
ˈøː	ˈœ	0.387
ˈøː	ˈøː	0.162
ˈœː	ˈuː	0.365
ˈœː	ˈøː	0.176
ˈɒː	ˈɑː	0.482
ˈɔ	ˈɑ	0.784
ˈɔ	ˈuː	0.12
ˈɔː	ˈoː	0.723
ˈɔː	ˈuː	0.107
ˈɔː	ˈøː	0.107
ˈɔː	ˈɑ	0.058
ˈɛ	ˈɛ	0.512
ˈɛ	ˈyː	0.093
ˈɛ	ˈœ	0.088
ˈɛ	ˈøː	0.066
ˈɛ	ˈɑː	0.064
ˈɛː	j	0.715
ˈɛː	ˈɛ	0.28
ˈɪ	ˈɪ	0.49
ˈɪ	ˈiː	0.15
ˈɪ	ˈɛ	0.146
ˈɪ	ˈʉː	0.073
ˈɪ	ˈʏ	0.073
ˈɪə̯	ˈiː	0.644
ˈɪə̯	ˈeː	0.178
ˈɪə̯	ˈʉː	0.064
ˈɪɛ̯	ˈæː	0.292
ˈɪɛ̯	ˈʉː	0.193
ˈɪɛ̯	ˈeː	0.128
ˈɪɛ̯	ˈɛ	0.128
ˈɪɛ̯	ˈæɪ̯	0.085
ˈʊ	ˈʉ	0.514
ˈʊ	ˈʉː	0.245
ˈʊ	ˈʊ	0.111
ˈʊ	-	0.079
ˈʏ	ˈœ	0.5
ˈʏ	ˈʉ	0.287
ˈʏ	ˈʏ	0.159
