Swedish	Swiss German	probability
a	ə	0.673
a	-	0.27
a	d̥_ə	0.054
b	b̥	1.0
d	t	0.634
d	d̥	0.262
d	tː	0.037
d	s	0.037
d	ʦ	0.033
e	ə	1.0
f	f	1.0
h	h	0.984
h	-	0.035
j	ɡ̊	0.314
j	ˈi	0.243
j	-	0.123
j	t	0.123
j	ˈæ	0.107
jː	ɡ̊	1.0
k	χ	0.649
k	k	0.261
k	ʃː	0.078
kʰ	χ	0.837
kʰ	-	0.159
kː	ŋ_k	0.363
kː	χ	0.275
l	l	0.934
l	-	0.039
l	w	0.037
l_ɛ	l	0.491
lː	l	1.0
m	m	0.935
m	-	0.064
mː	m	0.452
mː	mː	0.095
n	n	0.645
n	-	0.226
n	r	0.061
n	t	0.04
n	nː	0.034
n_d	ŋ	1.0
nː	n	0.5
nː	-	0.148
nː	ˈau̯	0.121
nː	s	0.09
nː	l	0.085
p	f	0.359
p	p͡f	0.312
p	fː	0.219
pʰ	p͡f	0.491
pː	f	1.0
r	r	0.925
r	-	0.068
rː	χ	0.66
rː	r	0.159
s	s	0.562
s	ʃ	0.321
s	-	0.064
s	ʃ_ʋ	0.048
s_k	ʃ	1.0
sː	s	0.784
sː	sː	0.125
t	t	0.376
t	sː	0.334
t	s	0.166
t	ʦ	0.065
t	d̥	0.054
tʰ	ʦ	0.533
tʰ	d̥	0.229
tʰ	t	0.2
tʰ	b̥	0.037
tː	χ_t	0.581
tː	sː	0.312
tː	ʦ	0.093
v	ʋ	0.495
v	b̥	0.235
v	f	0.208
v	p	0.05
v	p͡f	0.032
ŋ	ɡ̊	0.302
ŋ	i	0.263
ŋ	-	0.195
ŋ	ŋ	0.096
ŋː	ŋ	0.752
ŋː	ŋ_ɡ̊	0.134
ɕ	χ	0.53
ɕ	d̥	0.298
ɖ	d̥	0.241
ɖ	t	0.118
ɛ	ə	0.552
ɛ	-	0.385
ɛ	i	0.061
ɛ_l	l	0.491
ɡ	ɡ̊	0.89
ɡ	χ	0.103
ɡː	ɡ̊	0.66
ɡː	-	0.226
ɧ	ʃ	0.668
ɧ	s	0.326
ɪ	i	0.53
ɪ	-	0.265
ɪ	ə	0.162
ɳ	r_n	0.699
ɳ	rː	0.209
ɵ	-	0.699
ɵ	i	0.146
ʈː	ʦ	1.0
ʊ	ˈæː	0.5
ʊ	n	0.5
ˈa	ˈɒ	0.578
ˈa	ˈɒː	0.182
ˈa	ˈa	0.178
ˈa	ˈæ	0.055
ˈeː	ˈæi̯	0.266
ˈeː	ˈɛi̯	0.193
ˈeː	ˈeː	0.096
ˈeː	ˈei̯	0.096
ˈeː	ˈy	0.096
ˈiː	ˈiː	0.684
ˈiː	ˈyː	0.121
ˈiː	-	0.121
ˈiː	ˈi	0.065
ˈoː	ˈɒː	0.463
ˈoː	ˈo	0.19
ˈoː	ˈɒ	0.093
ˈoː	ˈøi̯	0.093
ˈoː	ˈoː	0.058
ˈuː	ˈuə̯	0.565
ˈuː	ˈo	0.145
ˈuː	ˈyə̯	0.11
ˈuː	ˈuː	0.08
ˈuː	r	0.061
ˈyː	ˈyː	0.549
ˈyː	ˈøi̯	0.143
ˈyː	ˈiə̯	0.098
ˈyː	ˈy	0.097
ˈæ	r	0.372
ˈæ	ˈe	0.182
ˈæː	ˈæ	0.343
ˈæː	ˈiə̯	0.146
ˈæː	ˈe	0.083
ˈøː	ˈoː	0.233
ˈøː	ˈeː	0.131
ˈøː	ˈyə̯	0.114
ˈøː	ˈau̯	0.114
ˈøː	ˈou̯	0.104
ˈœ	ˈyː	0.148
ˈœ	-	0.148
ˈœ	ˈyə̯	0.148
ˈœ	ˈu	0.148
ˈœ	ˈau̯	0.104
ˈœː	ˈøː	0.758
ˈœː	ˈoː	0.089
ˈɑː	ˈɒ	0.523
ˈɑː	ˈɒː	0.367
ˈɑː	-	0.101
ˈɔ	ˈo	0.459
ˈɔ	ˈɒ	0.14
ˈɔ	ˈøi̯	0.101
ˈɔ	ˈi	0.101
ˈɔ	ˈu	0.075
ˈɛ	ˈæ	0.295
ˈɛ	ˈe	0.144
ˈɛ	ˈei̯	0.095
ˈɛ	ˈyː	0.065
ˈɛ	-	0.065
ˈɛː	ˈæ	0.552
ˈɛː	ˈyː	0.118
ˈɛː	ˈɒː	0.118
ˈɛː	ˈɒ	0.118
ˈɛː	ˈou̯	0.042
ˈɪ	ˈi	0.741
ˈɪ	r	0.117
ˈɪ	ˈy	0.115
ˈɵ	ˈo	0.266
ˈɵ	ˈu	0.171
ˈɵ	ˈuː	0.13
ˈɵ	ˈøː	0.098
ˈɵ	ˈy	0.098
ˈʉː	ˈuː	0.334
ˈʉː	ˈyː	0.224
ˈʉː	ˈiə̯	0.107
ˈʉː	ˈou̯	0.081
ˈʉː	ˈæ	0.081
ˈʊ	ˈu	0.776
ˈʊ	ˈuə̯	0.171
ˈʏ	ˈyː	0.291
ˈʏ	ˈu	0.253
ˈʏ	ˈø	0.22
ˈʏ	ˈi	0.22
