Swedish	Swiss German	probability
a	ə	1.0
b	b̥	1.0
f	f	1.0
h	h	1.0
kʰ	χ	1.0
m	m	1.0
pʰ	p͡f	1.0
sː	s	1.0
ŋ	-	1.0
ɪ	i	1.0
ɳ	n	1.0
ʊ	-	1.0
ˈeː	ˈæi̯	1.0
ˈyː	ˈyː	1.0
ˈɛː	ˈæ	1.0
ˈʊ	ˈu	1.0
l	l	0.971
mː	mː	0.261
nː	nː	0.161
p	fː	0.571
t	t	0.261
ɕ	χ	0.551
ˈa	ɡ̊_#>	0.051
ˈa	i_#>	0.051
ˈiː	ˈiː	0.951
ˈœ	ˈo	0.811
ˈɔ	ˈo	0.751
ˈʏ	ˈyː	0.151
k	k	0.12
lː	l	0.492
s	ʃ	0.402
tː	χ_t	0.342
ŋː	ŋ	0.792
ɡ	χ	0.052
ˈuː	ˈo_r	0.202
ˈɛ	ˈe	0.122
kː	χ	0.753
ɛ	ə	0.673
ˈøː	ˈau̯	0.193
ˈɑː	ˈɒː	0.293
d	d̥	0.294
j	-	0.144
n	-	0.214
nː	n	0.44
tː	ʦ	0.244
tː	sː	0.414
ɡː	ɡ̊ː_ə	0.404
ɧ	ʃ	0.634
ˈɛ	ˈyː	0.074
ˈɛ	ˈæ	0.634
ˈɵ	ˈu	0.574
ˈʉː	ˈyː	0.34
ˈʏ	ˈu	0.444
j	ˈi	0.15
v	f	0.095
ˈoː	ˈoː	0.225
ˈɵ	ˈo	0.15
ˈɵ	ˈuː	0.275
ˈʉː	ˈiə̯	0.205
ˈʏ	ˈy	0.405
j	ɡ̊	0.6
n	n	0.786
r	r_ə	0.056
v	b̥	0.276
ɡː	ɡ̊ː	0.596
ɧ	s	0.366
ˈa	ˈɒ	0.616
ˈoː	ˈɒː	0.506
ˈøː	ˈoː	0.326
ˈʉː	ˈuː	0.456
kː	ŋ_k	0.247
r	r	0.907
ɛ	-	0.327
ˈa	t_#>	0.057
ˈa	r_#>	0.137
ˈoː	ˈo	0.27
ˈøː	ˈæ	0.127
ˈɑː	ˈɒ	0.707
ˈɪ	ˈi	0.957
j	t	0.078
k	χ	0.88
lː	lː	0.508
tʰ	ʦ	0.428
tʰ	d̥	0.528
v	ʋ	0.628
ŋː	ŋ_ɡ̊	0.208
ɡ	ɡ̊	0.948
ˈa	ˈɒː	0.088
ˈuː	ˈuə̯	0.798
ˈøː	ˈøː	0.068
ˈøː	ˈyə̯	0.278
d	t	0.669
mː	m	0.739
nː	n_d̥	0.399
p	f	0.429
s	s	0.579
t	sː	0.739
ɕ	d̥	0.449
ˈœ	ˈu	0.189
ˈɔ	ˈu	0.249
ˈɛ	ˈæi̯	0.169
