Sicilian	Gascon	probability
b	b	1.0
c	-	1.0
cː	-	1.0
f	h	1.0
kː	k	1.0
o	u	1.0
s	s	1.0
tː	t	1.0
u	u	1.0
z	z	1.0
ç	-	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ɽ	ɾ	1.0
ʃ	e_s	1.0
ʃː	ʃ	1.0
ʐ	-	1.0
ʐː	-	1.0
ʤ	ʒ	1.0
ʤː	-	1.0
ˈe	ˈe	1.0
ˈo	ˈu	1.0
i	i	0.061
k	k	0.801
r	ɾ	0.321
ɕ	z	0.081
ʊ	ˈe	0.061
ʊ	ɔ	0.081
ʊ	-	0.421
ʧː	s	0.51
a	a	0.182
d	d	0.902
v	b	0.542
w	-	0.052
ɪ	ˈe	0.052
ɪ	w	0.252
ʈ	t	0.182
ʊ	i	0.062
nː	ŋ	0.203
ɖː	l	0.783
ˈi	ˈe	0.53
mː	-	0.404
n	n	0.954
v	-	0.114
v	β	0.344
ɟː	-	0.184
ɡ	ɣ	0.374
ˈu	ˈy	0.674
ˈɔ	ˈɔ	0.384
ˈɛ	ˈɛ	0.54
a	-	0.065
i	e	0.655
j	ʒ	0.765
r	a_r	0.125
r	-	0.165
t	t	0.495
t	ð	0.505
ɾ	ɾ	0.335
ˈi	ˈi	0.385
ˈu	ˈu	0.25
ˈɔ	w	0.135
ˈɔ	ˈu	0.395
i	-	0.246
j	-	0.226
mː	m	0.596
ɟː	ʎ	0.816
ɡ	ɡ	0.626
ɪ	a_s	0.056
ɾ	r	0.266
ʊ	e	0.186
ˈa	ˈa	0.946
k	-	0.17
m	m	0.937
nː	n	0.797
ɖː	ɾ	0.217
d	t	0.098
l	-	0.058
p	β	0.138
w	w	0.948
ɪ	e	0.28
ɪ	-	0.348
ʈ	j	0.818
a	ɔ	0.739
l	l	0.9
p	p	0.819
r	r	0.39
ɕ	s	0.919
ɾ	-	0.399
ʊ	w	0.189
ʧː	-	0.49
ˈɔ	ˈa_w	0.069
ˈɛ	ˈe	0.429
