Western Lombard	Portuguese	probability
m	m	1.0
p	p	1.0
u	u	1.0
w	w	1.0
z	z	1.0
ʦ	s	1.0
ˈaː	ˈa	1.0
ˈẽː	ˈẽ	1.0
ˈi	ˈi	1.0
ˈĩː	ˈĩ	1.0
ˈø	ˈo	1.0
ˈøː	ˈo	1.0
s	s	0.401
ɲ	ɲ	0.81
ˈa	ˈɐ	0.241
ˈa	ˈa	0.391
ˈe	ˈɛ	0.371
ˈu	ˈo	0.461
ˈũː	ˈɐ̃_w̃	0.101
ˈy	ˈu	0.531
ˈɛ	u	0.061
a	-	0.082
b	v	0.122
j	-	0.802
s	s_u	0.052
ʋ	v	0.942
ˈa	ˈɐ̃	0.092
ˈe	ˈe	0.282
ˈu	ˈu	0.232
ˈyː	ˈo	0.832
d	ð	0.273
e	ɨ	0.413
n	-	0.363
n	n	0.633
r	ɾ	0.643
s	ʃ	0.513
ˈɛ	ˈɛ	0.843
l	l	0.494
ɡ	ɣ	0.294
ʧ	-	0.154
ˈãː	ˈɐ̃_w̃	0.484
ˈe	ˈɐ_j	0.164
ˈe	ˈɐ	0.184
ˈɔ	ˈɔ	0.384
f	v	0.135
f	f	0.865
k	k	0.815
r	ʁ	0.15
ˈɔ	ˈo	0.5
d	-	0.36
k	ɣ_u	0.136
t	t_ɨ	0.076
ɡ	ɡ	0.706
ʧ	j_t	0.36
ʧ	s	0.486
ˈãː	ˈɐ̃	0.516
ˈɔ	ˈo_w	0.116
ˈɛ	ˈe	0.06
d	d	0.367
l	ɫ	0.157
t	ð	0.057
t	t_u	0.277
ˈa	ˈa_ɾ	0.277
ˈu	ˈɔ	0.307
a	ɐ	0.918
b	b	0.878
e	j	0.148
j	j	0.198
t	t	0.558
ʋ	β	0.058
ʤ	ʒ	0.958
ˈyː	ˈu	0.168
e	-	0.439
l	l_u	0.159
l	-	0.189
r	ɾ_u	0.119
ɲ	ɲ_u	0.19
ˈũː	ˈõ	0.899
ˈy	u	0.469
