Standard Serbian	Ukrainian	probability
ʨ	ʧ	1.0
ʎ	lʲ	1.0
ʃ	ʃʲ	1.0
ɲ	nʲ	1.0
x	x	1.0
uː_̌	ʊ	1.0
r̩	ɛ	1.0
r_a	r_ɑ	1.0
o_̂	ɔ	1.0
n_a	n_ɑ	1.0
iː	ɪ	1.0
i_̂	ˈ	1.0
eː_n	i_nʲ	1.0
a_r	r_e	1.0
̂	ˈ	0.955
d	d	0.914
t	t	0.895
z	z	0.889
k	k	0.885
b	b	0.874
n	n	0.865
̌	-	0.811
i	ɪ	0.776
p	p	0.741
oː	i	0.73
ɡ	ɦ	0.728
r	r	0.673
l	ɫ	0.671
o	ɔ	0.66
m	m	0.647
ʒ	ʒ	0.646
s	s	0.636
e_̌	ɛ	0.579
eː	i	0.553
ʦ	ʦʲ	0.551
uː	u	0.517
ʋ	ʋ	0.51
s_a	s	0.502
s_a	s_ɔ	0.498
aː	ɔ	0.484
ʦ	ʦ	0.449
u	-	0.429
e_̌	ɐ	0.421
ʧ	ʧʲ	0.417
e	i	0.41
s	sʲ	0.364
a	ɑ	0.362
ʧ	-	0.358
ʋ	ʋʲ	0.354
l	lʲ	0.329
u	u	0.322
uː	ɔ	0.312
aː	-	0.31
oː	ɔ	0.27
p	pʲ	0.259
e	ɛ	0.257
u	w_u	0.249
ʒ	-	0.241
ʧ	ʤ	0.225
i	ɪ_ˈ	0.224
r	ɔ_r	0.219
aː	ɑ	0.206
m	mʲ	0.205
a	ɔ	0.202
ɡ	ɦ_ɔ	0.194
̌	ˈ	0.189
o	i	0.179
uː	ʊ_x	0.171
m	i_m	0.148
n	nʲ	0.135
e	i_ˈ	0.135
eː	ɐ	0.13
b	bʲ	0.126
a	a	0.117
ʒ	ʒʲ	0.114
z	zʲ	0.111
r	rʲ	0.108
e	ɔ	0.105
eː	ɑ	0.097
a	-	0.092
a	ɛ	0.087
d	dʲ	0.086
ʋ	-	0.081
eː	j_ɑ	0.079
eː	-	0.079
a	i	0.079
ɡ	ɦʲ	0.078
k	-	0.076
e	e	0.07
o	-	0.066
t	tʲ	0.064
eː	j_ɐ	0.062
a	ɛ_ˈ	0.06
ʋ	w	0.055
