Gallurese	Gallurese	probability
ˈɛ_ɖː	ˈɛ_l	1.0
ˈɛ_r	ˈiː_r	1.0
ˈɔ_k	ˈuː_ɡ	1.0
ˈi_ɖː	ˈe_l	1.0
ˈe_tː	ˈɛ_t	1.0
ˈa_tː	ˈaː_t	1.0
ˈa_n	ˈa_ŋ	1.0
ˈa_i_#>	ˈɛ_#>	1.0
ˈa_#>	ˈɛ_r_#>	1.0
ʧː	θ	1.0
ʦː	θ	1.0
ʦ	θ	1.0
ʤ	ð_ˈe	1.0
ʣ	ð	1.0
ʃː	s	1.0
ɲː	ɲ	1.0
ɡ	ɡ	1.0
ɟː	ð	1.0
ŋ	ŋ	1.0
z	-	1.0
w	ˈo	1.0
v	v	1.0
u_#>	#>	1.0
tː	t	1.0
sː	s	1.0
s	s	1.0
rː	r	1.0
r_ˈa	r	1.0
r_u	e_r	1.0
pː	v	1.0
p_u_#>	p_#>	1.0
o	-	1.0
nː	-	1.0
mː	m	1.0
l_ˈɛ	l_ˈa	1.0
kː	-	1.0
i_d	ˈa_d	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
d_u_#>	d_#>	1.0
cː	ʧ	1.0
c	ʧ	1.0
bː	-	1.0
a_#>	#>	1.0
<#_ˈu	<#_ˈo	1.0
<#_ˈo	<#_ˈɔː	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʧ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_d	<#_d	1.0
<#_a	<#_u	1.0
k	k	0.925
i_#>	#>	0.923
r	r	0.886
<#_l	<#_l	0.875
a	a	0.861
b	b	0.857
m	m	0.846
p	p	0.828
n	ŋ	0.781
t	t	0.75
l	l	0.741
d	d	0.714
ɟ	ð	0.625
ɖː	l	0.6
l_t	r_t	0.6
ʧ	z	0.583
#>	r_#>	0.556
ˈa	ˈɛ	0.541
ˈe_#>	r_#>	0.5
ˈe_#>	j_r_#>	0.5
j	j	0.5
j	-	0.5
ˈo	-	0.444
ˈɔ	ˈɔː	0.438
ˈɛ	ˈæ	0.412
ɖː	j	0.4
l_t	t	0.4
ˈi	ˈe	0.393
ˈe	ˈɛ	0.375
ɟ	ʤ	0.375
u	u	0.355
ˈɛ	ˈa	0.353
i	-	0.35
ˈo	ˈɔ	0.333
ˈu	ˈuː	0.304
ˈu	ˈo	0.304
i	e	0.3
d	-	0.286
l	r	0.259
ˈɔ	ˈɔ	0.25
ʧ	-	0.25
t	d	0.25
i	i	0.25
ˈa	ˈaː	0.243
ˈo	ˈʌu̯	0.222
#>	e_r_#>	0.222
#>	a_#>	0.222
n	n	0.219
ˈu	ˈʌu̯	0.217
ˈi	ˈiː	0.214
ˈe	ˈɛː	0.188
ˈe	ˈiː	0.188
ˈu	-	0.174
p	v	0.172
ʧ	θ	0.167
m	ŋ	0.154
ˈi	ˈa	0.143
b	v	0.143
ˈa	ˈa	0.135
u	e	0.129
ˈɔ	ˈo	0.125
ˈe	ˈa	0.125
ˈe	j	0.125
<#_l	<#	0.125
ˈɛ	ˈɛ	0.118
ˈɛ	-	0.118
ˈi	ˈa_j	0.107
i	z	0.1
u	ˈʌ	0.097
u	v	0.097
ˈɔ	ˈʌu̯	0.094
ˈɔ	ˈʌ	0.094
ˈa	ˈɛː	0.081
i_#>	v_#>	0.077
k	ɡ	0.075
ˈi	l	0.071
ˈi	-	0.071
u	s	0.065
u	o	0.065
u	k	0.065
u	j	0.065
u	e_r	0.065
r	e_r	0.057
r	e	0.057
