Čakavian	Čakavian	probability
̂_t	t	1.0
ʧ	k	1.0
ʦ	k	1.0
ʒ̊	ɡ_j	1.0
ʒ	ɡ	1.0
ʋ	w	1.0
ɲ	i	1.0
ɡ̊	ɡ_a	1.0
ɡ	ɡ	1.0
r̩	i_r	1.0
p	p	1.0
oː	a	1.0
o_̂	a	1.0
o	a	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l_a	eː	1.0
l	l	1.0
eː	e	1.0
e_̂	i	1.0
d̥	d	1.0
c	k_t	1.0
b̥	m_b	1.0
b	b	1.0
a_k	u	1.0
<#_ʋ	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
z	zʲ	0.875
d	d	0.846
#>	s_#>	0.833
t	t	0.778
aː	-	0.714
r	r	0.688
s	sʲ	0.667
a	aː	0.613
̌	́ˀ	0.6
u	-	0.6
o_#>	a_#>	0.6
uː	au̯	0.556
i	-	0.556
̂	́	0.519
̂_#>	ˀ_#>	0.5
̂_#>	#>	0.5
e	e	0.5
uː	a	0.444
k	k	0.429
̌	́	0.4
u	i	0.4
o_#>	#>	0.4
iː	ai̯	0.385
x	ʃ_a	0.333
x	ʃ	0.333
x	a	0.333
s	s	0.333
̂	́ˀ	0.308
k	k_a	0.286
k	-	0.286
aː	a	0.286
e	i	0.25
iː	uː	0.231
iː	-	0.231
a	-	0.226
t	n	0.222
i	uː	0.222
i	ei̯	0.222
r	r_a	0.188
a	oː	0.161
iː	eː	0.154
d	-	0.154
z	z	0.125
r	r_i	0.125
e	e_́	0.125
e	-	0.125
#>	ˀ_#>	0.119
̂	-	0.096
̂	ˀ	0.077
