Eastphalian	English	probability
b	b	0.875
b	p	0.055
d	d	0.616
d	θ	0.351
f	f	0.937
f	v	0.063
h	h	1.0
j	j	0.581
j	ˈaɪ̯	0.147
j	ˈeɪ̯	0.115
j	-	0.085
j	ɡ	0.072
k	k	0.41
k	ʧ	0.338
k	kʰ	0.127
k	-	0.094
l	l	0.54
l	ɫ	0.415
m	m	0.952
n	n	0.827
n	-	0.085
n	əʊ̯	0.069
p	p	0.899
p	pʰ	0.052
r	ɹ	0.924
s	s	1.0
t	t	0.636
t	d	0.185
t	tʰ	0.149
v	w	0.73
v	v	0.19
w	w	0.882
w	-	0.118
x	t	0.53
x	-	0.43
z	s	0.764
z	z	0.23
ç	t	1.0
ŋ	ŋ	0.891
ŋ	-	0.109
ɐ	ə	0.65
ɐ	-	0.158
ɐ	əʊ̯	0.08
ɒː	ˈiː	1.0
ə	ə	0.568
ə	-	0.375
ə	ɪ	0.057
ɡ	-	0.672
ɡ	ʤ	0.328
ɣ	ɡ	0.609
ɣ	-	0.332
ɣ	ʤ	0.059
ɪ	ɪ	1.0
ʃ	ʃ	0.905
ʃ	s	0.095
ˈa	ˈæ	0.466
ˈa	ˈɑː	0.16
ˈa	ˈɒ	0.117
ˈa	ˈɔː	0.073
ˈa	ˈɐ	0.067
ˈa	ˈaɪ̯	0.061
ˈa	ˈeɪ̯	0.056
ˈaʊ̯	ˈuː	0.543
ˈaʊ̯	ˈɐ	0.25
ˈaʊ̯	ˈʊ	0.142
ˈaʊ̯	ˈaʊ̯	0.066
ˈaː	ˈɑː	0.868
ˈaː	ˈɔː	0.132
ˈeo̯	ˈiː	0.444
ˈeo̯	ˈe	0.287
ˈeo̯	ˈeɪ̯	0.101
ˈeo̯	ˈaɪ̯	0.099
ˈeː	ˈe	0.373
ˈeː	ˈaɪ̯	0.186
ˈeː	ˈɜː	0.172
ˈeː	ˈəʊ̯	0.124
ˈeː	ˈiː	0.101
ˈiː	ˈaɪ̯	0.59
ˈiː	ˈiː	0.208
ˈiː	ˈɪ	0.13
ˈiː	j	0.073
ˈoː	ˈɐ	0.381
ˈoː	ˈɜː	0.242
ˈoː	ˈəʊ̯	0.202
ˈoː	ˈɔː	0.161
ˈuː	ˈaʊ̯	0.845
ˈuː	ˈaɪ̯	0.094
ˈuː	ˈɐ	0.061
ˈyː	ˈaɪ̯	0.534
ˈyː	ˈɪ	0.466
ˈøː	ˈiː	0.813
ˈøː	j	0.143
ˈœ	ɪ	0.66
ˈœ	ˈe	0.34
ˈɒː	ˈeɪ̯	0.221
ˈɒː	ˈiː	0.217
ˈɒː	ˈuː	0.134
ˈɒː	ˈəʊ̯	0.134
ˈɒː	ˈɐ	0.089
ˈɒː	ˈɛ	0.065
ˈɒː	ˈɪ	0.05
ˈɔ	ˈɒ	0.339
ˈɔ	ˈəʊ̯	0.217
ˈɔ	ˈɐ	0.178
ˈɔ	ˈɔː	0.157
ˈɔ	ˈe	0.109
ˈɔʏ̯	ˈiː	0.915
ˈɔʏ̯	ˈɪ	0.085
ˈɛ	ˈe	0.395
ˈɛ	ˈaɪ̯	0.19
ˈɛ	ˈɪ	0.176
ˈɛ	-	0.11
ˈɛ	ˈæ	0.065
ˈɛ	ˈeɪ̯	0.063
ˈɛə̯	ˈeɪ̯	1.0
ˈɛɪ̯	ˈiː	0.212
ˈɛɪ̯	ˈəʊ̯	0.211
ˈɛɪ̯	ˈe	0.151
ˈɛɪ̯	-	0.099
ˈɛɪ̯	ˈuː	0.092
ˈɛɪ̯	ˈaɪ̯	0.092
ˈɛɪ̯	ˈɪ	0.082
ˈɛː	ˈeɪ̯	0.371
ˈɛː	ˈe	0.19
ˈɛː	ˈuː	0.174
ˈɛː	ˈiː	0.126
ˈɛː	ˈɜː	0.095
ˈɪ	ˈɪ	0.606
ˈɪ	ˈaɪ̯	0.238
ˈɪ	ˈe	0.082
ˈɪ	ˈiː	0.051
ˈʊ	ˈɐ	0.753
ˈʊ	ˈʊ	0.145
ˈʊ	ˈaʊ̯	0.102
ˈʏ	ˈɪ	0.47
ˈʏ	ˈɐ	0.244
ˈʏ	ˈe	0.139
ˈʏ	ˈɛ	0.102
