Limburgish	Icelandic	probability
b	b̥	0.949
b	v	0.052
d	d̥	0.537
d	θ	0.411
d	ð	0.044
d_ə	a	1.0
f	v_ʏ	0.474
f	-	0.219
f	m	0.135
f	f	0.087
j	ð	0.244
j	-	0.177
j	r̥	0.15
j	l	0.131
j	ˈaːi̯	0.066
k	k	0.266
k	kʰ	0.226
k	ɡ̊_ʏ	0.122
k	cʰ	0.078
k	-	0.065
l	l	0.614
l	l̥	0.103
l	t_l̥	0.076
l	l̥_ʏ	0.074
l	l_ʏ	0.056
l_ə	l̥	0.699
l_ə	l	0.297
m	m	0.676
m	m_ʏ	0.282
m	-	0.031
m	p	0.03
n	n	0.531
n	nː	0.216
n	-	0.122
n	t_n̥	0.069
n	r̥	0.029
p	p_ʏ	0.278
p	ʰp	0.242
p	p	0.228
p	v	0.21
s	s	0.535
s	s_t	0.135
s	s_k	0.121
s	s_c	0.082
s	k_s	0.041
t	ð	0.275
t	t	0.257
t	t_ʏ	0.123
t	tʰ	0.076
t	d̥_ʏ	0.073
t_β	tʰ	1.0
v	f	0.696
v	v	0.201
v	p	0.041
v	-	0.04
v	d̥	0.033
w	ˈʏ	1.0
x	r̥	0.159
x	ɣ	0.159
x	ʰt_ʏ	0.136
x	x	0.118
x	ɣ_a	0.118
z	s	1.0
ŋ	ŋ	0.912
ŋ	ɲ	0.079
ŋ_k	ʰk	1.0
ə	a	0.461
ə	ʏ	0.113
ə	ɪ	0.098
ə	-	0.094
ə	n̥	0.079
ə_l	l	0.683
ə_l	l̥	0.211
ə_x	ɡ̊	0.468
ə_ʀ	r	1.0
ɡ	j	0.468
ɣ	ɡ̊	0.51
ɣ	ɟ̊	0.343
ɣ	-	0.143
ɦ	h	0.903
ɦ	ç	0.089
ɪ	ɑu̯	0.355
ɪ	-	0.166
ɪː	ˈi	0.468
ʀ	r	0.426
ʀ	r̥	0.403
ʀ	r_t	0.06
ʀ	-	0.041
ʀ_ə	r	1.0
ʃ	c	0.594
ʃ	s	0.392
ʦ	k	0.103
ˈaː	ˈaː	0.44
ˈaː	ˈa	0.323
ˈaː	ˈɑu̯	0.116
ˈaː	-	0.062
ˈaː	ˈœ	0.049
ˈeː	j	0.357
ˈeː	ˈɛː	0.187
ˈeː	j_ˈoːu̯	0.109
ˈeː	ˈɛ	0.109
ˈeː	ˈʏː	0.075
ˈi	ˈɑːu̯	0.2
ˈi	ˈɛː	0.2
ˈi	j_ˈoːu̯	0.151
ˈi	ˈoːu̯	0.115
ˈi	ˈɪː	0.115
ˈiː	ˈiː	0.814
ˈiː	ˈɑːu̯	0.083
ˈiː	ˈɪ	0.083
ˈoː	ˈoːu̯	0.317
ˈoː	ˈiː	0.135
ˈoː	ˈɔ	0.135
ˈoː	ˈʏː	0.135
ˈoː	ˈʏ	0.129
ˈu	ˈœːy̯	0.74
ˈu	ˈɑːu̯	0.183
ˈuː	ˈuː	0.743
ˈuː	ˈɛːi̯	0.137
ˈuː	ˈʏ	0.097
ˈv	f	0.468
ˈyː	ˈɛːi̯	0.18
ˈyː	ˈʏː	0.166
ˈyː	ˈœy̯	0.105
ˈyː	ʏ	0.102
ˈyː	ˈʏ	0.097
ˈæ	ˈa	0.629
ˈæ	ˈou̯	0.113
ˈæ	ˈɛ	0.072
ˈæː	ˈa	0.594
ˈæː	ˈɛ	0.392
ˈøː	ˈaːi̯	0.348
ˈøː	ˈi	0.174
ˈøː	ˈoːu̯	0.174
ˈøː	ˈai̯	0.112
ˈøː	ˈou̯	0.075
ˈœ	ˈɪ	0.45
ˈœ	ˈaː	0.211
ˈœ	ˈœː	0.113
ˈœi̯	ˈiː	0.349
ˈœi̯	ˈeːi̯	0.265
ˈœi̯	ˈʏ	0.265
ˈœi̯	ˈi	0.059
ˈœː	ˈɔ	0.468
ˈɑ	ˈɛ	0.274
ˈɑ	ˈɑu̯	0.22
ˈɑ	ˈa	0.163
ˈɑ	ˈaː	0.124
ˈɑ	ˈaːi̯	0.108
ˈɑː	ˈa	0.629
ˈɑː	ˈœ	0.247
ˈɑː	ˈaː	0.078
ˈɒː	ˈɑːu̯	0.527
ˈɒː	ˈɔː	0.157
ˈɒː	ˈɛː	0.108
ˈɒː	ˈɔ	0.105
ˈɒː	ˈa	0.047
ˈɔ	ˈʏ_t	0.292
ˈɔ	ˈoːu̯	0.193
ˈɔ	ˈɪ	0.193
ˈɔ	ˈɔu̯	0.072
ˈɔ	ˈʏː	0.072
ˈɔu̯	ˈœːy̯	1.0
ˈɔː	ˈœːy̯	0.255
ˈɔː	-	0.169
ˈɔː	ˈou̯	0.169
ˈɔː	ˈu	0.169
ˈɔː	ˈa	0.109
ˈɛ	ˈɪ	0.34
ˈɛ	ˈɛ	0.183
ˈɛ	ˈɛːi̯	0.121
ˈɛ	ˈiː	0.103
