Limburgish	Icelandic	probability
b	b̥	0.995
d	d̥	0.488
d	θ	0.43
f	v_ʏ	0.696
f	m	0.111
f	-	0.09
f	f	0.052
f	v	0.052
i	aːu̯	1.0
j	ð	0.403
j	ˈoːu̯	0.151
j	-	0.123
j	l̥	0.11
j	l	0.069
j	t	0.068
j	ˈaːi̯	0.054
k	kʰ	0.247
k	k	0.209
k	c	0.105
k	ʰk	0.091
k	ɟ̊ː	0.06
k	ɡ̊ː	0.06
k	cʰ	0.058
k	-	0.054
l	l	0.735
l	t_l̥	0.098
l	l̥	0.075
m	m	0.724
m	m_ʏ	0.213
n	n	0.661
n	-	0.103
n	nː	0.097
n	t_n̥	0.092
p	p	0.459
p	ʰp	0.237
p	p_ʏ	0.222
s	s	0.801
s	sː	0.086
s	s_t	0.068
t	t	0.256
t	t_ʏ	0.164
t	ð	0.163
t	tʰ	0.115
t	d̥_ʏ	0.068
v	f	0.697
v	v	0.204
w	ˈʏ	1.0
x	ɣ	0.252
x	ʰt_ʏ	0.217
x	x	0.135
x	s	0.11
x	r̥	0.079
x	ɡ̊ː	0.077
x	ʰt	0.066
z	s	0.888
z	s_j	0.112
ŋ	ŋ	0.693
ŋ	-	0.192
ŋ	ɲ	0.065
ŋ	ɡ̊	0.05
ə	a	0.327
ə	-	0.182
ə	ɪ	0.131
ə	n̥	0.079
ə	ɡ̊_ʏ	0.057
ə	ʏ	0.055
ɡ	j	1.0
ɣ	ɡ̊	0.658
ɣ	ɟ̊	0.197
ɣ	-	0.145
ɦ	h	0.795
ɦ	ç	0.205
ɪ	ŋ	0.5
ɪ	ɑu̯	0.5
ɪː	ˈi	1.0
ʀ	r	0.508
ʀ	r̥	0.306
ʀ	r_t	0.056
ʃ	c	0.845
ʃ	s	0.155
ʦ	k	1.0
ˈaː	ˈa	0.474
ˈaː	ˈaː	0.213
ˈaː	-	0.143
ˈaː	ˈɑu̯	0.107
ˈeː	j	0.303
ˈeː	ˈɛː	0.183
ˈeː	ˈɛ	0.145
ˈeː	j_ˈoːu̯	0.113
ˈeː	j_ˈœ	0.063
ˈeː	j_ˈuː	0.053
ˈi	ˈaːu̯	0.226
ˈi	j	0.209
ˈi	j_ˈoːu̯	0.165
ˈi	ˈɑːu̯	0.147
ˈi	ˈœː	0.111
ˈi	ˈɪː	0.066
ˈiː	ˈiː	0.866
