Sicilian	Sicilian	probability
ˈu_ɾ	ˈo	1.0
ˈe	ˈe	1.0
ˈa_w	ˈo	1.0
ˈa_p	a_β	1.0
ʧː	t	1.0
ʦː	-	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʐː	ˈe_r	1.0
ʐ	r	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʃ	e_s	1.0
ɾ_ˈa	ɾ_ˈe	1.0
ɾ_a	ɾ_a	1.0
ɽ	ɾ	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_ɾ	ˈe	1.0
ɟː	x	1.0
ɕ	θ	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ˈi	b_ˈe	1.0
v_ɪ	β_e	1.0
t_ɪ	t_e	1.0
t_a	ð_a	1.0
sː	ˈe_s	1.0
s	s	1.0
r_ɪ_#>	ɾ_#>	1.0
r	ɾ	1.0
n_ɪ_#>	n_#>	1.0
mː	m	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
kː	k	1.0
fː	f	1.0
f_ˈi	ˈi	1.0
f	f	1.0
dː	-	1.0
cː	x	1.0
c	ɟ͡ʝ	1.0
bː	β	1.0
a_w	o	1.0
a_t	a_ð	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#	1.0
<#_f	<#	1.0
<#_a	<#_e	1.0
n	n	0.956
a	a	0.944
ʊ	o	0.926
l	l	0.912
ˈa	ˈa	0.891
ɾ_ɪ_#>	ɾ_#>	0.818
d	d	0.8
p	p	0.78
k	k	0.761
w	w	0.714
b	b	0.692
ɾ	ɾ	0.676
ɡ	ɡ	0.667
nː	ɲ	0.667
ɖː	ʝ	0.643
t	t	0.609
ˈo	ˈo	0.6
ʈ	ð	0.6
ʃː	θ	0.6
ɪ_#>	#>	0.6
v	b	0.6
u	o	0.556
tː	ʧ	0.545
ˈɔ	w_ˈe	0.516
ʤ	x	0.5
ʤ	-	0.5
<#_j	<#_x	0.5
<#_j	<#	0.5
#>	s_#>	0.5
ˈi	ˈe	0.476
ˈɛ	j_ˈe	0.452
ˈu	ˈu	0.449
u	u	0.444
ˈu	ˈo	0.408
ˈi	ˈi	0.405
ˈo	w	0.4
ʈ	t	0.4
ʃː	-	0.4
ɪ_#>	ɾ_#>	0.4
v	β	0.4
i	e	0.4
i	-	0.4
ɡ	ɣ	0.333
nː	n_d	0.333
<#	<#_ɡ	0.333
<#	<#_w	0.333
<#	<#_o	0.333
ɪ	e	0.306
t	ð	0.304
j	j	0.3
j	-	0.3
#>	e_#>	0.3
w	l	0.286
tː	t	0.273
ˈɛ	ˈe	0.226
p	β	0.22
ɖː	l	0.214
j	ɾ_o	0.2
j	ɟ͡ʝ	0.2
i	i	0.2
d	-	0.2
#>	ð_#>	0.2
ˈɔ	ˈo	0.194
ɪ	-	0.194
ɾ_ɪ_#>	#>	0.182
tː	ð	0.182
ˈɔ	w	0.161
b	e_ɾ	0.154
b	-	0.154
ɾ	ˈe	0.147
ɖː	ˈo_s	0.143
ˈi	-	0.119
ɾ	l	0.118
ɪ	ˈi	0.111
ɪ	b_ɾ	0.111
k	ɣ	0.109
ˈɛ	j	0.097
ˈɛ	e	0.097
l	-	0.088
t	ʧ	0.087
ɪ	o_s	0.083
ɪ	j	0.083
ˈɛ	ˈi	0.065
ˈɛ	m	0.065
ˈɔ	ˈe	0.065
ˈɔ	-	0.065
k	ˈe_ɣ	0.065
k	-	0.065
ˈu	o	0.061
ɾ	ɾ_i	0.059
ɪ	ˈe	0.056
ɪ	ɾ	0.056
