Logudorese	Logudorese	probability
β	β	1.0
ˈi_n	ˈi_n	1.0
ˈe_t	ˈe_ʧ	1.0
ʦ_a	a	1.0
ʃ	-	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_d	ɾ_ð	1.0
ɾ_b	ɾ_β	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɣ_ɛ	θ	1.0
ɛ_n	b_ɾ	1.0
ɛ_#>	#>	1.0
ŋ	-	1.0
ð_ɛ	o	1.0
z_ɛ̆	s	1.0
z_ɔ̆_#>	s_#>	1.0
ŭ	-	1.0
u_z	o	1.0
u_#>	#>	1.0
t_ɛ	t_e	1.0
p_ɾ	ɟ͡ʝ	1.0
o_ɾ	o_ɾ	1.0
o	o	1.0
n_ˈɔ	n_ˈo	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	n_#>	1.0
m_ˈɔ	m_o	1.0
l_ɛ_#>	l_#>	1.0
k_ɾ	ɟ͡ʝ	1.0
j_a	a	1.0
i_n	b_ɾ	1.0
f	f	1.0
d	d	1.0
b_ˈi	b	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈi	<#_ˈe	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#_θ	1.0
<#_a	<#_a	1.0
l	l	0.947
n	n	0.946
ð	ð	0.895
a	a	0.895
p	p	0.879
k	k	0.837
m	m	0.833
<#_f	<#	0.833
ɔ	o	0.812
u	o	0.805
ˈa	ˈa	0.786
ɾ	ɾ	0.783
ɖː	ʝ	0.778
s	s	0.778
e	-	0.778
ɾ_u	ɾ_o	0.75
<#_ˈa	<#_ˈa	0.75
<#_i	<#_e	0.75
b	b	0.718
ɣ	ɣ	0.714
ˈo	w_ˈe	0.7
z	s	0.7
ʣ	x	0.692
t	t	0.676
ʦ	θ	0.6
r	ɾ_n	0.6
ˈu	ˈu	0.571
nː	n	0.571
ɛ_ɾ	ˈe_ɾ	0.538
ˈi	ˈi	0.513
i	-	0.5
#>	o_#>	0.5
#>	e_#>	0.5
ˈe	j_ˈe	0.467
ɛ_ɾ	ɾ	0.462
j	-	0.462
ˈɔ	ˈo	0.438
nː	ɲ	0.429
ɛ	e	0.41
ˈe	ˈe	0.4
ʦ	-	0.4
r	ˈe_r	0.4
ˈi	ˈe	0.385
ˈɔ	w_ˈe	0.375
ɡ	ɡ	0.375
ɡ	-	0.375
ˈɛ	j_ˈe	0.37
i	e	0.35
ˈu	ˈo	0.343
ˈɛ	ˈe	0.333
j	x	0.308
ˈo	ˈo	0.3
z	-	0.3
ɣ	θ	0.286
ɾ_u	ɾ_e	0.25
ɡ	ɣ	0.25
<#_ˈa	<#_a	0.25
<#_i	<#	0.25
j	β_j	0.231
ɖː	l	0.222
s	-	0.222
e	i	0.222
ɔ	-	0.188
<#_f	<#_e	0.167
ʣ	θ	0.154
ʣ	-	0.154
i	i	0.15
ˈɛ	j	0.148
ˈɛ	e	0.148
t	ʧ	0.147
ˈe	ˈi	0.133
b	ɡ	0.128
ˈɔ	o	0.125
ɾ	-	0.117
m	ŋ	0.111
ð	-	0.105
ɛ	β_e	0.103
ɛ	ˈe	0.103
k	θ	0.093
t	ð	0.088
t	-	0.088
ˈu	-	0.086
ɛ	ɾ	0.077
k	-	0.07
ˈɔ	-	0.062
p	ɟ͡ʝ	0.061
p	-	0.061
ˈa	ˈo	0.057
ˈa	a	0.057
m	m_b	0.056
n	-	0.054
l	-	0.053
ˈi	j	0.051
ˈi	a	0.051
ɛ	β	0.051
ɛ	ˈe_β	0.051
ɛ	ˈe_ɾ	0.051
ɛ	t_ˈa	0.051
ɛ	o	0.051
ɛ	-	0.051
b	ɟ͡ʝ	0.051
b	k_w	0.051
b	-	0.051
