Swiss German	Saterland Frisian	probability
fː	p	1.0
j	j	1.0
k	k	1.0
lː	l	1.0
mː	m	1.0
nː	n	1.0
p͡f	p	1.0
rː	r	1.0
sː	t	1.0
w	l	1.0
æ	i	1.0
ʃ	s	1.0
ʃː	k	1.0
ˈei̯	ˈɛɪ̯	1.0
b̥	b	0.661
d̥	-	0.151
n	n	0.981
r	-	0.071
s	z	0.11
ˈeː	ˈɛɪ̯	0.161
ˈeː	ˈeː	0.41
ˈiə̯	ˈi	0.101
ˈiə̯	ˈiː	0.411
ˈo	ˈoːu̯	0.621
ˈoː	ˈuː	0.21
ˈoː	ˈoː	0.41
ˈuə̯	ˈɛɪ̯	0.091
ˈuə̯	ˈoːu̯	0.791
ˈuː	ˈuː	0.721
ˈy	ˈoː	0.081
ˈy	ˈiː	0.111
ˈyː	w	0.071
ˈyː	ˈɛɪ̯	0.11
ˈæ	ˈiː	0.1
ˈøi̯	ˈɛɪ̯	0.631
ˈɒ	ˈɔ	0.101
χ	x	0.241
i	ə	0.322
m	-	0.072
s	s	0.852
ˈi	ˈi	0.142
ˈiə̯	ˈaːu̯	0.232
ˈiː	ˈɛ	0.102
ˈæ	ˈɛː	0.072
ˈæː	j	0.142
ˈæː	ˈaː	0.232
ˈøi̯	ˈeː	0.12
h	-	0.073
ŋ	ŋ	0.793
ɡ̊	k	0.073
ɡ̊	j	0.133
ɡ̊	ɣ	0.393
ˈau̯	ˈaːu̯	0.113
ˈe	ˈɛ	0.273
ˈe	ˈɪ	0.273
ˈi	j_ˈʊ	0.093
ˈiə̯	ˈɛɪ̯	0.073
ˈiə̯	ˈɪ	0.073
ˈiː	ˈiː	0.263
ˈiː	ˈi	0.393
ˈu	ˈɔː	0.143
ˈuː	ˈɛɪ̯	0.093
ˈy	ˈɔ	0.083
ˈy	ˈyː	0.13
ˈæː	ˈeːu̯	0.273
ˈø	ˈa	0.23
ˈɒː	-	0.053
ˈɒː	ˈaː	0.053
ˈɒː	ˈɛɪ̯	0.143
ˈɒː	ˈoː	0.183
ˈɒː	ˈɛ	0.203
χ	s	0.153
b̥	ɣ	0.054
b̥	v	0.074
f	p	0.154
i	ɪ	0.464
p	-	0.794
t	d	0.644
tː	-	0.104
ə	-	0.184
ˈy	ˈɪ	0.214
ˈy	ˈɔː	0.234
ˈyə̯	ˈɛɪ̯	0.774
ˈɒ	ˈoːu̯	0.254
b̥	f	0.135
i	-	0.215
ɡ̊	-	0.155
ˈe	ˈa	0.385
ˈi	ˈɛː	0.065
ˈi	ˈiː	0.25
ˈiː	j	0.105
ˈo	ˈɔ	0.135
ˈuə̯	ˈuː	0.085
ˈæ	ˈa	0.175
ˈø	ˈɔ	0.145
ˈɒ	ˈaː	0.055
ˈɒ	ˈɛː	0.105
ˈɒ	ˈoː	0.165
ˈɒː	ˈɔː	0.065
ˈɒː	ˈiː	0.195
p	p	0.206
tː	d	0.896
ə	ə	0.816
ɡ̊ː	ɣ	0.116
ɡ̊ː	x	0.656
ʋ	v	0.96
ʦ	t	0.956
ˈiː	k_ˈi	0.136
ˈo	ˈʊ	0.106
ˈoː	ˈɛ	0.066
ˈoː	ˈoːu̯	0.236
ˈuː	ˈu	0.116
ˈyə̯	ˈuː	0.226
ˈyː	j	0.616
ˈæ	ˈɛɪ̯	0.16
ˈæi̯	ˈaː	0.176
ˈø	ˈeː	0.236
ˈøi̯	ˈuː	0.206
ˈøː	ˈoː	0.166
ˈɒː	ˈɔ	0.056
h	h	0.927
t	t	0.347
ŋ	n	0.207
ɡ̊ː	z	0.227
ˈau̯	ˈoː	0.887
ˈuː	ˈøː	0.07
ˈæ	ˈaːi̯	0.067
ˈæi̯	ˈɔːɪ̯	0.087
ˈæi̯	ˈɛ	0.087
ˈæi̯	ˈeː	0.617
ˈæː	ˈiː	0.177
ˈæː	ˈi	0.177
ˈøː	ˈœː	0.217
ˈøː	ˈeː	0.617
d̥	d	0.58
f	f	0.768
l	l	0.978
m	m	0.928
r	r	0.918
ɡ̊	x	0.198
ˈi	ˈɪ	0.398
ˈu	ˈʊ	0.608
ˈy	ˈɛː	0.148
ˈæ	ˈɛ	0.058
ˈæ	ˈɔː	0.248
ˈɒ	ˈɔː	0.198
d̥	t	0.269
ˈe	ˈeː	0.069
ˈeː	ˈoː	0.429
ˈiə̯	ˈʊ	0.109
ˈo	ˈuː	0.139
ˈu	ˈuː	0.169
ˈyː	ˈuː	0.109
ˈø	ˈʊ	0.389
χ	k	0.569
