English	Eastphalian	probability
b	b	1.0
d	d	0.684
d	t	0.226
d	-	0.086
f	f	0.965
f	x	0.041
h	h	1.0
j	j	0.692
j	ˈiː	0.287
k	k	0.884
k	-	0.103
kʰ	k	0.871
kʰ	f	0.074
l	l	1.0
m	m	0.703
m	ɐ_m	0.192
m	m_ə	0.094
n	n	0.873
n	-	0.065
n	n_ə	0.054
p	p	0.616
p	p_ə	0.195
p	b_m	0.17
s	s	0.662
s	z	0.334
t	t	0.599
t	t_ə	0.188
t	t_n	0.098
t	ç	0.074
t	x	0.034
tʰ	t	0.874
tʰ	b	0.111
v	v	0.519
v	b	0.167
v	m	0.118
v	f	0.113
w	v	0.755
w	w	0.154
w	-	0.049
w	ˈɛɪ̯	0.039
w	r	0.037
z	z_ə	0.594
z	z	0.392
ð	-	0.457
ð	d	0.389
ð	n	0.122
ŋ	ŋ	1.0
ŋ_ɡ	ŋ	1.0
ə	ɐ	0.886
ə	ə	0.083
ə	-	0.038
əʊ̯	n	0.45
əʊ̯	-	0.223
əʊ̯	ɐ	0.127
ɡ	ɣ	0.755
ɡ	-	0.145
ɡ	j	0.078
ɪ	ɪ	0.478
ɪ	-	0.187
ɪ	ˈœ	0.187
ɪ	ə	0.122
ɫ	l	0.95
ɫ	n	0.053
ɹ	r	0.884
ɹ	-	0.105
ʃ	ʃ	1.0
ʤ	k	0.574
ʤ	ɣ	0.284
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.329
ˈaɪ̯	ˈɪ	0.231
ˈaɪ̯	ˈa	0.081
ˈaɪ̯	ˈyː	0.053
ˈaɪ̯	ˈeː	0.053
ˈaʊ̯	ˈuː	0.689
ˈaʊ̯	ˈʊ	0.215
ˈaʊ̯	ˈaʊ̯	0.084
ˈe	ˈɛɪ̯	0.166
ˈe	ˈeo̯	0.166
ˈe	ˈɛ	0.153
ˈe	ˈeː	0.153
ˈe	ˈɪ	0.113
ˈeɪ̯	ˈa	0.184
ˈeɪ̯	ˈeo̯	0.184
ˈeɪ̯	ˈɒː	0.176
ˈeɪ̯	j	0.139
ˈeɪ̯	ˈɛ	0.105
ˈiː	ˈɛɪ̯	0.272
ˈiː	ˈɔʏ̯	0.165
ˈiː	ˈɒː	0.141
ˈiː	ˈeo̯	0.141
ˈiː	ˈiː	0.09
ˈuː	ˈaʊ̯	0.415
ˈuː	-	0.163
ˈuː	ˈɛɪ̯	0.163
ˈuː	ˈɒː	0.115
ˈuː	ˈɛː	0.111
ˈæ	ˈa	0.867
ˈæ	ˈɛ	0.132
ˈɐ	ˈʊ	0.365
ˈɐ	ˈaʊ̯	0.215
ˈɐ	ˈoː	0.163
ˈɐ	ˈɔ	0.107
ˈɐ	ˈa	0.081
ˈɑː	ˈa	0.371
ˈɑː	ˈa_ɐ	0.208
ˈɑː	ˈɒː	0.158
ˈɑː	ˈaː	0.108
ˈɑː	ˈeː	0.108
ˈɒ	ˈɔ	0.681
ˈɒ	ˈa	0.141
ˈɒ	ˈɛɪ̯	0.123
ˈɔː	ɐ	0.398
ˈɔː	ˈaː	0.144
ˈɔː	ˈa	0.144
ˈɔː	ˈɒː	0.144
ˈɔː	ˈɔ	0.135
ˈəʊ̯	ˈɛɪ̯	0.344
ˈəʊ̯	ˈɔ	0.307
ˈəʊ̯	ˈɛː	0.102
ˈəʊ̯	ˈoː	0.079
ˈəʊ̯	ˈɪ	0.063
ˈɛ	ˈɒː	0.629
ˈɛ	ˈɛː	0.361
ˈɜː	ˈɛː	0.28
ˈɜː	ˈeː	0.28
ˈɜː	ˈoː_ɐ	0.173
ˈɜː	ˈoː	0.173
ˈɪ	ˈɪ	0.438
ˈɪ	ˈʏ	0.108
ˈɪ	ˈiː	0.108
ˈɪ	ˈɛ	0.1
ˈɪ	ˈyː	0.085
ˈʊ	ˈʊ	0.568
ˈʊ	ˈaʊ̯	0.375
θ	d	0.78
θ	-	0.122
θ	r	0.092
