English	Eastphalian	probability
b	b	1.0
d	d	0.621
d	t	0.29
d	-	0.054
f	f	0.981
h	h	0.944
h	k	0.056
j	j	0.625
j	ˈiː	0.375
k	k	0.979
kʰ	k	0.944
kʰ	f	0.056
l	l	1.0
m	m	0.96
n	n	1.0
p	p	0.806
p	b	0.194
s	s	0.602
s	z	0.379
t	t	0.842
t	ç_t	0.055
tʰ	t	0.95
tʰ	b	0.05
v	v	0.579
v	b	0.255
v	f	0.083
v	m	0.082
w	v	0.798
w	w	0.12
z	z	1.0
ð	-	0.655
ð	d	0.259
ð	n	0.086
ŋ	ŋ	1.0
ə	ɐ	0.861
ə	ə	0.118
əʊ̯	n	0.563
əʊ̯	-	0.279
əʊ̯	ɐ	0.158
ɡ	ɣ	0.644
ɡ	-	0.27
ɡ	j	0.086
ɪ	ɪ	0.567
ɪ	-	0.24
ɪ	ˈœ	0.154
ɫ	l	0.945
ɫ	n	0.055
ɹ	r	0.926
ɹ	-	0.074
ʃ	ʃ	1.0
ʤ	k	0.669
ʤ	ɣ	0.331
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.307
ˈaɪ̯	ˈɪ	0.246
ˈaɪ̯	ˈeː	0.086
ˈaɪ̯	ˈɛ	0.081
ˈaɪ̯	ˈa	0.069
ˈaɪ̯	ˈeo̯	0.051
ˈaʊ̯	ˈuː	0.634
ˈaʊ̯	ˈʊ	0.276
ˈaʊ̯	ˈaʊ̯	0.09
ˈe	ˈɛɪ̯	0.193
ˈe	ˈɛ	0.159
ˈe	ˈɪ	0.157
ˈe	ˈeo̯	0.128
ˈe	ˈeː	0.118
ˈe	ˈɔ	0.066
ˈe	ˈʏ	0.06
ˈe	-	0.05
ˈeɪ̯	ˈɒː	0.216
ˈeɪ̯	ˈɛː	0.213
ˈeɪ̯	ˈɛ	0.169
ˈeɪ̯	ˈa_x	0.104
ˈeɪ̯	ˈeo̯	0.1
ˈeɪ̯	ˈa	0.098
ˈeɪ̯	ˈɛə̯	0.066
ˈiː	ˈɛɪ̯	0.281
ˈiː	ˈeo̯	0.163
ˈiː	ˈøː	0.148
ˈiː	ˈɔʏ̯	0.145
ˈiː	ˈɒː	0.103
ˈiː	ˈiː	0.078
ˈuː	ˈaʊ̯	0.437
ˈuː	-	0.292
ˈuː	ˈɒː	0.143
ˈuː	ˈɛː	0.071
ˈuː	ˈɛɪ̯	0.056
ˈæ	ˈa	0.983
ˈɐ	ˈʊ	0.42
ˈɐ	ˈoː	0.139
ˈɐ	-	0.124
ˈɐ	ˈɔ	0.124
ˈɐ	ˈʏ	0.091
ˈɐ	ˈaʊ̯	0.056
ˈɑː	ˈa_ɐ	0.345
ˈɑː	ˈɒː	0.2
ˈɑː	ˈa	0.137
ˈɑː	ˈa_l	0.132
ˈɑː	ˈaː	0.131
ˈɑː	ˈeː	0.055
ˈɒ	ˈɔ	0.713
ˈɒ	ˈa	0.158
ˈɒ	ˈɛɪ̯	0.129
ˈɔː	ˈaː	0.293
ˈɔː	ˈa	0.202
ˈɔː	ˈoː	0.164
ˈɔː	ˈɔ	0.155
ˈɔː	ˈɒː	0.113
ˈɔː	ɐ	0.074
ˈəʊ̯	ˈɛɪ̯	0.46
ˈəʊ̯	ˈɔ	0.276
ˈəʊ̯	ˈɛː	0.091
ˈɛ	ˈɒː	0.635
ˈɛ	ˈɛː	0.365
ˈɜː	ˈoː_ɐ	0.487
ˈɜː	ˈeː	0.284
ˈɜː	ˈɛː	0.229
ˈɪ	ˈɪ	0.554
ˈɪ	ˈʏ	0.105
ˈɪ	ˈiː	0.079
ˈɪ	ˈɛ	0.073
ˈɪ	ˈyː	0.062
ˈɪ	ˈaː	0.058
ˈʊ	ˈʊ	0.602
ˈʊ	ˈaʊ̯	0.398
θ	d	0.886
θ	r	0.069
