Danish	Danish	probability
ˈʌˀ	ˈoː	1.0
ˈɶˀ	r_ˈʏ	1.0
ˈɶ	-	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈuː	1.0
ˈɔ	ˈʊ	1.0
ˈɒˀ	-	1.0
ˈɒ	ˈaʊ̯	1.0
ˈɑː	-	1.0
ˈɑ_d̥	aɪ̯	1.0
ˈœː	-	1.0
ˈøː	-	1.0
ˈøˀ	-	1.0
ˈø	ˈɛ	1.0
ˈæː	ˈɔː_d	1.0
ˈæˀ	ˈaɪ̯	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈoˀ_#>	#>	1.0
ˈo	ˈuː	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈaː	-	1.0
ʨ	tʰ	1.0
ʌ	ɐ	1.0
ʁ	r	1.0
ə_n	ə_n	1.0
ə_#>	#>	1.0
ɐ_#>	#>	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	t	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
n_ə	nʲ	1.0
mˀ	-	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ	-	1.0
j_#>	#>	1.0
i	-	1.0
h	h	1.0
f	f	1.0
b̥_ə	p	1.0
b̥_#>	p_#>	1.0
<#_ʁ	<#_r	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
lˀ	l	0.929
ʋ	v	0.905
b̥	b	0.905
s	s	0.88
n	n	0.846
nˀ	n	0.833
ɐ	ɐ	0.773
<#	<#_j	0.727
ʦʰ	tʰ	0.682
ˈɑ	-	0.667
ˈyˀ	ˈiː	0.667
ɐˀ	ɐ	0.667
w	-	0.667
ɡ̊	k	0.64
ˈuː	ˈʏ	0.6
ˈuˀ	ˈʏ	0.583
ˈʌ	-	0.571
ˈœˀ	-	0.571
ˈɔˀ	-	0.545
ˈiˀ	ˈɪ	0.545
ð̞ˠ	ɾ	0.542
ˈe	ˈɪ	0.529
ˈɑˀ	r_ə	0.5
ˈɑˀ	-	0.5
ə	-	0.462
ð̞ˠ	t	0.458
ˈɔˀ	ˈɔː	0.455
ˈœ	ˈɛ	0.455
ˈoˀ	-	0.444
ˈœˀ	ˈɔa̯	0.429
j	k	0.417
j	-	0.417
d̥	t	0.417
ˈuː	-	0.4
ˈɛ	-	0.389
ə	ə	0.385
ˈœ	-	0.364
ˈeˀ	ˈɛ	0.364
d̥	d	0.361
ˈɑ	ˈa	0.333
ˈyˀ	ˈyː	0.333
ˈoˀ	ˈœ	0.333
ˈiː	ˈɪ	0.333
ˈiː	ˈiː	0.333
ˈiː	-	0.333
ɐˀ	ɐ_x	0.333
ˈa	ˈa	0.3
ˈa	-	0.3
ˈe	-	0.294
#>	ç_#>	0.292
ˈɛ	ˈa	0.278
ˈiˀ	ˈiː	0.273
ˈeˀ	ˈiː	0.273
ʦʰ	d	0.273
<#	<#_v	0.273
ˈuˀ	ˈyː	0.25
ˈu	ˈʏ	0.25
ˈu	ˈʊ	0.25
ˈu	ˈɔ	0.25
ˈu	-	0.25
ˈɛ	ˈɛ	0.222
ˈoˀ	ˈʊ	0.222
#>	ɐ_#>	0.208
#>	k_#>	0.208
#>	f_#>	0.208
ˈa	ˈœ	0.2
ˈa	ˈeː	0.2
ɡ̊	-	0.2
ˈœ	ˈœ	0.182
ˈiˀ	-	0.182
ˈeˀ	ˈeː	0.182
ˈeˀ	-	0.182
ˈe	ˈɛ	0.176
ˈuˀ	-	0.167
w	v	0.167
w	f	0.167
nˀ	-	0.167
j	h	0.167
d̥	x_t	0.167
ɡ̊	ç	0.16
ə	ɪ	0.154
ˈʌ	ˈʏ	0.143
ˈʌ	ˈʊ	0.143
ˈʌ	ˈoː	0.143
ɐ	-	0.136
ˈɛ	ˈɔː	0.111
ʋ	ə_f	0.095
b̥	p	0.095
ɐ	x	0.091
#>	ˈʏ_#>	0.083
n	ˈɛ_n	0.077
n	-	0.077
lˀ	lʲ	0.071
s	ʃ	0.06
d̥	-	0.056
