Alsatian	Alsatian	probability
ˈəi̯	ˈoɐ̯	1.0
ˈœ	ˈau̯	1.0
ˈøi̯	ˈau̯	1.0
ˈø	ˈoː	1.0
ˈu	ˈu	1.0
ˈei̯_#>	ˈai̯_#>	1.0
ˈei̯	ˈoɐ̯	1.0
ˈaː	-	1.0
ˈai̯	ˈaː	1.0
ʦ	ʦ	1.0
ɡ̊	ɡ̊	1.0
ə_ʁ	a	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	x	1.0
w	ʋ	1.0
t	d̥	1.0
s_ə	s_n	1.0
s	s	1.0
p͡f	b̥͡v̥	1.0
p	b̥	1.0
m	m	1.0
l_ˈʊː	l	1.0
kʰ	kʰ	1.0
i_ʃ	ç	1.0
h	h	1.0
f	f	1.0
eː	eɐ̯	1.0
e	m	1.0
d̥	d̥	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_n	1.0
b̥	b̥	0.909
ˈe	ˈe	0.833
ˈo	ˈo	0.8
ʋ	ʋ	0.783
ˈeː	ˈeː	0.778
ˈyː	ˈau̯	0.75
k	ɡ̊	0.75
#>	ɡ̊_#>	0.75
n	n	0.729
ˈʊː	ˈuɐ̯	0.727
ˈi	ˈi	0.72
ʃ	ʃ	0.71
j	ŋ	0.667
ə	a	0.609
ˈæː	-	0.6
i	ɡ̊	0.6
ˈɒː	ˈɒː	0.571
l	l	0.545
ˈæ	ˈe	0.5
ˈæ	-	0.5
ˈiː	ˈai̯	0.5
ʁ	r	0.487
l	j	0.455
ˈɒː	-	0.429
ʁ	ɐ	0.41
ˈæː	ˈe	0.4
i	i	0.4
ˈiː	ˈiɐ̯	0.389
ˈɒ	ˈɑ	0.375
ˈoː	ˈou̯	0.357
ə	n	0.348
j	j	0.333
ˈɒ	ˈo	0.292
ˈoː	-	0.286
ˈʊː	ˈaː	0.273
ˈyː	-	0.25
k	ɡ̊_a	0.25
#>	n_#>	0.25
ˈeː	-	0.222
ʋ	-	0.217
ˈoː	ˈo	0.214
ˈo	ˈoː	0.2
ʃ	x	0.194
n	-	0.188
ˈɒ	ˈɒː	0.167
ˈe	ˈi	0.167
ˈi	ˈai̯	0.16
ˈoː	ˈoː	0.143
ˈi	ˈiː	0.12
ˈiː	ˈi	0.111
ʁ	a	0.103
ʃ	-	0.097
b̥	-	0.091
ˈɒ	ˈɑː	0.083
ˈɒ	ˈa	0.083
