Lithuanian	Lithuanian	probability
̌_ɡ	ɡ̊	1.0
̌_d	d̥	1.0
̌_b	b̥	1.0
̌	-	1.0
̂_tʲ	ɕ	1.0
̂	-	1.0
ˈ_#>	#>	1.0
ˈ	-	1.0
ʑ	z	1.0
ʊ_ˈ	ɨ	1.0
ɪ_ˈ	ɔ	1.0
ɪ_rʲ	ɛ_r	1.0
ɪ_#>	#>	1.0
ɡʲ_iː	ʒ	1.0
ɛʊ̯	u	1.0
ɛɪ̯	i_x	1.0
ɐʊ̯	u_x	1.0
ɐɪ̯	vʲ_ɪ	1.0
ɐ_ˈ_#>	a_#>	1.0
ŋʲ_kʲ	pʲ	1.0
ŋ	u	1.0
æː	-	1.0
z	ɔ	1.0
uː	ɨ	1.0
uə̯	a	1.0
s_#>	#>	1.0
r	r	1.0
pʲ	p	1.0
p	s	1.0
mʲ	mʲ	1.0
kʲ	-	1.0
k_tʲ	ʦ	1.0
j	-	1.0
iː	-	1.0
iə̯	ɪ	1.0
bʲ	b	1.0
b_aː	bʲ	1.0
b	b	1.0
aː_̌	ɔ	1.0
<#_ɐ	<#_v	1.0
<#_s	<#_s	1.0
#>	a_#>	1.0
ɫ	w	0.833
ɕ	s	0.833
ɡ	ɡ	0.778
t	t	0.778
sʲ	s	0.75
nʲ	-	0.75
lʲ	l	0.75
d	d	0.75
vʲ	vʲ	0.714
oː	a	0.714
k	k	0.714
eː	a	0.7
ʒ	z	0.667
ʊ	-	0.667
s	-	0.667
rʲ	rʲ	0.667
n	n	0.667
ɪ	-	0.625
v	v	0.625
m	m	0.625
ɡʲ	-	0.6
dʲ	ʑ	0.6
<#	<#_j	0.556
ɐ_s_#>	#>	0.542
ʃ	s	0.5
ʃ	-	0.5
æː_̌	ɛ	0.5
æː_̌	a	0.5
tʲ	ɕ	0.5
tʲ	-	0.5
aː	-	0.5
ɐ_s_#>	ɨ_#>	0.458
ɐ	ɔ	0.455
dʲ	-	0.4
v	-	0.375
m	-	0.375
ɛ	-	0.357
ʒ	ɡ	0.333
ʊ	u_x	0.333
s	s	0.333
rʲ	r	0.333
n	-	0.333
eː	ɪ	0.3
ɛ	ɛ	0.286
vʲ	v	0.286
oː	ɔ	0.286
k	ʦ	0.286
ɐ	-	0.273
sʲ	-	0.25
nʲ	nʲ	0.25
lʲ	-	0.25
d	d̥	0.25
aː	ɛ	0.25
aː	u	0.25
ɡ	-	0.222
t	-	0.222
<#	<#_v	0.222
<#	<#_s	0.222
ɛ	ɔ	0.214
ɪ	e	0.208
ɡʲ	ʐ̊	0.2
ɡʲ	ʐ	0.2
ɐ	a	0.182
ɫ	l	0.167
ɪ	ɛ	0.167
ɕ	ʨ	0.167
ɛ	e	0.143
ɐ	ɛ	0.091
