Gothic	Old West Norse	probability
θ_s	ð_r̥	1.0
β	v	1.0
ˈɔː_s	ˈøy̯_r	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiu̯_p	pː	1.0
ˈeː	ˈɑː	1.0
ˈa_h	ˈɑː	1.0
ʍ	x_w	1.0
ɡʷː	ɡ	1.0
ɡʷ	ɟ	1.0
ɔː	a	1.0
ŋ	ŋ	1.0
x	ɣ	1.0
w_s	ˈoː_r̥	1.0
w	v	1.0
r_n	r_n	1.0
p	p	1.0
nː	nː	1.0
n_θ	nː	1.0
n_s	nː	1.0
m_f	mː	1.0
lː	lː	1.0
l_θ	lː	1.0
kʷ	kʰ_ˈoː	1.0
k_ˈa	cʰ	1.0
j	-	1.0
h_s	r̥	1.0
h_l	l̥	1.0
e	-	1.0
d_a	ɡː	1.0
d	d	1.0
aː	ɑ	1.0
a_r	i_r̥	1.0
a_n	ɑ	1.0
b	b	0.925
i	-	0.908
l	l	0.905
r	r	0.889
n	n	0.889
m	m	0.856
ˈɛː	ˈɛi̯	0.853
s	r̥	0.779
ˈɔ	ˈo	0.744
k	k	0.734
ˈu	ˈu	0.733
θ	ð	0.732
ɣ	ɣ	0.703
f	f	0.7
ˈoː	ˈoː	0.676
ð	ð	0.667
ˈa	ˈɑ	0.666
t	t	0.658
ŋ_k	kː	0.64
ˈɔː	ˈɑu̯	0.602
iː	r̥	0.6
u	-	0.57
h	h	0.535
ˈiu̯	j_ˈuː	0.516
oː	ɑ	0.515
ˈi	ˈi	0.512
ˈiu̯	ˈyː	0.484
h	-	0.465
u	u	0.43
iː	i	0.4
ˈɛ	j_ˈɑ	0.385
ˈɛ	j_ˈɔ	0.38
ɡ	ɣ	0.364
ŋ_k	sː	0.36
oː	-	0.359
ð	ʦ	0.333
ɡ	ɡ	0.315
f	v	0.3
ɣ	ɟː	0.297
a	i	0.293
θ	-	0.268
k	c	0.266
ˈɔː	ˈɑː	0.265
ˈɔ	ˈɑu̯	0.256
a	a	0.254
a	-	0.254
ˈɛ	-	0.234
ˈoː	ˈɔː	0.212
ˈi	ˈe	0.204
t	tʰ	0.188
s	s	0.182
ɡ	-	0.177
ˈi	-	0.168
ˈu	ˈo	0.167
t	tː	0.155
ˈa	ˈa	0.15
ˈɛː	j	0.147
ɡ	ɟ	0.144
m	-	0.144
ˈa	ˈɛ	0.134
ˈɔː	ˈɒu̯	0.133
oː	n	0.126
a	ɑ	0.125
ˈoː	ˈøː	0.113
r	r̥	0.111
n	-	0.111
ˈu	-	0.1
l	ˈɑ_l	0.095
i	e	0.092
b	-	0.075
a	r̥	0.073
ˈi	ˈy	0.072
ˈa	-	0.05
