Old Norse	Pennsylvania German	probability
a	ə	0.604
a	-	0.251
a	ˈɔː	0.144
b	b	0.954
c	-	0.573
c	x	0.277
c	k	0.151
cʰ	kʰ	1.0
cː	k	1.0
d	d	0.461
d	t	0.403
d	-	0.123
f	f	0.92
f	p	0.08
h	h	0.978
i	ɑ	0.56
i	-	0.388
i	ɪ	0.051
j	ˈɪ	0.215
j	ˈiː	0.198
j	-	0.183
j	ˈɛː	0.147
j	ˈɛ	0.128
j	ˈeː	0.089
k	ç	0.393
k	x	0.333
k	-	0.168
k	k	0.075
kʰ	kʰ	0.585
kʰ	ɡ	0.276
kʰ	f	0.139
kː	k	0.651
kː	ŋ_k	0.349
l	l	1.0
lː	l	1.0
l̥	l	1.0
m	m	0.918
m	ə_m	0.082
mː	n	0.669
mː	m	0.331
n	n	0.839
n	-	0.141
nː	n	0.825
nː	ç	0.137
p	f	0.913
p	p	0.087
pː	f	1.0
r	ɑ	0.433
r	ɾ	0.222
r	t	0.191
r	-	0.096
rː	ɑ	0.963
r̥	ɾ	1.0
s	s	0.501
s	ʃ	0.473
sː	s	1.0
t	s	0.694
t	t	0.155
t	ʦ	0.123
tʰ	ʦ	0.948
tʰ	b	0.052
tː	x	0.553
tː	ç	0.356
tː	ʦ	0.068
u	ɪ	0.51
u	ə	0.311
u	-	0.179
v	ʋ	0.465
v	v	0.223
v	f	0.109
v	p	0.108
v	-	0.064
w	-	1.0
x	v	1.0
ç	h	1.0
ð	t	0.645
ð	d	0.26
ð	-	0.059
ŋ	ŋ	0.855
ŋ	-	0.105
ɑ	ə	0.941
ɑ	-	0.054
ɑː	eː	1.0
ɟ	ɡ	0.636
ɟ	j	0.254
ɟ	-	0.11
ɟː	k	1.0
ɡ	ɡ	0.426
ɡ	-	0.354
ɡ	ç	0.22
ɡː	k	0.545
ɡː	-	0.455
ɣ	k	0.421
ɣ	ç	0.221
ɣ	j	0.198
ɣ	ɣ	0.159
ɾ	ɑ	1.0
ʝː	ɣ	1.0
ʦ	t	1.0
ˈa	ˈa	1.0
ˈe	ˈɛ	0.356
ˈe	ˈɛː	0.248
ˈe	ˈɔː	0.122
ˈe	-	0.104
ˈe	ˈɪ	0.099
ˈeː	ˈiː	0.433
ˈeː	ˈɛ	0.323
ˈeː	ˈaɪ̯	0.198
ˈi	ˈɪ	0.93
ˈiː	ˈaɪ̯	0.84
ˈiː	ˈa	0.085
ˈiː	ˈeː	0.075
ˈo	ˈaː	0.312
ˈo	ʋ_ˈaː	0.206
ˈo	ˈeː	0.117
ˈo	ˈa	0.111
ˈo	ˈɔ	0.105
ˈo	ˈoː	0.097
ˈoː	ˈuː	0.338
ˈoː	-	0.305
ˈoː	ɾ	0.207
ˈoː	ˈiː	0.072
ˈoː	ˈʊ	0.054
ˈu	ˈʊ	0.621
ˈu	ˈɪ	0.081
ˈu	ˈɛ	0.06
ˈu	ˈɔ	0.053
ˈuː	ˈaʊ̯	0.472
ˈuː	-	0.418
ˈuː	ˈuː	0.066
ˈy	ˈɪ	0.538
ˈy	ˈa	0.212
ˈy	ˈɛ	0.177
ˈy	ˈɔ	0.072
ˈyː	ˈaɪ̯	0.444
ˈyː	ˈaʊ̯	0.199
ˈyː	ˈuː	0.199
ˈyː	ˈiː	0.142
ˈøy̯	ˈɔː	0.551
ˈøy̯	ˈoː	0.207
ˈøy̯	ˈaʊ̯	0.165
ˈøy̯	ˈeː	0.078
ˈøː	ˈiː	0.617
ˈøː	ˈuː	0.339
ˈɑ	ˈa	0.402
ˈɑ	ˈɔː	0.213
ˈɑ	ˈaː	0.16
ˈɑ	-	0.109
ˈɑu̯	ˈɔː	0.64
ˈɑu̯	ˈoː	0.22
ˈɑu̯	ə	0.14
ˈɑː	ˈoː	0.518
ˈɑː	ˈɔː	0.197
ˈɑː	ˈa	0.168
ˈɑː	ˈeː	0.062
ˈɑː	ə	0.055
ˈɒu̯	ˈʊ	0.687
ˈɒu̯	ˈeː	0.156
ˈɒu̯	ˈoː	0.156
ˈɔ	-	0.477
ˈɔ	ˈɔː	0.245
ˈɔ	ˈa	0.215
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.399
ˈɛ	ˈa	0.199
ˈɛ	ˈɛː	0.162
ˈɛ	ˈɔɪ̯	0.123
ˈɛ	ˈaɪ̯	0.088
ˈɛi̯	ˈeː	0.976
ˈɛː	ˈeː	0.469
ˈɛː	ˈa	0.303
ˈɛː	-	0.228
θ	d	1.0
