Sicilian	Franco-Provençal	probability
b	b	1.0
c	p	1.0
cː	-	1.0
d	d	1.0
f	f	1.0
kː	-	1.0
ŋ	-	1.0
ɟː	ʎ	1.0
ɲː	ɲ	1.0
ɽ	-	1.0
ʃ	-	1.0
ʃː	-	1.0
ʐ	ʁ	1.0
ʤ	ð	1.0
ˈe	ˈɛː	1.0
ˈo	ˈɔ̃	1.0
ɾ	ð	0.261
ˈa	ˈɛː	0.101
ˈi	ˈɛː	0.371
ˈu	ˈo	0.231
ˈu	w	0.391
a	ə	0.222
j	ð	0.342
p	v	0.282
ɡ	-	0.472
ɪ	ˈe	0.072
ɪ	ˈi	0.092
ʊ	ˈe	0.302
ʊ	o	0.362
ˈa	ˈɑː	0.062
ˈɔ	ˈo	0.092
ˈɛ	j_ˈe	0.082
ˈɛ	ˈi	0.182
m	m	0.923
nː	-	0.773
r	ʁ	0.483
s	-	0.183
ɖː	-	0.293
ɾ	ʁ	0.403
ʊ	ˈoː	0.153
ˈa	ˈɑ̃	0.123
ˈu	ˈø	0.113
ˈɛ	ˈe	0.373
i	ə	0.454
k	k	0.224
w	o	0.314
ˈi	ˈi	0.154
l	-	0.055
l	l	0.945
tː	-	0.45
tː	t	0.55
v	f	0.055
v	-	0.165
ɪ	ə	0.635
ˈa	ˈe	0.085
ˈa	ˈaː	0.095
ˈu	ˈu	0.265
ˈɔ	ˈoː	0.315
ˈɔ	w	0.365
n	ˈɛ̃	0.076
t	-	0.496
w	-	0.686
ɕ	-	0.126
ɕ	z	0.176
ɪ	o	0.066
ɪ	-	0.136
ɾ	-	0.336
ˈa	ˈa	0.346
ˈi	ˈɛ	0.216
k	ʃ	0.487
m	-	0.077
n	-	0.157
n	n	0.767
nː	m	0.227
p	p	0.687
r	-	0.517
s	s	0.817
t	t	0.467
ɖː	l	0.707
ˈa	-	0.187
ˈɛ	j	0.097
ˈɛ	ˈɛ	0.267
i	j	0.148
i	-	0.398
j	-	0.658
v	v	0.78
ɡ	ɡ	0.528
ʊ	-	0.098
a	-	0.089
a	a	0.639
k	-	0.289
ɕ	s	0.699
ˈi	-	0.099
ˈi	ˈe	0.159
ˈɔ	ˈø	0.069
ˈɔ	ˈɔ	0.159
