East Low German	Mainland North Frisian	probability
ˈʊ	ˈʊ	1.0
ˈɛː	ˈɛː	1.0
ˈeː	ˈiː	1.0
ˈae̯	ˈiː	1.0
ʃ_w	s_v	1.0
ɾ	d_ə	1.0
ɪ	i	1.0
ç_#>	#>	1.0
æ_n	ʀ_n	1.0
z	s	1.0
x	x	1.0
tʰ	t	1.0
t_n	z_ə	1.0
s_#>	s_#>	1.0
r	ʀ	1.0
p	p	1.0
n_ʃ	n_ʃ	1.0
l_t	lʲ	1.0
kʰ	k	1.0
j	ɡ	1.0
h	h	1.0
d_n	dʲ_ə	1.0
b	b	1.0
<#_n	<#_n	1.0
l	l	0.956
ŋ	ŋ	0.833
v	v	0.833
f	f	0.759
ˈiː	ˈi	0.714
k	k	0.688
ˈɔʏ̯	ˈɛ	0.667
m	m	0.621
t	t	0.617
s	s	0.6
æ	ʀ	0.586
ʃ	ʃ	0.571
ɡ	ɡ	0.571
ˈɔ	ˈɔː	0.5
ˈɔ	ˈœ	0.5
ˈɒː	ˈɛi̯	0.5
ˈɒː	ˈɔu̯	0.5
ˈœː	ˈɔː	0.5
ˈœː	ˈaː	0.5
ˈaː	ˈa_ʀ	0.5
ˈaː	ʀ	0.5
n_d	nʲ	0.5
n_d	n	0.5
n	n	0.472
ˈuː	ˈʏ	0.471
d	d	0.469
ç	ç	0.444
ˈɪ	ˈi	0.429
ˈɛ	ˈeː	0.429
ʃ	s	0.429
æ	ə_ʀ	0.414
ˈaʊ̯	ˈœ	0.4
s	ʀ_s	0.4
ˈɪ	ˈa	0.333
ˈɔʏ̯	ˈɛi̯	0.333
ˈaʊ̯	ˈuː	0.333
ç	x	0.333
n	ə	0.321
ˈa	ˈɒ	0.3
ˈɛ	ˈʊ	0.286
ˈɛ	ˈɒ	0.286
ɡ	j	0.286
d	t	0.281
ˈʏ	ˈʏ	0.273
ˈʏ	ˈeː	0.273
ˈʏ	ˈa	0.273
ˈaʊ̯	ˈyː	0.267
f	v̥	0.241
ˈuː	ˈɔ	0.235
ç	ŋ	0.222
ˈa	ˈœ	0.2
k	k_ə	0.188
ˈʏ	ˈʊ	0.182
ˈuː	ˈœː	0.176
m	m_ə	0.172
t	tʲ	0.17
ŋ	d_ə	0.167
v	-	0.167
ˈa	ˈuː	0.15
ˈa	ˈeː	0.15
ˈɪ	ˈʊ	0.143
ˈiː	ˈɛ	0.143
ˈiː	ˈiː	0.143
ɡ	j_ə	0.143
m	v_ə	0.138
t	d̥	0.128
k	-	0.125
ˈuː	ˈuː	0.118
n	n_ə	0.113
ˈa	ˈʊ	0.1
ˈa	ˈɔː	0.1
ˈɪ	ˈai̯	0.095
n	nʲ	0.094
d	d̥	0.094
d	-	0.094
t	dʲ	0.085
m	ə	0.069
d	tʲ	0.062
