Teochew	Teochew	probability
⁵²	²¹³	1.0
⁴⁴	⁴²	1.0
ʨʰ	ʨʰ	1.0
ʦʰ	ʦʰ	1.0
ʣ	nʲ	1.0
ɡ	-	1.0
ŋ̍	w_ɔ	1.0
¹¹	¹¹	1.0
³³	⁴²	1.0
²⁴	²⁴	1.0
²	⁵	1.0
w_e	ɨ_j	1.0
ũ	ɵ	1.0
tʰ	tʰ	1.0
õ	ɔ	1.0
o_ʔ	ɔ_ʔ	1.0
o_w	u	1.0
o_j	i	1.0
n	nʲ	1.0
l	l	1.0
kʰ	kʰ	1.0
j_a	a	1.0
ĩ	ɛ_n	1.0
h_w	f	1.0
b	m	1.0
ã	n	1.0
a_j	z̩	1.0
<#_ʣ	<#	1.0
<#_m	<#	1.0
<#_h	<#	1.0
<#	<#_ŋ	1.0
j	j	0.833
ʔ	t̚	0.778
²¹³	²¹³	0.714
k̚	t̚	0.667
⁵⁵	³⁵	0.633
w	w	0.632
m	n	0.625
⁴	⁵	0.6
³⁵	¹¹	0.6
h	h	0.571
ʦ	ʦ	0.556
s	s	0.556
i	i	0.529
ŋ	ŋ	0.5
ŋ	n	0.5
ʦ	s	0.444
s	ɕ	0.444
h	f	0.429
u	u	0.417
p	p	0.417
⁴	²	0.4
³⁵	-	0.4
ɯ	ɵ	0.375
ɯ	ɔ	0.375
m	m	0.375
⁵⁵	²⁴	0.367
u	ɨ	0.333
p	f	0.333
o	u	0.333
k̚	ʔ	0.333
k	ʨ	0.333
k	k	0.333
e	a	0.312
a	a	0.303
²¹³	³⁵	0.286
ɯ	j_e	0.25
u	a	0.25
t	ʦʰ	0.25
t	ʦ	0.25
t	tʰ	0.25
t	t	0.25
p	pʰ	0.25
i	z̩	0.235
ʔ	ʔ	0.222
o	o	0.222
o	a_w	0.222
o	-	0.222
a	u	0.212
k	ʨʰ	0.2
e	ɛ	0.188
e	j_u	0.188
e	-	0.188
j	a	0.167
w	-	0.158
k	-	0.133
e	ɵ	0.125
a	ɛ	0.121
i	ɵ	0.118
i	-	0.118
w	ɥ	0.105
w	o	0.105
a	ɔ	0.091
a	j	0.091
a	ɵ	0.061
a	i	0.061
a	-	0.061
