Zeelandic	Zeelandic	probability
ˈɪə̯_ə	ˈẽː	1.0
ˈɛː_ɾ	ˈɑː	1.0
ˈɒː	ˈa	1.0
ˈɑu̯_d̥	ˈaː_l	1.0
ˈɑu̯	l	1.0
ˈøː_n	ˈõː	1.0
ˈæi̯	ˈaː	1.0
ˈuː_n	ˈĩː	1.0
ˈu	ˈu	1.0
ˈiːə̯	j	1.0
ˈeː_x	ˈoĩ̯	1.0
ˈeː_t	z̥	1.0
ʋ	v	1.0
ɾ_ə	ɐ	1.0
ɫ_v̥	l_f	1.0
ɫ	l	1.0
ɪ	i	1.0
ə_ɾ	æ̆	1.0
ə_v̥	v_æ̆	1.0
ə_#>	#>	1.0
ŋ_k	ʃ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x_ə	ɣ̊	1.0
x_#>	x_#>	1.0
w_#>	#>	1.0
v̥	b̥	1.0
v_ə	v_ə	1.0
v	f	1.0
s_x	ʃ	1.0
s_t	ʃ_d̥	1.0
p_#>	f_#>	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_#>	#>	1.0
j	j	1.0
iː	ɛː	1.0
i	i	1.0
d̥_#>	#>	1.0
<#_ˈyː	<#_h_ˈau̯	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ʀ	1.0
<#_x	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#	<#_h	1.0
n	n	0.925
d̥	d̥	0.842
d	d̥	0.826
ˈɪ	ˈi	0.824
ˈyː	ˈau̯	0.778
ə	ə	0.769
z	s	0.714
t_#>	s_#>	0.714
ˈøː	-	0.667
#>	ə_#>	0.667
ˈiː	ˈiː	0.615
b	b̥	0.615
ˈuː	ˈuː	0.6
ˈeː	ˈɛ	0.6
k	kʰ	0.55
ˈɪə̯	-	0.5
ˈɑ	ˈɑ	0.5
ˈi	ˈi	0.5
ˈi	ˈai̯	0.5
s	ʃ	0.5
ˈɔ	ˈu	0.444
ˈʏ	-	0.429
ˈuː	-	0.4
ˈeː	-	0.4
ɾ	ʀ	0.394
b	p	0.385
ˈɛː	ˈɑː	0.368
s	s	0.357
t	t	0.35
ˈøː	ˈoː	0.333
p	v̥	0.333
#>	n_#>	0.333
x	ʃ	0.316
x	k	0.316
ˈʊə̯	ˈoː	0.312
ˈʊə̯	ˈaː	0.312
ˈʏ	ˈo	0.286
ˈʏ	ˈe	0.286
t_#>	#>	0.286
ˈɔ	ˈo	0.278
ˈɔ	-	0.278
ˈɪə̯	ˈãː	0.25
ˈɪə̯	ˈaː	0.25
t	ʦ	0.25
ɾ	ɐ	0.242
ˈiː	ˈoi̯	0.231
ə	-	0.231
ˈɑ	ˈa	0.227
ˈyː	ˈoi̯	0.222
p	p	0.222
p	f	0.222
p	-	0.222
ˈæ	ˈɛ	0.214
ˈæ	ˈæ	0.214
ˈæ	ˈe	0.214
ˈæ	-	0.214
ɾ	æ̆	0.212
ˈɛː	-	0.211
x	ɣ̊	0.211
k	ʃ	0.2
ˈʊə̯	ˈɔ	0.188
ˈɪ	-	0.176
d	t	0.174
ˈɛː	ˈa	0.158
x	x	0.158
d̥	t	0.158
ˈiː	-	0.154
t	z̥	0.15
t	s	0.15
k	x	0.15
ˈæ	ˈɑː	0.143
z	s_ˈeː	0.143
z	-	0.143
s	-	0.143
ˈʊə̯	-	0.125
ˈɛː	ˈɛ	0.105
ˈɛː	ˈoː	0.105
t	d̥	0.1
k	k	0.1
ˈɑ	ˈɛ	0.091
ˈɑ	ˈɑː	0.091
ˈɑ	-	0.091
ɾ	-	0.091
n	-	0.075
ˈʊə̯	oː	0.062
ɾ	ʀ_ˈai̯	0.061
ˈɛː	ˈɛ̃ː	0.053
