Ligurian	French	probability
a	-	0.636
a	a	0.224
a	ɛ	0.076
a_m	m	0.263
a_ŋ	ɑ̃	1.0
b	b	0.922
b	v	0.077
d	d	0.661
d	-	0.287
d	ʒ	0.053
d_e	a	1.0
e	-	0.765
e	ə	0.098
e	e	0.052
f	f	1.0
i	-	0.587
i	i	0.158
i	u	0.077
i	w	0.077
i	ə	0.064
j	-	0.545
j	a	0.288
j	a_ʁ	0.071
k	k	0.508
k	ʃ	0.373
k	-	0.109
k_a	ʃ	1.0
k_w	k	1.0
l	l	0.78
l	-	0.217
l_u	ø	0.513
m	m	0.873
m	-	0.125
m_a	m	1.0
n	n	0.777
n	-	0.157
n	d	0.065
n_a	m	0.683
n_a	n	0.231
o	-	0.74
o	i	0.147
p	p	0.895
p	-	0.078
r	ʁ	0.935
r	-	0.065
r_i	u	0.379
r_i	ʁ	0.288
r_t	ʁ	1.0
r_u	ʁ	1.0
r_v	ʁ	1.0
r_ˈaː	ɛ	0.513
s	s	0.704
s	-	0.28
s_a	s	1.0
s_e	ʃ	0.683
s_e	s	0.231
s_t	t	1.0
s_ˈaː	s	0.513
t	-	0.499
t	t	0.464
t_a	t	1.0
t_u	i	0.513
u	-	0.855
v	v	0.87
v	-	0.085
v_e	ʁ	0.402
v_e	f	0.265
v_u	f	1.0
w	-	0.476
w	u	0.323
w	l	0.083
w	ɔ	0.079
y	y	0.513
z	ʒ	0.509
z	z	0.203
z	-	0.134
z	d	0.116
z_e	a	0.338
z_e	ʁ	0.338
ŋ	ɛ̃	0.474
ŋ	-	0.251
ŋ	n	0.232
ŋ_a	n	1.0
ŋ_t	ɛ̃	0.629
ŋ_t	t	0.361
ɔː	ɔ	0.66
ɔː	w	0.173
ɡ	-	0.589
ɡ	ɡ	0.353
ɡ	ʃ	0.057
ɡ_u	ø	1.0
ɲ	n	0.513
ɲ_a	ɲ	1.0
ɲ_u	ɛ̃	1.0
ʃ	f_l	0.561
ʃ	s	0.218
ʃ	ʁ	0.082
ʃ_a	s	1.0
ʃ_e	t	1.0
ʒ	z	0.596
ʒ	-	0.22
ʒ	l	0.149
ʒ_e	a	0.803
ʒ_e	s	0.128
ʤ	ʒ	0.469
ʤ	-	0.221
ʤ	d	0.163
ʤ	ɡ	0.111
ʤ_a	j	0.723
ʤ_a	a	0.213
ʤ_u	j	0.53
ʤ_u	s	0.461
ʧ	p_l	0.47
ʧ	ʃ	0.174
ʧ	t	0.128
ʧ	s	0.093
ʧ	k	0.087
ˈa	a	0.481
ˈa	ɛ	0.399
ˈa	l_a	0.061
ˈa	ɛ̃	0.051
ˈa_n	ɑ̃	1.0
ˈa_s	ɛ	0.667
ˈa_s	a	0.333
ˈa_ŋ	ɛ̃	0.744
ˈa_ŋ	ɑ̃	0.216
ˈaː	e	0.345
ˈaː	ɛ	0.261
ˈaː	o	0.165
ˈaː	-	0.113
ˈaː	ɛ_ʁ	0.104
ˈaː_r	o	1.0
ˈaː_s	o	0.513
ˈaː_z	e	0.513
ˈe	w	0.477
ˈe	ɛ	0.177
ˈe	o	0.142
ˈe	ɑ̃	0.057
ˈe	-	0.056
ˈe_ŋ	ɑ̃	1.0
ˈeː	i	0.345
ˈeː	j	0.149
ˈeː	j_ɛ	0.134
ˈeː	y	0.084
ˈeː	œ	0.084
ˈeː	ɛ	0.07
ˈeː	ʁ_i	0.059
ˈeː_ʒ	i	1.0
ˈeː_ʤ	j	1.0
ˈi	i	0.779
ˈi	-	0.085
ˈi	l	0.07
ˈi	y	0.07
ˈi_ŋ	ɛ̃	0.786
ˈi_ŋ	i	0.171
ˈiː	i_ʁ	0.356
ˈiː	-	0.2
ˈiː	i	0.2
ˈiː	w	0.102
ˈiː	ø	0.077
ˈiː_ɡ	i	1.0
ˈu	u	0.46
ˈu	ɔ̃	0.179
ˈu	ɔ	0.118
ˈu	-	0.089
ˈu	w	0.074
ˈu	ɛ	0.061
ˈu_ŋ	ɔ̃	1.0
ˈuː	w	0.284
ˈuː	y	0.21
ˈuː	œ_ʁ	0.21
ˈuː	u	0.187
ˈuː	ø	0.072
ˈy	y	0.498
ˈy	u	0.14
ˈy	ɥ	0.14
ˈy	w	0.106
ˈy	-	0.102
ˈy_t	u	1.0
ˈyː	y	0.579
ˈyː	ɥ	0.246
ˈyː	u	0.163
ˈø	œ	0.339
ˈø	-	0.223
ˈø	y	0.101
ˈø	ɥ	0.096
ˈø	j	0.082
ˈø	ɔ	0.068
ˈø_t	ɥ	1.0
ˈøː	œ	0.642
ˈøː	-	0.183
ˈøː	j	0.102
ˈɔ	ɔ	0.428
ˈɔ	a	0.24
ˈɔ	o	0.182
ˈɔ	u	0.123
ˈɔ_s	o	1.0
ˈɔː	ɔ	0.702
ˈɔː	o	0.174
ˈɔː	ø	0.115
ˈɛ	ɛ	0.574
ˈɛ	a	0.265
ˈɛ	o	0.152
ˈɛː	ɛ	0.463
ˈɛː	ɛ_ʁ	0.175
ˈɛː	e	0.175
ˈɛː	a	0.148
