Old West Norse	Danish	probability
ˈɔː	ˈʌ	1.0
ˈɑ_r	ˈɑˀ	1.0
ˈøy̯	ˈøː	1.0
ˈyː_r̥	ˈoˀ	1.0
ˈuː_ɣ	w	1.0
ˈa	-	1.0
ʦ	s	1.0
ʝː	-	1.0
ɾ	ɐ_ð̞ˠ	1.0
ɡː	ɡ̊	1.0
ɡ	-	1.0
ɟː	ɡ̊	1.0
ɑː	ə	1.0
ŋ_ɡ	ŋˀ	1.0
ŋ_ɟ	ŋ	1.0
ŋ	ŋ	1.0
ð_r̥	ð̞ˠ	1.0
ç	-	1.0
x_w	ʋ	1.0
v_ˈe	ʋ	1.0
tː	d̥	1.0
tʰ	ʦʰ	1.0
t_r̥	ð̞ˠ	1.0
sː	s	1.0
r̥ː	ɐ	1.0
r_ɑ	ɐ	1.0
r_i	ɐ	1.0
pː	ˈɔ_b̥	1.0
pʰ	pʰ	1.0
p	b̥	1.0
n̥	n	1.0
n_d	nˀ	1.0
n	n	1.0
mː	-	1.0
l̥	l	1.0
l_v	lˀ	1.0
l_d	lˀ	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k_r̥	j	1.0
j_ˈuː	ˈyˀ	1.0
i_ɡ	i	1.0
i_r̥	ɐ	1.0
h	h	1.0
f	f	1.0
e	ə	1.0
d	-	1.0
cː	ɡ̊	1.0
cʰ	kʰ	1.0
b	b̥	1.0
a	ə	1.0
s	s	0.993
m	m	0.945
θ	ʦʰ	0.913
ɑ	ə	0.873
l	l	0.857
ˈɔ	-	0.847
ˈyː	ˈyˀ	0.797
ˈiː	ˈiˀ	0.797
ˈuː	ˈuˀ	0.746
ˈɛi̯	ˈeˀ	0.743
nː	n	0.735
c	ɡ̊	0.681
ˈɛ	ˈe	0.657
i	ɐ	0.65
ˈɛː	-	0.645
ˈeː	-	0.63
lː	lˀ	0.624
ˈi	ˈe	0.614
r̥	ɐ	0.614
ˈu	ˈu	0.565
u	ə	0.557
v	ʋ	0.553
t	ð̞ˠ	0.542
ð	-	0.524
j	-	0.519
ˈo	ˈo	0.5
j_ˈoː	ˈyː	0.5
j_ˈoː	ˈyˀ	0.5
ˈe	ˈɛ	0.489
ð	ð̞ˠ	0.476
t	d̥	0.458
ˈoː	-	0.451
ˈoː	ˈoˀ	0.445
ˈɑu̯	ˈœˀ	0.444
u	-	0.443
r	ʁ	0.428
k	ɡ̊	0.399
ɣ	-	0.398
ˈi	-	0.386
r̥	j	0.386
lː	l	0.376
ˈeː	ˈɛˀ	0.37
ˈy	ˈœ	0.358
ˈɛː	ˈeˀ	0.355
i	-	0.35
ˈɛ	ˈeː	0.343
ˈɑː	ˈɔˀ	0.343
j	j	0.339
ˈøː	-	0.33
ˈu	-	0.33
ˈɑu̯	-	0.325
ɣ	w	0.324
r	ɐˀ	0.322
c	-	0.319
k	-	0.318
v	w	0.301
ˈɑ	ˈæ	0.292
ˈy	ˈø	0.285
k	j	0.284
ɣ	jˀ	0.279
ˈɑ	ˈɑ	0.268
nː	nˀ	0.265
ˈɑː	-	0.261
ˈɛi̯	-	0.257
ˈuː	ˈuː	0.254
ˈɑ	ˈɛ	0.246
ˈe	-	0.231
ˈɑu̯	ˈøˀ	0.23
ˈøː	ˈøː	0.227
ˈøː	ˈø	0.227
ˈøː	ˈœː	0.216
r	ɐ	0.213
ˈy	-	0.212
ˈo	ˈœ	0.204
ˈo	-	0.204
ˈyː	-	0.203
ˈiː	ˈiː	0.203
ˈɔ	ˈæ	0.153
ˈy	ˈy	0.146
ˈe	ˈɑ	0.145
ˈɑː	ˈɒˀ	0.144
ˈɑː	ˈɔː	0.143
l	lˀ	0.143
j	ˈyː	0.142
ˈɑ	-	0.141
ˈe	ˈe	0.136
ɑ	-	0.127
ˈɑː	ˈeˀ	0.109
ˈu	ˈʌ	0.105
ˈoː	ˈoː	0.104
v	-	0.099
ˈo	ˈɔ	0.092
θ	ʨ	0.087
m	-	0.055
ˈɑ	ˈʌ	0.053
