Meixian	Meixian	probability
⁵_#>	#>	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ɲ	ȵ	1.0
ç	kʰ	1.0
¹_#>	#>	1.0
³¹	˧˥	1.0
²	-	1.0
z̩	ɨ	1.0
w_¹¹	u_˦	1.0
w	u	1.0
t̚_⁵	t̚	1.0
s_ɛ	ʃ	1.0
p̚	p̚	1.0
n̩	ɳ	1.0
n_a	n_ʌ	1.0
k̚	k̚	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ʊ	ɨ_o	1.0
j_a	e	1.0
e	ə	1.0
cʰ	ɡ	1.0
c	k	1.0
a_w	ɑ_u	1.0
<#_ɲ	<#_ŋ	1.0
<#_h	<#	1.0
ŋ	ŋ	0.964
¹¹	˦	0.941
n	n	0.929
⁵³	˥˩	0.88
l	l	0.857
ɕ	s	0.833
m	m	0.8
⁴⁴	˦	0.778
ʦ	-	0.75
p	p	0.75
ɛ	ə	0.714
t̚	t̚	0.667
j	i	0.667
h	h	0.667
ʋ	ɦ	0.6
ʊ	u	0.583
tʰ	d	0.556
u	u	0.5
t	ʈ	0.5
t	t	0.5
i	i_ɪ	0.478
o	ʌ	0.455
ʦʰ	ʨʰ	0.444
tʰ	tʰ	0.444
ʊ	ɨ_u	0.417
ɔ	ɑ	0.409
ʋ	m_ɨ	0.4
f	p	0.364
u	ɨ_u	0.357
ʦʰ	ʦʰ	0.333
t̚	k̚	0.333
pʰ	pʰˠ	0.333
pʰ	b	0.333
pʰ	-	0.333
h	ɦ	0.333
<#	<#_ʔ	0.333
s	ɕ	0.308
ɛ	u_ɛ	0.286
o	ɑ	0.273
o	u_ɑ	0.273
f	ɦ	0.273
f	-	0.273
i	i	0.261
ʦ	ʈˠ	0.25
p	pˠ	0.25
<#	<#_ɦ	0.25
<#	<#_kʰ	0.25
s	ʥ	0.231
ʦʰ	ɖ	0.222
m	mˠ	0.2
a	e	0.188
a	a	0.188
j	ɨ	0.185
ɔ	ʉ_ɐ	0.182
i	ɨ	0.174
⁴⁴	˧˥	0.167
ɕ	sˠ	0.167
<#	<#_ŋ	0.167
a	æ	0.156
s	-	0.154
u	i_u	0.143
l	lˠ	0.143
ɔ	ɐ	0.136
⁵³	˦	0.12
a	ɑ	0.094
a	ɐ	0.094
a	i_e	0.094
ɔ	ʌ	0.091
ɔ	w_ɑ	0.091
ɔ	-	0.091
f	hˠ	0.091
i	e_i	0.087
s	ʤ	0.077
s	ʑ	0.077
s	ʃˠ	0.077
s	ɕˠ	0.077
j	ʉ	0.074
j	w	0.074
n	ŋ	0.071
a	ʌ	0.062
a	ʉ_ɐ	0.062
a	ɛ	0.062
¹¹	e_˦	0.059
⁴⁴	a_˦	0.056
