Romanian	Romanian	probability
ˈu_n	ˈɔ_n	1.0
ˈi_r	ˈiː_r	1.0
ˈi_n_e	ˈɛ̃ː	1.0
ˈi_n	ˈɛ_n	1.0
ˈau̯	ˈau̯	1.0
ˈa_l	ˈa_ɫ	1.0
ʧʲ	-	1.0
ʧ_e	k_ɪ	1.0
ʤ	ɡ	1.0
ʃ_ˈa	s_ˈɛ	1.0
ʃ_t	s_k	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
v	w	1.0
t_ˈi	ˈa_p	1.0
t_e	t_ɛ̃ː	1.0
t_#>	t_ʊ̃ː_#>	1.0
s_ə	s_ɛ	1.0
s_#>	s_ʊ̃ː_#>	1.0
r_ə	r	1.0
r_u	oː_r	1.0
r_k	r_k	1.0
r_#>	ɫ_ʊ̃ː_#>	1.0
p_t	k_t	1.0
p_r	p_r	1.0
p_#>	p_ʊ̃ː_#>	1.0
o	ɔ	1.0
n_#>	n_ʊ̃ː_#>	1.0
kʲ	k_ʊ	1.0
k_ə	k_ãː	1.0
k_r	k_r	1.0
k_#>	k_ʊ̃ː_#>	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
j_n	n	1.0
j_#>	s_#>	1.0
e_r	ɛ_r	1.0
e_#>	#>	1.0
d_#>	d_ʊ̃ː_#>	1.0
d	d	1.0
<#_ˈu	<#_ˈʊ	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#	<#_h	1.0
p	p	0.941
f	f	0.917
b	b	0.895
<#_s	<#_s	0.882
t	t	0.871
r	r	0.87
m	m	0.87
<#_l	<#_ɫ	0.857
ʧ	k	0.833
z	d	0.778
a	a	0.778
ə	ãː	0.763
ʃ	s	0.75
i	ɪ	0.75
ˈi	ˈiː	0.741
s	s	0.733
n	n	0.718
l	ɫ	0.667
ʒ	j	0.6
#>	ʊ̃ː_#>	0.565
o̯ˈa	ˈɔ	0.526
ˈo	ˈɔ	0.522
ˈə	a	0.5
ˈə	-	0.5
ˈa	ˈa	0.5
ˈɨ	ˈaː	0.467
k	k	0.467
ˈa	ˈaː	0.435
e	ɛ	0.435
ˈɨ	ˈa	0.4
ʦ	t	0.4
ʒ	d_i	0.4
ˈu	ˈʊ	0.378
e̯ˈa	ˈɛ	0.375
e̯ˈa	ˈeː	0.375
ˈe	ˈɪ	0.357
e	ɛ̃ː	0.337
l	lʲː	0.333
ˈu	ˈuː	0.324
o̯ˈa	ˈoː	0.316
w	w_ʊ̃ː	0.3
w	-	0.3
ˈe	ˈɛ	0.286
j	n	0.273
j	i	0.273
s	sː	0.267
k	kː	0.267
ˈo	ˈoː	0.261
ʃ	-	0.25
u	ʊ	0.25
u	ɔ	0.25
i	ɛ	0.25
e̯ˈa	-	0.25
z	ɛ_k	0.222
a	ãː	0.222
ˈe	ˈeː	0.214
ʦ	t_i	0.2
ʦ	t_e	0.2
ʦ	k_i	0.2
w	w	0.2
w	i	0.2
u	ʊ̃ː	0.2
u	oː	0.2
j	lʲ_i	0.182
j	-	0.182
n	ŋ	0.179
ʧ	kʷ	0.167
o̯ˈa	-	0.158
ˈi	-	0.148
<#_l	<#	0.143
ˈɨ	-	0.133
k	k_oː	0.133
k	k_a	0.133
#>	ɛ̃ː_#>	0.13
<#_s	<#	0.118
ˈi	ˈeː	0.111
#>	s_#>	0.109
ˈu	ˈoː	0.108
b	s_w	0.105
u	-	0.1
t	tː	0.097
j	ĩː	0.091
ˈo	ˈʊ	0.087
ˈo	ˈu	0.087
m	-	0.087
#>	ɫ_ʊ̃ː_#>	0.087
ə	a	0.085
f	fː	0.083
ˈu	ˈɔ	0.081
ˈu	ˈu	0.081
r	ɫ	0.078
ˈe	ɛ	0.071
ˈa	ˈɛ	0.065
#>	ãː_#>	0.065
p	kʷ	0.059
e	ɪ	0.054
ə	-	0.051
n	ˈɛ_n	0.051
n	nː	0.051
