Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	-	1.0
ˈu_p	ˈu_j	1.0
ˈu_n	ˈo	1.0
ˈi_n	ˈɛ	1.0
ˈau̯_r	ˈɔ_r	1.0
ʧʲ	ŋ	1.0
ʧ_e	w	1.0
ʦʲ	t_s	1.0
ʒ	ʒ	1.0
ʃ_t	ʃ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
w_#>	#>	1.0
v	b	1.0
u_#>	#>	1.0
t_ˈi	ˈa_p	1.0
t_ə	t_ə	1.0
t_#>	t_#>	1.0
s_ə	z_ə	1.0
s_#>	s_#>	1.0
s	s	1.0
r_u	u_ɾ	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_#>	l_#>	1.0
p_r	β_ɾ	1.0
p_#>	p_#>	1.0
o	-	1.0
nʲ	n_s	1.0
n_ə	n_ə	1.0
n_t_e_#>	n_#>	1.0
n_t_#>	n_#>	1.0
n_#>	#>	1.0
m_e_#>	m_#>	1.0
kʲ	ʎ	1.0
j_#>	s_#>	1.0
f	f	1.0
e̯ˈa	ˈe	1.0
e_n	ə_n	1.0
e_d	ˈɛ	1.0
a	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_ʃ	<#_s	1.0
<#_ɨ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ʎ	1.0
<#_j	<#	1.0
<#_a	<#_ə	1.0
<#	<#_ə	1.0
r_e_#>	#>	0.889
ə	ə	0.882
k	k	0.861
ˈɨ	ˈa	0.833
p	p	0.833
ɡ	ɡ	0.778
u	u	0.778
k_#>	k_#>	0.778
ˈa	ˈa	0.767
ˈi	ˈi	0.75
ʦ	-	0.75
w	w	0.75
p_t	t	0.75
m	m	0.733
z	d	0.714
ʤ	ʒ	0.7
l	l	0.7
ˈo	ˈɔ	0.64
r	ɾ	0.592
i	ə	0.571
o̯ˈa	ˈɔ	0.562
b	b	0.562
d	d	0.533
ˈe	ˈɛ	0.5
ʃ	ɾ	0.5
ʃ	s	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ˈe	0.5
j	ʎ	0.5
j	-	0.5
e_r	ɾ	0.5
e_r	d_ɾ	0.5
#>	ə_#>	0.474
d	-	0.467
t	t	0.455
e	-	0.446
ʧ	-	0.429
i	i	0.429
e	ə	0.429
ˈe	ˈe	0.385
t	ð	0.364
ˈu	ˈu	0.333
n	-	0.333
b	β	0.312
ˈu	ˈo	0.306
ʤ	-	0.3
l	ʎ	0.3
n	ɲ	0.292
n	n	0.292
ʧ	s	0.286
ʧ	k	0.286
z	-	0.286
m	-	0.267
ˈu	ˈɔ	0.25
ʦ	t	0.25
w	-	0.25
p_t	mː	0.25
o̯ˈa	ˈu	0.25
r	r	0.245
ɡ	ɣ	0.222
u	ə	0.222
k_#>	#>	0.222
#>	s_#>	0.211
ˈo	ˈu	0.2
o̯ˈa	-	0.188
ˈɨ	-	0.167
ˈo	ˈo	0.16
#>	w_#>	0.158
#>	t_#>	0.158
ˈi	ˈe	0.139
b	-	0.125
ə	-	0.118
ˈe	w	0.115
ˈu	-	0.111
r_e_#>	l_#>	0.111
p	-	0.1
ˈa	ˈɛ	0.093
ˈa	-	0.093
t	t_ɾ	0.091
t	-	0.091
n	ŋ	0.083
k	ɣ	0.083
r	-	0.082
p	s	0.067
ˈi	ˈɛ	0.056
ˈi	-	0.056
k	ʎ	0.056
e	w	0.054
