Nuorese	Nuorese	probability
β_u	w_ʊ̃ː	1.0
ˈi_ɾ	ˈiː_r	1.0
ˈi_n	ˈɛ̃ː	1.0
ˈa_ð	ˈaː_t	1.0
ɾ_ˈɛ	r_ˈeː	1.0
ɾ_u	r_ʊ̃ː	1.0
ɾ_m	r_m	1.0
ɾ_b	r_b	1.0
ɲ	n_i	1.0
ɡ	ɡ	1.0
ɛ_#>	#>	1.0
ɖː	lʲː	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
ð	d	1.0
z_ɛ̆	s	1.0
ŭ_#>	#>	1.0
t_ˈa	t_ˈaː	1.0
p_ˈu	p_ˈʊ	1.0
p_ɾ	p_ɫ	1.0
p	p	1.0
n_i	n	1.0
m_b	m_b	1.0
k_u	k_ʊ̃ː	1.0
j_ˈa	i_ˈaː	1.0
j_z	s	1.0
j_u	ʊ̃ː	1.0
j	i	1.0
f	f	1.0
d	d	1.0
ă	-	1.0
a_t	aː_t	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_j	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_au̯	1.0
n	n	0.934
z	s	0.895
u	ʊ̃ː	0.813
k	k	0.8
m	m	0.792
e	ɛ	0.778
ɾ	r	0.765
ˈo	ˈɔ	0.75
t	t	0.75
ˈe	ˈɛ	0.731
s	s	0.714
a	ãː	0.67
nː	n	0.636
ˈɛ	ˈɛ	0.606
β	b	0.6
ʦ	t	0.6
ɣ	ɡ	0.6
ɛ_ɾ	ˈeː_r	0.6
l	ɫ	0.593
b	w	0.556
ˈa	ˈa	0.548
i	ɪ	0.538
ɔ	oː	0.526
ˈi	ˈiː	0.511
o	ɔ	0.5
o	-	0.5
ɛ	ɛ	0.491
ˈu	ˈuː	0.474
ɛ	ɛ̃ː	0.447
#>	ɛ̃ː_#>	0.429
ˈa	ˈaː	0.419
b	b	0.417
ˈɔ	ˈɔ	0.405
ˈɔ	ˈoː	0.405
β	w	0.4
ʦ	t_i	0.4
ʣ	lʲ_i	0.4
ɣ	-	0.4
ɛ_ɾ	r	0.4
ˈu	ˈʊ	0.395
ˈi	ˈɪ	0.34
r	rː	0.333
r	r_n	0.333
r	r	0.333
ɔ	ɔ	0.316
#>	ʊ̃ː_#>	0.286
#>	ãː_#>	0.286
ˈɛ	ˈeː	0.273
ʣ	-	0.267
ˈo	ˈoː	0.25
l	lʲ	0.222
e	-	0.222
a	a	0.213
ʣ	d_i	0.2
nː	nː	0.182
nː	n_d	0.182
ɔ	-	0.158
i	iː	0.154
i	eː	0.154
s	sː	0.143
ʣ	lʲː	0.133
u	ʊ	0.132
ɾ	ɫ	0.118
ˈe	ˈɛ_k	0.115
ˈe	ˈeː	0.115
t	tː	0.115
l	lʲː	0.111
z	i	0.105
k	kː	0.1
s	p_s	0.086
m	ŋ_kʷ	0.083
m	ŋ	0.083
ɾ	ʊ_ɫ	0.082
ˈɔ	-	0.081
ˈu	ˈu	0.079
t	k_t	0.077
i	ˈiː	0.077
i	-	0.077
k	kʷ	0.075
l	o_ɫ	0.074
a	aː	0.074
ˈi	ˈi	0.064
ˈi	ɪ	0.064
ˈɛ	-	0.061
s	r_s	0.057
ˈɔ	r	0.054
ˈɔ	k	0.054
ˈu	-	0.053
