Franco-Provençal	Franco-Provençal	probability
ˈɔ̃	ɔ̃	1.0
ˈɑː	ɛ	1.0
ˈy	y_ʁ	1.0
ˈe_l	o	1.0
ˈe_#>	a_#>	1.0
ˈa_j	ɛ	1.0
ʦ	-	1.0
ʒ	ʒ	1.0
ʎ_ə	j	1.0
ʎ_#>	#>	1.0
ʃ_i	ʃ	1.0
ʃ_#>	#>	1.0
ʃ	ʃ	1.0
ʁ_s	ʁ_s	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ̃	ɑ̃	1.0
ɛː	-	1.0
ɛ	ɛ	1.0
ɔ̃	ɔ̃	1.0
ɔ	ɔ	1.0
ɑ̃	ɑ̃	1.0
ɑː	a	1.0
ð_ˈa	ʁ_e	1.0
ð_o	ʒ	1.0
ð_a	ʁ	1.0
z	z	1.0
y	-	1.0
w_ˈa	ø	1.0
u	-	1.0
t_a_#>	t_#>	1.0
s_ə_#>	s_#>	1.0
p	p	1.0
m	m	1.0
l_a	l	1.0
l_#>	#>	1.0
l	l	1.0
k	k	1.0
j_ˈe	e	1.0
ĩ	-	1.0
i	-	1.0
f	f	1.0
d	d	1.0
b_a_#>	b_#>	1.0
b	b	1.0
a_ð	a_ʁ	1.0
a_s	a_s	1.0
<#_ˈɑː	<#_a	1.0
<#_ʁ	<#_ʁ	1.0
<#_a	<#_a	1.0
s	s	0.947
ʁ	ʁ	0.942
v	v	0.941
n	n	0.933
t	t	0.926
a	-	0.865
ð	ʒ	0.8
ˈi	i	0.783
ˈĩ	ɛ̃	0.778
ð_ə	ʁ	0.778
o	-	0.727
ə	-	0.72
e	e	0.7
ˈɔ	ɔ	0.667
ˈo	u	0.636
ˈɛ	ɛ	0.625
ˈɑ̃	ɑ̃	0.615
w_ˈe	œ	0.6
ˈɛ̃	ɛ̃	0.562
j	j	0.5
ˈe	ɛ	0.458
#>	a_#>	0.455
ˈa	a	0.44
ˈɛ̃	ɑ̃	0.438
w	w	0.435
ʎ	j	0.429
ˈaː	ɛ	0.4
ˈaː	e	0.4
w_ˈe	ø	0.4
ˈoː	o	0.389
ˈɑ̃	ɛ̃	0.385
ˈe	i	0.375
#>	e_#>	0.364
ˈa	e	0.36
ˈu	y	0.357
ˈu	u	0.357
j	-	0.35
ˈɔ	u	0.333
ˈɛː	ɛ	0.32
ˈɛː	w	0.32
w	-	0.304
ˈø	ɔ	0.3
ˈø	œ	0.3
e	-	0.3
ʎ	l	0.286
ʎ	-	0.286
ə	ə	0.28
o	u	0.273
w	ɥ	0.261
ˈɛ	a	0.25
ˈɛː	w_a	0.24
ˈoː	ɔ	0.222
ˈoː	u	0.222
ˈĩ	ɑ̃	0.222
ð_ə	a_ʁ	0.222
ˈø	ø	0.2
ˈø	-	0.2
ˈaː	-	0.2
ˈa	ɛ	0.2
ð	ʁ	0.2
ˈo	ɔ	0.182
ˈo	-	0.182
#>	s_#>	0.182
ˈoː	œ	0.167
j	i	0.15
ˈu	ø	0.143
ˈu	-	0.143
a	a	0.135
ˈi	i_ʁ	0.13
ˈɛ	-	0.125
ˈɛː	-	0.12
ˈi	-	0.087
ˈe	o	0.083
ˈe	a	0.083
t	-	0.074
n	-	0.067
v	-	0.059
ʁ	-	0.058
s	-	0.053
