Afrikaans	Old Frisian	probability
ˈɪə̯_t	ˈi_t	1.0
ˈɪø̯	ˈu	1.0
ˈɛ_m	mː	1.0
ˈɛ	ˈe	1.0
ˈɔ_n	ˈuː	1.0
ˈœɪ̯	ˈuː	1.0
ˈœu̯	ˈa_l	1.0
ˈœ	ˈe	1.0
ˈæː	ˈe	1.0
ˈyː	ˈi̯uː	1.0
ˈoː	ˈaː	1.0
ˈa_n	ˈoː	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_n	ə_n	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥	f	1.0
r_t	r_t	1.0
r_d̥	r_d	1.0
m	m	1.0
i	iː	1.0
b	b	1.0
d̥	d	0.963
t	t	0.945
ɫ	l	0.931
p	p	0.91
r	r	0.905
k	k	0.897
ˈə	ˈi	0.851
v	w	0.836
s	s	0.815
n	n	0.807
d	θ	0.724
ˈəɪ̯	ˈiː	0.67
ˈɛː	ˈi_ʣ	0.667
ˈæ	ˈe	0.665
ˈi	ˈi̯aː	0.625
ə	ə	0.616
ˈu	ˈoː	0.556
j	j	0.531
ˈɔ	ˈu	0.521
ˈa	ˈa	0.515
ˈɔ	ˈo	0.479
j	d	0.469
ˈɑː	ˈeː	0.454
ˈu	ˈeː	0.444
ˈʊə̯	ˈaː	0.419
ˈɪə̯	ˈe	0.412
ˈɪə̯	ˈɛː	0.394
χ	x	0.338
ˈæ	ˈi	0.335
ˈɛː	bː	0.333
ˈa	ˈɔː	0.283
ˈʊə̯	ˈo	0.275
χ	ɣ	0.262
χ	j	0.249
ˈəɪ̯	ˈɛː	0.24
d	d	0.209
ˈa	ˈe	0.203
ˈʊə̯	-	0.191
ˈɑː	ˈe	0.158
ˈɑː	ˈɔː	0.155
ˈi	-	0.153
χ	ɡː	0.151
ˈə	-	0.149
ˈi	ˈi̯uː	0.148
n	nː	0.142
ˈɑː	-	0.129
ˈɪə̯	-	0.118
ˈʊə̯	ˈɛː	0.116
ə	e	0.115
ˈɑː	ˈa	0.105
ə	i	0.103
v	h_w	0.097
s	z	0.093
ˈəɪ̯	-	0.09
p	pː	0.09
ə	ɡ_ə	0.086
ˈɪə̯	ˈi	0.075
ˈi	ˈiː	0.074
r	ə_r	0.07
v	-	0.068
d	ð	0.067
s	s_k	0.064
t	tː	0.055
k	ʦ	0.054
n	-	0.051
