Danish	Swiss German	probability
f	f	1.0
i	i	1.0
pʰ	p͡f	1.0
wˀ	ə	1.0
ŋˀ	ŋ	1.0
ɐˀ	r	1.0
ʨ	d̥	1.0
ˈaː	ˈɒ	1.0
ˈæˀ	ˈɒː	1.0
ˈæː	ˈɒ	1.0
ˈœː	ˈæ	1.0
ˈɶˀ	-	1.0
e	ə	0.671
jˀ	ɡ̊	0.601
k	χ	0.191
kʰ	k	0.131
w	b̥	0.461
ɡ̊	ɡ̊	0.621
ˈeː	ˈø	0.341
ˈiˀ	ˈæː	0.231
ˈo	ˈo	0.451
ˈoˀ	ˈy	0.091
ˈy	ˈi	0.111
ˈyː	ˈy	0.1
ˈyː	ˈyː	0.631
ˈø	ˈi	0.421
ˈøː	ˈoː	0.241
ˈɑː	ˈɒ	0.771
ˈɒ	ˈoː	0.671
ˈɔː	ˈoː	0.671
ˈʌ	ˈau̯	0.151
j	ˈæ	0.182
l	-	0.062
lˀ	lː	0.062
m	m	0.812
n	nː	0.052
p	f	0.582
s	ʃ	0.452
ŋ	-	0.222
ə	ə	0.682
ˈeˀ	ˈæ	0.082
ˈi	ˈi	0.82
ˈiː	ˈiː	0.502
ˈoˀ	ˈuə̯	0.702
ˈoː	ˈau̯	0.422
ˈøː	ˈau̯	0.092
ˈœ	ˈoː	0.142
ˈɑ	ˈæː	0.052
ˈɑ	ˈɒ	0.192
ˈɔˀ	ˈɒː	0.762
ˈɛ	ˈyː	0.122
b̥	b̥	0.843
lˀ	l	0.833
t	χ_t	0.323
w	ɡ̊	0.33
ɡ̊	ɡ̊ː	0.333
ʋ	f	0.053
ʦʰ	ʦ	0.293
ˈa	ˈɒ	0.793
ˈe	ˈi	0.703
ˈiː	ˈæ	0.143
ˈiː	ˈy	0.143
ˈo	ʋ	0.363
ˈoː	ˈuə̯	0.173
ˈu	ˈo	0.403
ˈy	ˈyː	0.593
ˈœ	ˈy	0.323
ˈɑˀ	ˈɒ	0.353
ˈɒˀ	ˈɒː	0.23
ˈɒˀ	-	0.23
ˈɔ	ˈu	0.763
ˈɔˀ	ˈeː	0.093
ˈʌ	ˈuː	0.103
kʰ	χ	0.844
mˀ	f	0.664
nˀ	sː	0.054
nˀ	nː	0.074
s	-	0.064
s	s	0.474
t	t	0.384
ð̞ˠ	t	0.294
