Štokavian	Štokavian	probability
̌_r	ʀʲ	1.0
̌_l	l	1.0
̌	-	1.0
̂_x	xʲ	1.0
̂_t	t	1.0
̂_r	ʀʲ	1.0
̂_d	d̥	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʋ_j	ɥ	1.0
ʋ_eː	ɥ_a	1.0
ʋ_a	w_a	1.0
ʋ_#>	w_ɪ_#>	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	-	1.0
ɡ_#>	x_#>	1.0
ɡ	ɦ	1.0
z	z	1.0
x	x	1.0
uː_̌	u	1.0
t_oː	t_ɔ	1.0
t_i	ʨ	1.0
s	s	1.0
r̩	-	1.0
o_̂	o	1.0
m_j	mʲ	1.0
l_aː	w_o	1.0
l_a	w_a	1.0
l_#>	w_#>	1.0
k_a	x	1.0
k	k	1.0
j_eː	e	1.0
j	-	1.0
iː_̂	ɪ	1.0
e_̌	ɛ	1.0
e_̂	e	1.0
e_#>	ɔ_#>	1.0
d̥	d̥	1.0
b_#>	b̥_#>	1.0
aː_̂	a	1.0
aː	ɔ	1.0
a_̂	ɔ	1.0
a_n	n_ɪ	1.0
<#_z	<#	1.0
<#_t	<#_ʨ	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_w_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
#>	ɪ_#>	0.846
o	ɔ	0.818
m	m	0.789
oː	o	0.75
iː	i	0.75
b	b	0.727
p	p	0.692
ʋ	w	0.643
r	ʀ	0.643
n	n	0.636
a	a	0.633
d	d	0.625
uː	u	0.6
l	w	0.6
i_̂	ɪ	0.571
t	t	0.565
e	ɛ	0.524
̂_n	o_n	0.5
̂_n	n	0.5
ʦ	ʦ	0.5
ʦ	-	0.5
r̩ː	ʀ	0.5
r̩ː	ɔ_ʀ	0.5
a_r	ʀ_ɪ	0.5
a_r	ʀ	0.5
i	-	0.444
t	ʨ	0.435
i_̂	i	0.429
u	w_u	0.375
u	w	0.375
d	ʥ	0.375
n	ɲ	0.364
ʋ	ɥ	0.357
i	i	0.333
eː	e	0.312
p	pʲ	0.308
b	bʲ	0.273
u	u	0.25
oː	ɔ	0.25
iː	ɪ	0.25
eː	ɛ	0.25
e	ɔ	0.238
e	-	0.238
i	ɪ	0.222
r	ʀʲ	0.214
m	mʲ	0.211
uː	w	0.2
uː	-	0.2
l	l	0.2
l	d_w	0.2
eː	a	0.188
a	-	0.163
#>	ɔ_#>	0.154
r	ʃ	0.143
eː	ɔ	0.125
eː	-	0.125
o	w	0.121
a	ɔ	0.102
o	-	0.061
a	ɛ	0.061
