Saterland Frisian	Saterland Frisian	probability
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɛɪ̯	ˈɛɪ̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔː	1.0
ˈɔ	ˈɔ	1.0
ˈyː	-	1.0
ˈuː	ˈuː	1.0
ˈu	-	1.0
ˈoːu̯	ˈoːu̯	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	ˈaːi̯	1.0
ˈaː	ˈaː	1.0
ˈa	ˈa	1.0
ɪ	ɪ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ə_l	ə_l	1.0
ə	ə	1.0
ŋ	ŋ	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v	v	1.0
t	t	1.0
s_l	s_l	1.0
s	s	1.0
r_t	r_t	1.0
r	r	1.0
p	p	1.0
n_ə	n_ə	1.0
n	n	1.0
m	m	1.0
l_ə	l_ə	1.0
l	l	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	-	1.0
