 	Labels	Aragonese	Aromanian	Asturian	Auvergnat	Bellunese	Brazilian Portuguese	Campidanese	Catalan	Corsican	Eastern Lombard	Emilian	Franco-Provençal	French	Friulian	Galician	Gallurese	Gascon	Italian	Ladin	Latin	Lengadocian	Ligurian	Logudorese	Megleno-Romanian	Neapolitan	Nuorese	Old French	Piedmontese	Portuguese	Provençal	Québécois French	Romagnol	Romanian	Romansch	Sassarese	Sicilian	Spanish	Valencian	Venetian	Walloon	Western Lombard
 	Aragonese	0.00000	0.41346	0.29140	0.37210	0.35317	0.35477	0.36030	0.32321	0.35992	0.37785	0.36021	0.42591	0.43214	0.36236	0.30563	0.37041	0.35084	0.34385	0.37372	0.36042	0.32570	0.38170	0.36447	0.40612	0.36275	0.35022	0.36230	0.36435	0.32421	0.34858	0.44430	0.36761	0.39501	0.37375	0.37158	0.37754	0.29366	0.32432	0.35841	0.42275	0.39261
 	Aromanian	0.41346	0.00000	0.43122	0.45736	0.40106	0.45636	0.40841	0.41954	0.39131	0.41571	0.41279	0.49362	0.48452	0.40933	0.41032	0.40761	0.42419	0.37022	0.39818	0.35355	0.41681	0.41615	0.40525	0.29013	0.41980	0.37840	0.43584	0.39947	0.42479	0.43067	0.50497	0.41427	0.29780	0.42882	0.42471	0.40784	0.43280	0.40906	0.39232	0.49828	0.44072
 	Asturian	0.29140	0.43122	0.00000	0.40664	0.37431	0.34290	0.36908	0.34601	0.36159	0.38857	0.36099	0.44580	0.46044	0.37397	0.29567	0.37214	0.36782	0.35014	0.38627	0.35035	0.35136	0.37872	0.35457	0.42793	0.36539	0.35783	0.37441	0.36665	0.31627	0.37066	0.45814	0.38004	0.39270	0.37408	0.36359	0.36395	0.26781	0.33691	0.35595	0.44097	0.39071
 	Auvergnat	0.37210	0.45736	0.40664	0.00000	0.38747	0.40564	0.41536	0.34041	0.39231	0.40201	0.38751	0.35818	0.37634	0.38531	0.38538	0.39460	0.33334	0.38840	0.37313	0.40621	0.29924	0.38094	0.41548	0.45066	0.40537	0.41519	0.33900	0.35921	0.39698	0.27250	0.39509	0.38537	0.41917	0.37668	0.42075	0.40555	0.39984	0.34191	0.39782	0.39811	0.36971
 	Bellunese	0.35317	0.40106	0.37431	0.38747	0.00000	0.39547	0.36959	0.34998	0.32399	0.30953	0.28828	0.43821	0.42473	0.33231	0.34183	0.34554	0.36887	0.31549	0.33093	0.34118	0.35238	0.32919	0.38088	0.39585	0.34409	0.37053	0.35626	0.30179	0.36880	0.35188	0.43580	0.31685	0.37439	0.34328	0.35507	0.33762	0.36155	0.34517	0.27952	0.42996	0.33354
 	Brazilian Portuguese	0.35477	0.45636	0.34290	0.40564	0.39547	0.00000	0.40722	0.37465	0.36608	0.40810	0.39331	0.40772	0.41802	0.41040	0.30627	0.38117	0.38151	0.36000	0.41517	0.37892	0.37309	0.37450	0.39692	0.45193	0.39736	0.40652	0.39637	0.37506	0.27237	0.37895	0.43546	0.38983	0.43319	0.40614	0.39196	0.37434	0.34166	0.37154	0.38100	0.43880	0.39534
 	Campidanese	0.36030	0.40841	0.36908	0.41536	0.36959	0.40722	0.00000	0.37067	0.35952	0.37883	0.37358	0.46467	0.46585	0.39648	0.36431	0.34314	0.38630	0.34312	0.39714	0.35511	0.36565	0.37335	0.29280	0.42474	0.37487	0.29143	0.39607	0.37108	0.38931	0.40730	0.47522	0.38869	0.39215	0.41237	0.33756	0.36375	0.37748	0.37612	0.35300	0.46834	0.41599
 	Catalan	0.32321	0.41954	0.34601	0.34041	0.34998	0.37465	0.37067	0.00000	0.34091	0.32907	0.35017	0.39446	0.39490	0.33871	0.32907	0.35193	0.29618	0.34417	0.33187	0.36271	0.27816	0.35693	0.36274	0.39657	0.36120	0.36768	0.33787	0.32060	0.36228	0.31976	0.41287	0.33820	0.37537	0.34070	0.35940	0.37824	0.34816	0.29907	0.35204	0.39208	0.33540
 	Corsican	0.35992	0.39131	0.36159	0.39231	0.32399	0.36608	0.35952	0.34091	0.00000	0.33125	0.32516	0.43234	0.44972	0.34412	0.34311	0.28350	0.36392	0.27525	0.34189	0.32314	0.34642	0.32438	0.34253	0.40204	0.30071	0.33952	0.38110	0.31071	0.35757	0.36728	0.47007	0.32306	0.36975	0.36863	0.30322	0.30678	0.35035	0.35085	0.31005	0.44144	0.33578
 	Eastern Lombard	0.37785	0.41571	0.38857	0.40201	0.30953	0.40810	0.37883	0.32907	0.33125	0.00000	0.30102	0.41636	0.43137	0.32577	0.36013	0.34409	0.36388	0.33201	0.33179	0.35079	0.34345	0.33747	0.38578	0.41978	0.34831	0.37940	0.37873	0.30237	0.37320	0.36606	0.43479	0.30667	0.38642	0.35107	0.35032	0.35147	0.38195	0.33849	0.31189	0.42682	0.28798
