Old Prussian	Čakavian	probability
ɡ_i	ɡ̊	1.0
z	z	1.0
w	e	1.0
v	ʋ	1.0
uː	-	1.0
t	t	1.0
r	r	1.0
p_n	ɲ	1.0
p	p	1.0
oːu̯	i	1.0
o_n	i	1.0
n_a	n	1.0
k_t	c	1.0
j	-	1.0
iː	-	1.0
i_r	r̩	1.0
i_l	uː	1.0
eːi̯	-	1.0
eː	l_a	1.0
d	d	1.0
b	b	1.0
aːu̯	u	1.0
aːi̯	iː	1.0
aː	aː_̂	1.0
au̯	uː	1.0
ai̯	j_e	1.0
a_l	oː	1.0
i	-	0.859
m	m	0.837
n	-	0.829
k	k	0.728
u_s	x	0.643
l	l	0.584
u	-	0.576
o	-	0.56
ɡ	ʒ	0.556
s	s	0.518
a	-	0.477
e	e	0.454
ɡ	-	0.444
o	a	0.44
u	iː_̌	0.424
l	-	0.416
u_s	a	0.357
k	ʧ	0.272
e	-	0.265
s	x	0.251
s	-	0.232
a	a_̂	0.186
e	a	0.179
m	-	0.163
a	oː	0.151
i	o	0.141
n	d	0.119
a	aː_̌	0.11
e	eː	0.102
a	o_̂	0.076
n	n	0.052
