Gascon	Gascon	probability
ˈy	ˈu	1.0
ˈo	o̯ˈa	1.0
ˈe_w	w	1.0
ˈa_#>	r_i_#>	1.0
ʦ	ʦ	1.0
ʤ	k_a	1.0
ʎ_ɔ	ʎ_i	1.0
ʎ_#>	ʎ_u_#>	1.0
ʃ	t	1.0
ɔ_#>	#>	1.0
ŋ_#>	n_#>	1.0
z_ˈa	j	1.0
y	u	1.0
w_r	v_r	1.0
t_#>	l_#>	1.0
s_#>	#>	1.0
p_ˈɛ	k_e̯ˈa	1.0
n	n	1.0
mː	ə_m	1.0
m_i	m	1.0
k_a	k	1.0
k_#>	k_#>	1.0
j_ˈe	ˈe	1.0
j_t	p_t	1.0
j_r	t	1.0
i	-	1.0
e_s	s	1.0
e_h	f	1.0
e_#>	#>	1.0
a_ð	ə_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_a	1.0
ɾ	r	0.905
k	k	0.897
ˈi	ˈi	0.895
<#_l	<#_l	0.857
p	p	0.85
ɔ	ə	0.844
r	r	0.824
m	m	0.789
ˈɔ	ˈo	0.786
u	u	0.778
ɡ	ɡ	0.714
w_#>	r_#>	0.714
ˈu	ˈu	0.692
ʎ	ʎ	0.667
s	s	0.655
j	-	0.636
e	i	0.63
ˈa	ˈa	0.622
h	f	0.615
ɲ	-	0.6
t	t	0.6
a	a	0.6
ð	t	0.556
ŋ	n	0.545
d	d	0.538
β	r	0.5
ɣ	ɡ	0.5
ɣ	k	0.5
z	ʦ	0.5
z	-	0.5
n_#>	n_t_i_#>	0.5
n_#>	m_t_u_#>	0.5
b	b	0.5
w	-	0.474
ʒ	ʣ	0.444
ˈɛ	ˈe	0.429
ɲ	ɲ	0.4
#>	r_i_#>	0.397
h	ç	0.385
ˈe	e̯ˈa	0.368
j	ʃ	0.364
#>	i_#>	0.362
l	ʎ	0.353
l	l	0.353
ˈɛ	ˈa	0.333
ʒ	ʤ	0.333
ʎ	n	0.333
b	v	0.333
d	ʣ	0.308
β	-	0.3
l	-	0.294
ɡ	-	0.286
w_#>	#>	0.286
ŋ	-	0.273
a	ə	0.267
ˈa	ˈɨ	0.244
ˈe	ˈi	0.237
ˈe	-	0.237
ʒ	j	0.222
ð	d_e̯ˈa	0.222
ð	d	0.222
u	ˈo	0.222
ˈɔ	o̯ˈa	0.214
w	w	0.211
m	ɲ	0.211
β	b	0.2
#>	ə_#>	0.19
ŋ	n_e	0.182
r	r_n	0.176
s	ʃ	0.172
b	j	0.167
ˈe	ˈe	0.158
w	ˈo	0.158
w	r	0.158
ˈu	o̯ˈa	0.154
d	i	0.154
p	k	0.15
ˈɛ	e̯ˈa	0.143
<#_l	<#_ʎ	0.143
a	-	0.133
e	u	0.111
e	-	0.111
ˈi	ˈə	0.105
s	i	0.103
k	ʦ	0.103
t	p_t	0.1
t	l_t	0.1
t	l	0.1
t	-	0.1
ˈɛ	-	0.095
ɾ	-	0.095
ɔ	n_ə	0.094
ˈu	ˈu_k	0.077
ˈu	-	0.077
e	r_u	0.074
e	r_i	0.074
s	ʦ	0.069
ɔ	i	0.062
#>	r_#>	0.052
