Jin	Jin	probability
⁵³_#>	#>	1.0
ʨ	k	1.0
ʐ	ᵑɡ	1.0
ɻ	j	1.0
ɥ	u	1.0
ɣ	w	1.0
ə_w	e_w	1.0
ɕ	ɬ	1.0
³¹	⁵⁵	1.0
y	u_j	1.0
x_w	v	1.0
x	h	1.0
w_ə	ɵ	1.0
v_u	m̩	1.0
ũ	ɵ	1.0
u	u	1.0
tʰ͡x	h	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
o	w	1.0
m	ᵐb	1.0
l	l	1.0
k	k	1.0
h	h	1.0
f	f	1.0
a_j	ɔ_j	1.0
<#_t	<#	1.0
#>	²¹_#>	1.0
a	a	0.826
⁵³	⁵⁵	0.808
<#	<#_ᵑɡ	0.778
e	n	0.75
s	s	0.727
v	ᵐb	0.714
ʦʰ	ʦʰ	0.7
w	w	0.682
ɒ̃	ɔ_ŋ	0.667
n	ⁿd	0.667
z̩	u	0.6
ĩ	i	0.6
ʔ	k̚	0.56
ʦ	ʦ	0.556
⁴⁵	³²	0.545
²	⁵⁵	0.542
j	j	0.526
¹¹	³³	0.508
ʨʰ	tʰ	0.5
ɤ	ɔ	0.5
ɤ	j_ɛ	0.5
j_ə	i	0.5
j_ə	a	0.5
¹¹	²²	0.462
⁴⁵	³³	0.455
ŋ	ŋ	0.455
ŋ	n	0.455
ʦ	t	0.444
ʔ	t̚	0.44
z̩	e_j	0.4
ĩ	e	0.4
ʨʰ	h	0.375
ə̃	u	0.375
ə̃	a	0.375
i	e_j	0.375
i	a_j	0.375
ɒ̃	a_ŋ	0.333
æ̃	a_m	0.333
²	³²	0.333
n	ᵑɡ	0.333
kʰ͡x	h_w	0.333
kʰ͡x	h	0.333
kʰ͡x	f	0.333
ʦʰ	tʰ	0.3
v	-	0.286
s	ɬ	0.273
j	ɔ_j	0.263
ə̃	i	0.25
æ̃	ɔ_n	0.25
æ̃	a_n	0.25
i	a	0.25
e	e	0.25
w	-	0.227
ə	i	0.222
ə	e	0.222
<#	<#_j	0.222
j	e	0.211
⁵³	²¹	0.192
a	w	0.174
ə	ɵ	0.167
ə	-	0.167
æ̃	w_ɔ_n	0.167
ʨʰ	kʰ	0.125
²	³³	0.125
ə	u	0.111
ə	a	0.111
ŋ	m	0.091
w	u	0.091
