Swiss German	Swiss German	probability
χː_ə	ɕ	1.0
ˈøː	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæ_r	ˈɛː	1.0
ˈo_r	ˈɔː	1.0
ˈeː	ˈiː	1.0
ˈei̯	ˈeɪ̯	1.0
ˈe	-	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʋ	ʋ	1.0
ʃː_tː	s_t	1.0
ʃː_#>	ʃ_#>	1.0
ʃː	ʃ	1.0
ɣ̊	k	1.0
ɡ̊_#>	#>	1.0
ə_r	ɐ	1.0
æ	e	1.0
w	ɫ	1.0
v̥	f	1.0
p͡f	p	1.0
pː	-	1.0
n_d̥	ŋ	1.0
m	m	1.0
l_ə	ɫ	1.0
kː	k	1.0
j	j	1.0
h	h	1.0
d̥_ˈu	d_ˈoː	1.0
b̥_#>	v̥_#>	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ʀ	1.0
sː	s	0.9
n	n	0.861
b̥	b	0.833
ˈuə̯	ˈoː	0.818
ə	ə	0.812
ˈøi̯	-	0.75
ˈiː	ˈiː	0.75
ˈuː	ˈuː	0.727
ˈau̯	ˈɔʊ̯	0.714
ˈo	ˈɔ	0.667
ˈiə̯	ˈeː	0.667
z̥	z	0.655
ˈɒ	ˈa	0.643
ˈyə̯	ˈøː	0.6
l	l	0.583
χː_tː	ɕ	0.571
fː	f	0.545
ˈi	ˈe	0.542
ˈoː	ˈuː	0.538
ŋ	ŋ_ɡ̊	0.538
ˈæ	ˈɛ	0.526
d̥	d	0.52
ˈu	ˈo	0.5
tː	d	0.5
i	ɪ	0.5
i	ə	0.5
r	ʀ	0.489
ŋ	ŋ	0.462
ˈy	ˈœ	0.444
#>	n_#>	0.444
χː_tː	x	0.429
ˈɒː	ˈoː	0.429
l	ɫ	0.417
ɡ̊	j	0.407
ˈæi̯	ˈeɪ̯	0.4
ˈyə̯	ˈoː	0.4
χː	x	0.385
d̥	d̥	0.36
z̥	z̥	0.345
ˈyː	ˈeː	0.333
ˈy	-	0.333
ˈo	-	0.333
ˈiə̯	ˈiː	0.333
r	ɐ	0.333
#>	ŋ_#>	0.333
ˈæi̯	ˈeː_n	0.3
ˈæi̯	ˈeː	0.3
ɡ̊	ɕ	0.296
ˈi	ˈɪ	0.292
ˈɒː	ˈaː	0.286
ˈau̯	ˈoː	0.286
ˈuː	ˈɔʊ̯	0.273
fː	ə_f	0.273
ˈyː	ˈʏ	0.267
ˈæ	ˈɛː	0.263
ˈɒ	ˈaː	0.25
ˈøi̯	ˈøʏ̯	0.25
ˈiː	ˈe	0.25
tː	d̥	0.25
χː	ɕ	0.231
χː	k	0.231
ˈoː	ˈoː	0.231
ˈoː	-	0.231
ˈy	ˈe	0.222
#>	ə_#>	0.222
ˈæ	-	0.211
ˈyː	ˈyː	0.2
ˈyː	-	0.2
ə	-	0.188
ˈuə̯	-	0.182
fː	p	0.182
ˈu	-	0.167
ˈi	-	0.167
b̥	v	0.167
tː	t	0.159
χː	-	0.154
ˈɒː	ˈa_n	0.143
ˈɒː	ˈa	0.143
n	ŋ	0.139
d̥	ɡ̊	0.12
ˈu	ˈʊ	0.111
ˈu	ˈɔ	0.111
ˈu	ˈœ	0.111
ɡ̊	ɣ̊	0.111
ɡ̊	ɣ	0.111
ˈɒ	-	0.107
sː	-	0.1
tː	-	0.091
r	-	0.089
ɡ̊	-	0.074
