French	French	probability
ʃ_a	k_ə	1.0
ʁ_w	ɾ	1.0
ɲ	ɲ	1.0
ɥ_i	ˈu	1.0
ɛ_ʁ	ˈɛ_r	1.0
ə	ə	1.0
ɔ̃_#>	ˈo_#>	1.0
œ_ʁ	ˈo	1.0
œ_j	ˈu_ʎ	1.0
œ_f	ˈɔ_w	1.0
z	-	1.0
w_ɛ̃	ˈu_n	1.0
w_a_ʁ_#>	ˈɛ_#>	1.0
v_w	b	1.0
t_ʁ	ʃ_ə	1.0
t_#>	t_ə_#>	1.0
t	t	1.0
s_ɛ	s_ˈa	1.0
s_#>	#>	1.0
p	p	1.0
m_ɛ̃	m_ˈa	1.0
m_#>	m_ə_#>	1.0
l_a	l_ə	1.0
l_#>	l_#>	1.0
i_ʁ_#>	ˈi_#>	1.0
f	f	1.0
a_#>	j_#>	1.0
<#_ʁ	<#_r	1.0
<#_ɛ	<#_ə_ʒ	1.0
<#_ɔ	<#_u	1.0
<#_ɑ̃	<#_ˈa_ɲ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_ə_s	1.0
k	k	0.92
s	s	0.892
ʒ	ʒ	0.882
m	m	0.842
b	b	0.833
e_#>	ˈa_#>	0.824
d	d	0.789
ɡ	ɡ	0.786
ɥ	ˈu	0.714
y	ˈu	0.714
ʃ	k	0.7
ʁ	ɾ	0.672
ʁ_#>	#>	0.667
<#_a	<#_ə	0.667
i	ˈi	0.639
v	b	0.633
ɔ	ˈɔ	0.632
n	n_ə	0.611
l	l	0.607
œ	ˈɔ	0.6
e	ˈa	0.6
#>	ə_#>	0.551
ɔ̃	ˈɔ_n	0.5
w	ˈɛ	0.5
j_ɛ	ˈɛ	0.5
j_ɛ	ˈe	0.5
u	ˈo	0.45
u	u	0.45
ø	ˈɔ_k	0.444
ɛ̃	ˈi	0.421
ɛ̃	ˈa	0.421
œ	ˈo	0.4
v	β	0.367
o	ˈe_ʎ	0.35
ʁ_#>	ə_#>	0.333
ø	ʎ	0.333
a	ə	0.333
<#_a	<#_ˈa	0.333
ɑ̃	ˈe_n	0.308
ʃ	k_ə	0.3
ɛ	ˈa	0.293
ɥ	-	0.286
w	ˈe	0.278
n	n	0.278
ʁ	r	0.276
ɛ	ˈɛ	0.268
ɔ	u	0.263
ɔ̃	ˈɔ	0.25
ɔ̃	-	0.25
o	ˈa_l	0.25
j	ˈe	0.25
j	ʎ_ə	0.25
j	-	0.25
ɑ̃	ˈa_n	0.231
ø	ˈu_ə	0.222
ɡ	ɣ	0.214
l	ʎ	0.214
a	ˈa	0.205
o	ˈɔ_s	0.2
o	ˈɔ	0.2
e	ˈa_z	0.2
e	w	0.2
ɛ	ˈe	0.195
j	ʎ	0.188
l	l_ə	0.179
a	w	0.179
e_#>	#>	0.176
b	β	0.167
ɛ̃	ɲ	0.158
ɑ̃	ˈɛ_n	0.154
ɑ̃	ˈa_ŋ	0.154
ɑ̃	n	0.154
y	ˈi_w	0.143
y	-	0.143
i	-	0.139
#>	s_#>	0.124
ɛ	ə	0.122
ʒ	ʤ	0.118
#>	t_#>	0.112
w	ˈɔ	0.111
w	u	0.111
n	ə	0.111
ɔ	-	0.105
m	m_ə	0.105
d	ð	0.105
d	-	0.105
a	ˈɛ	0.103
a	-	0.103
u	ˈo_t	0.1
k	-	0.08
a	w_ˈa	0.077
ɛ	ˈe_s	0.073
j	ʎː	0.062
i	ˈɛ_w	0.056
i	ə	0.056
i	w	0.056
i	j_t	0.056
s	s_ə	0.054
s	-	0.054
m	mː	0.053
ʁ	r_t	0.052
