Nynorsk Norwegian	Icelandic	probability
b	b̥	1.0
d	d̥	0.625
d	ð	0.271
d	θ	0.09
e	a	0.315
e	ɪ	0.29
e	ʏ	0.173
e	-	0.106
e	ɡ̊_a	0.064
f	f	0.967
h	h	0.893
h	ç	0.073
j	ɟ̊	0.5
j	j	0.314
j	ç	0.105
j	l_j	0.082
k	k	0.981
kʰ	kʰ	0.77
kʰ	-	0.176
kʰ	cʰ	0.053
l	l	0.665
l	l̥	0.179
l	t_l̥	0.085
lː	t_l̥	0.323
lː	l_d̥	0.288
lː	l̥_ʏ	0.245
lː	l	0.104
m	m	0.701
m	m_ʏ	0.219
m	p	0.08
mː	m	1.0
n	n	0.656
n	t_n̥	0.145
n	n̥	0.115
nː	nː	0.646
nː	n_d̥	0.2
nː	n	0.115
p	p	0.444
p	ʰp	0.327
p	p_ʏ	0.228
s	s	0.984
sː	sː	1.0
t	t	0.625
t	t_ʏ	0.347
tʰ	θ	0.588
tʰ	tʰ	0.345
tʰ	ð	0.067
tː	ʰt	1.0
v	v	1.0
ŋ	ŋ_ɡ̊	1.0
ŋː	ŋ	1.0
ɑ	a	0.961
ɕ	c	0.306
ɕ	θ	0.237
ɕ	cʰ	0.226
ɕ	d̥	0.121
ɕ	tʰ	0.075
ɕː	t	0.682
ɕː	ʰc	0.318
ə	-	0.315
ə	a	0.287
ə	ɪ	0.199
ə	ʏ	0.199
ɛ	ɪ	0.738
ɛ	ɛ	0.262
ɡ	ɡ̊	0.537
ɡ	ɣ_ʏ	0.151
ɡ	x	0.104
ɡ	-	0.095
ɡ	ɣ	0.086
ɡː	ɡ̊ː	0.8
ɡː	ɟ̊ː	0.2
ɪ	i	1.0
ɲ	ɲ	1.0
ɾ	r	0.581
ɾ	r̥	0.353
ʃ	s_c	0.649
ʃ	s_j	0.28
ʃ	-	0.071
ʉ	ʏ	1.0
ʋ	v	0.925
ʋ	-	0.075
ʰkː	ʰk	1.0
ʰpː	ʰp	1.0
ʰtː	ʰt_ʏ	0.592
ʰtː	ʰt	0.408
ˈeː	ˈɛː	0.589
ˈeː	j	0.205
ˈeː	ˈɪː	0.124
ˈeː	-	0.05
ˈiː	ˈiː	0.665
ˈiː	j_ˈoːu̯	0.134
ˈiː	ˈɪː	0.09
ˈiː	ˈiː_ð	0.066
ˈoː	ˈɑːu̯	0.478
ˈoː	ˈaːu̯	0.217
ˈoː	ˈɔː	0.078
ˈoː	ˈi	0.053
ˈuː	ˈoːu̯	0.389
ˈuː	ˈœ	0.201
ˈuː	ˈoːu̯_ð	0.178
ˈuː	ˈɔ	0.157
ˈyː	ˈiː	0.271
ˈyː	ˈiː_r̥	0.14
ˈyː	ˈoːu̯_ð	0.14
ˈyː	ˈʏː	0.115
ˈyː	j_ˈoːu̯	0.112
ˈyː	ˈoːu̯	0.07
ˈyː	ʏ	0.063
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈɛːi̯	0.462
ˈæɪ̯	ˈɛi̯	0.34
ˈæɪ̯	ˈɛ	0.11
ˈæɪ̯	ˈeːi̯	0.088
ˈæʉ̯	ˈœːy̯	0.922
ˈæʉ̯	ˈɑːu̯	0.078
ˈæː	ˈiː	0.821
ˈæː	ˈaːi̯	0.179
ˈæːɪ̯	ˈɛːi̯	1.0
ˈøː	ˈaːi̯	0.64
ˈøː	ˈœy̯	0.097
ˈøː	ˈoːu̯_r̥	0.084
ˈøː	ˈai̯	0.073
ˈœ	ˈɔu̯	0.41
ˈœ	ˈœ	0.371
ˈœ	ˈau̯	0.219
ˈœʏ̯	ˈɛːi̯	0.721
ˈœʏ̯	ˈeːi̯	0.279
ˈɑ	ˈa	0.66
ˈɑ	ˈɑu̯	0.123
ˈɑ	ˈœ	0.113
ˈɑː	ˈaː	0.671
ˈɑː	ˈɛː	0.176
ˈɑː	ˈa	0.153
ˈɔ	ˈɔ	0.583
ˈɔ	ˈɪː	0.109
ˈɔ	ˈɔː	0.091
ˈɔ	ˈɑu̯	0.081
ˈɔ	ˈɔu̯	0.064
ˈɛ	ˈɛ	0.578
ˈɛ	ˈa	0.171
ˈɛ	ˈɪ	0.113
ˈɛ	j_ˈɛ	0.05
ˈɛː	ˈɛː	0.682
ˈɛː	ˈɛ	0.318
ˈɪ	ˈi	0.411
ˈɪ	ˈɪ	0.39
ˈɪ	ˈɔ	0.077
ˈɪ	ˈɪː	0.06
ˈʉ	ˈʏ	0.69
ˈʉ	ˈu	0.265
ˈʉː	ˈuː	0.693
ˈʉː	ˈʏː	0.121
ˈʉː	ˈœː	0.064
ˈʊ	ˈɪ	0.389
ˈʊ	ˈɔ	0.282
ˈʊ	ˈa	0.26
ˈʊ	ˈou̯	0.068
ˈʏ	ˈɪ	0.47
ˈʏ	ˈi	0.271
ˈʏ	ˈʏ	0.163
ˈʏ	ˈoːu̯	0.051
