Ligurian	Romanian	probability
b	b	1.0
f	f	1.0
l	l	1.0
m	m	1.0
n	n	1.0
z	ʤ	1.0
ʃ	ʃ_t	1.0
ʒ	ʧ	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
ˈy	ˈu	1.0
ˈyː	ˈu	1.0
ˈøː	ˈo	1.0
ˈɔ	ˈo	1.0
ˈɔː	o̯ˈa	1.0
e	e_r	0.1
i	j	0.1
s	s	0.551
u	-	0.31
v	-	0.431
ŋ	j_n	0.051
ŋ	n	0.581
ˈaː	ˈa_r	0.461
ˈiː	ˈi	0.631
ˈø	ˈo	0.351
s	ʧ	0.352
t	p_t	0.302
t	t	0.62
v	v	0.522
ʤ	kʲ	0.2
i	-	0.173
p	p_j	0.13
r	r	0.943
w	ˈo	0.093
ɡ	ɡ	0.333
ʤ	ʒ	0.083
ˈɛː	j_ˈe	0.163
ˈa	ˈa	0.354
a	-	0.125
d	z	0.245
d	d	0.725
j	-	0.215
k	-	0.075
k	k	0.925
ˈe	ˈe	0.365
ˈiː	ˈi_r	0.15
e	ə	0.156
e	e	0.656
s	ʦ	0.056
u	u	0.336
ŋ	e_#>	0.146
ˈe	ˈi	0.36
a	a	0.077
i	i	0.727
j	r	0.637
p	p	0.87
r	-	0.057
u	ə	0.057
w	u	0.137
w	-	0.77
ŋ	-	0.157
ɡ	k	0.667
ʤ	-	0.717
ˈe	e	0.067
ˈɛː	ˈa	0.837
u	e	0.128
u	w	0.168
ˈa	-	0.068
ˈa	ˈɨ	0.578
ˈe	e̯ˈa	0.208
a	e	0.119
a	ə	0.679
e	-	0.089
j	e_r	0.149
ˈaː	ˈa	0.539
ˈiː	j	0.219
ˈø	o̯ˈa	0.649
